"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00909426","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A.St.-Hil.","W. R. Anderson","W. R. Anderson","7948","1973","03","25","South America","Brazil","Goiás","São João d'Aliança","3-4 km NE of São João da Aliança. Serra Geral do Paraná.","-47.52","-14.68","1070","1070","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909426","NY00909426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:35-03","UPM","MACK","2880","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","cf. hirsuta","Camarea cf. hirsuta","A.St.-Hil.","M. G. Silva","L. T. A. Vieira","423","2016","10","07",NA,"Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242",NA,NA,NA,NA,NA,NA,"2016","12135","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:35-03","UPM","MACK","3118","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A.St.-Hil.","L. O. Andrade","L. O. Andrade","88","2016","10","09",NA,"Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242",NA,NA,NA,NA,NA,NA,"2016","12135","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:35-03","UPM","MACK","2914","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A.St.-Hil.","L.B.M. Modono","F. K. Kiataqui","12","2016","10","06",NA,"Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242",NA,NA,NA,NA,NA,NA,"2018","12135","auto","05","29",NA,NA,NA,NA,NA,NA,NA
"5","2020-01-20 14:40:35-03","UPM","MACK","2895","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A.St.-Hil.","L. T. A. Vieira","F. K. Kiataqui","16","2016","10","06",NA,"Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242",NA,NA,NA,NA,NA,NA,"2017","12135","auto","10","19",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166283","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A.St.-Hil.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166283 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166283","NL-L2166283",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:41-03","ESALQ","ESA","132189","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A. St.-Hil.","Paula-Souza, J.","Paula-Souza, J.; Árbocz, G.; Polisel, R.T.; Gonçalves, L.N., Leduc, R.","11521.0","2013","02","08",NA,"Brasil","Mato Grosso","Alto Araguaia","Arredores do rio Ariranha. Campo úmido","-53.2153015136719","-17.3146991729736",NA,NA,NA,"Erva, flores amarelas","ESA132189","ESA132189","2013","100273","auto","04","01",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:30-03","MN","R","7805","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A. St.-Hil.","Anderson, W.R.","Glaziou, A.F.M.","14571","1884","11","11",NA,"Brasil","Minas Gerais",NA,"Serra de Ouro Branco",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R010061094","R010061094_001","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:44:57-02","IPA","IPA","9649","S","Plantae","Plantae",NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A. St.-Hil.","André","Pickel, B.","s.n.","1941","11","10","Southern America","Brasil","São Paulo","São Paulo","Bosque","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"IPA0009649",NA,"1999","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:44:57-02","IPA","IPA","9638","S","Plantae","Plantae",NA,"Malpighiaceae","Camarea","hirsuta","Camarea hirsuta","A. St.-Hil.","Gehrt, A.","Pickel, B.","4788","1939","12","07","Southern America","Brasil","São Paulo","São Paulo","Bosque, no mesmo.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"IPA0009638",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
