"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","S. A. Mori","10134","1978","06","06","South America","Brazil","Bahia","Itacaré","Ramal da Torre da Embratel, com entrada no km 15 da Rod. Ubaitaba/Itacaré (BR 654). A 5,8km da entrada. Folha SD-24 (14-39c).","-39.2713273","-14.4201153","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078581' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843657","NY01843657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","T. Hymowitz","2520","1966",NA,NA,"South America","Brazil","São Paulo","Matao","In IRI experimental plot.","-48.36","-21.6003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843472","NY01843472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843473","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","T. Hymowitz","2445","1966",NA,NA,"South America","Brazil","São Paulo","Matao","In IRI experimental plot.","-48.36","-21.6003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076284' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843473","NY01843473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","84952","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus lunatus","L.","B. C. Bennett","3800","1989","04","22","South America","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. Chacras south of Centro, within 150m of path","-78.17","-3.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00084952",NA,"lunatus","A. Delgado Salinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","84951","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus lunatus","L.","B. C. Bennett","3799","1989","04","22","South America","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. Chacras south of Centro, within 150m of path","-78.17","-3.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00084951",NA,"lunatus","A. Delgado Salinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02679298","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus lunatus","L.","G. Eiten | L. T. Eiten","47913",NA,NA,NA,"South America","Brazil","Maranhão","Loreto","Ilha das Balsas region, between the Rios Balsas & Parnaíba, Santa Bárbara, due SSE of Loreto, on shore of Rio Parnaíba","-45.05","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946740' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679298","NY02679298_01","lunatus",NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843455","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","O. Kriegel","5502","1940","05","03","South America","Brazil","São Paulo","Campinas","estufa Instituto Agronomico.","-47.06","-22.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843455","NY01843455_01",NA,"J. L. Moreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843562","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","G. Eiten","4791B","1962","05","31","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. Santa Barbara, due SSE of Lorêto, on shore of Rio Parnaíba. Flat river plain, less than 1 km wide, several meters above river level. A few hundred meters from Rio Parnaíba.","-45.05","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843562","NY01843562_01",NA,NA,"140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","32775","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Phaseolus","lunatus","Phaseolus lunatus","L.","Cabral, M.N.F.","82","2016","06","25",NA,"Brasil","São Paulo","Botucatu","Fazenda Lageado Unesp - Area experimental do Departamento de Horticultura pertecente ao grupo Timbó de Agroecologia","-48.427222","-22.843333",NA,NA,"BOTU032775",NA,NA,"Ming, L.C.",NA,NA,"2016","09","20","48°25'38w","22°50'36s",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:57-03","EAO","IAN","49911","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Rambouts","758","1937","08","03","Southern America","Suriname",NA,NA,"Taponte, Ritanie R.",NA,NA,NA,NA,"IAN049911",NA,NA,"Amshoff, GJH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:41:57-03","EAO","IAN","96431","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Black, GA","20015","1957","07","07","Southern America","Brasil","Pará","Belém","Beira da capoeira 157 L.","-48.5043983459473","-1.4558299779892",NA,"Cipó; flor branca; fava verde, achatada.","IAN096431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"12","2013-07-03 10:59:32-03","EBDA","BAH","1396","S","Plantae",NA,NA,"Fabaceae","Phaseolus","lunatus","Phaseolus lunatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:14:11-03","NBC","NL-BOTANY","U.1308702","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Andel TR van; Roberts N; Ford G; George N",NA,"1996","11","03","Southern America","Guyana","North West District",NA,NA,"-59.5","7.75",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308702","NL-U1308702",NA,"Andel TR van",NA,NA,NA,NA,NA,"-59.5","7.75",NA,NA,"Magnoliopsidae","U 0101662",NA,NA,NA
"14","2020-02-08 09:14:11-03","NBC","NL-BOTANY","U.1308704","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Rombouts HE",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308704 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308704","NL-U1308704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0029443",NA,NA,NA
"15","2020-02-08 09:14:11-03","NBC","NL-BOTANY","L.2039989","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Pedersen TM",NA,"1980","05","30","Southern America","Argentina",NA,NA,"Agua Blanca. Dep. Orán. Prov. Salta.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2039989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2039989","NL-L2039989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 09:14:11-03","NBC","NL-BOTANY","L.2039990","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Phaseolus","lunatus","Phaseolus lunatus","L.","Splitgerber FL",NA,"1938","05","01","Southern America","Surinam",NA,NA,"in frutisetis Paraensis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2039990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2039990","NL-L2039990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
