"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","continentOcean","preparationType","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1399","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","Nygel Taylor","Inês Ribeiro de Andrade;","Brasil","Minas Gerais","Itinga","Fazenda lajedão","-41.7653007507324","-16.6131000518799","41806","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03305546","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter","C. Gómez Hinostrosa","L. Zehntner","Brazil","Bahia",NA,"Villa Nova",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3707502' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19735","1915","06","South America","sheet","NY03305546","NY03305546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1016282","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter",NA,"S. F. Conceição","Brazil","Bahia","Feira de Santana","Distrito de Ipuaçu (João Durval).","-39.0764","-12.2317",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144933' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30","2004","09","South America","sheet","NY01016282","NY01016282_01","14","200","300",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:12:21-03","UFBA","ALCB","09955","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) M.R.Ritter","Taylor, NP; Zappi, D","Grupo Pedra do Cavalo","Brasil","Bahia",NA,"Vale dos Rios Paraguaçu e Jacuipe. Mata a Ne da B. Bananeiras.","-39.083333","-12.533333",NA,NA,"Cacto ereto decumbente de flores esverdeadas isoladas.",NA,"1053","1981","02","Southern America",NA,NA,NA,"16",NA,NA,"1992","04","-39.083333","-12.533333",NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","39936","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Briton e Rose) F. Ritter","Santos, M.R.","Santos, M.R.","Brasil","Minas Gerais",NA,"P. E. Veredas do Perauçu, Cerrado próximo a Veredas",NA,NA,NA,NA,"Colunar ,escandente, sobre cupinzeiro.",NA,"86","2011","03",NA,NA,"VIC039936","VIC039936","19",NA,NA,"2011","03",NA,NA,"19",NA,NA
"6","2020-02-10 17:51:38-03","UNICAMP","UEC","134526","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter","Zappi, DC","Zappi, DC; Taylor, NP","Brazil","Minas Gerais",NA,"North-eastern Minas Gerais, 26 Km west of Salto da Divisa, 24 Km from Jacinto. Remnant of agreste (Mata de Cipó) forest.",NA,NA,NA,NA,NA,NA,"503","2004","08",NA,NA,"UEC041040","UEC041040","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:34:16-03","UFMG","BHCB","78074","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter",NA,"Lombardi, JA; Salino, A; Mota, RC da; Carvalho, FA","Brasil","Minas Gerais","Salto da Divisa","Fazenda Santana","-40.055278","-16.071167",NA,NA,"Mata secundária. Arbusto prostrado, frutos imaturos verdes. Coordenadas originais: 16°04'16,2S; 40°03'19W",NA,"5093","2003","02","Southern America",NA,NA,NA,"20","137","137",NA,NA,"-40.055278","-16.071167",NA,NA,NA
"8","2021-03-04 11:04:47-03","UFRB","HURB","16613","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Mendes, D.B.","Brasil","Bahia","Itaberaba",NA,"-40.116361","-12.520778",NA,NA,NA,NA,"108","2016","12",NA,NA,"HURB000016613","HURB000016613","23","232","232",NA,NA,"40º06'58,9W","12º31'14,8S",NA,NA,NA
"9","2020-06-15 15:29:46-03","UNESP-RC","HRCB","14053","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Taylor, N. P.","Brasil","Bahia","Itaberaba",NA,"-40.3069000244141","-12.5275001525879","39857",NA,"plants shrubby; unripe fruit 5,5 cm long and 6 cm in diam., slightly tuberculate-ribbed, green, witth firmly attached areoles; ripe fruit of same dimension, yellow, with detached areoles; wall clearly","auto","1579","1991","02",NA,NA,NA,NA,"07","380","380",NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","763138","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","Gómez Hinostrosa, C.","J. N. Rose & G. Rose","Brazil","Bahia",NA,NA,NA,NA,NA,"1",NA,NA,"21409","1915","6","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA
"11","2020-09-12 05:00:02-03","US","US","762098","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","Gómez Hinostrosa, C.","L. Zehntner","Brazil","Bahia",NA,NA,NA,NA,NA,"1",NA,NA,"s.n.","1915",NA,"South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA
