"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:25:47-03","UNESC","CRI","7626","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","S. M. Hefler","2001","12","14","S. M. Hefler","68","2001","11","01","Brasil","Paraná","Ponta Grossa","Parque Estadual da Vila Velha, Fazenda Cambijou.","-50.162222","-25.095556","50º9'44''W","25º5'44''S","Habitat: campo seco","CRI006198","CRI006198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","7628","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","S. M. Hefler","2001","10","30","S. M. Hefler","21","2000","10","26","Brasil","Paraná","Tibagi",NA,"-50.411944","-24.515278","50º24'43''W","24º30'55''S",NA,"CRI006195","CRI006195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","423570","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","S. F. Smith",NA,NA,NA,"R. A. Wasum","6853","1989","11","01","Brazil","Rio Grande do Sul","Torres","Torres","-49.7267","-29.3356",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423570","NY00423570_01","Magnoliophyta","Lamiales","South America","6","6","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","423567","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","42644","1979","12","14","Brazil","Paraná","Balsa Nova","S. Luis do Puruna","-49.6356","-25.5842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423567","NY00423567_01","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","423565","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","K. Rahn",NA,NA,NA,"H. S. Irwin","29350","1971","01","30","Brazil","Minas Gerais","Ouro Preto","Lower slopes of Pico de Itacolomí, ca. 2 km S. of Ouro Preto","-43.5081","-20.2878",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423565","NY00423565_01","Magnoliophyta","Lamiales","South America","1600","1600","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","423568","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","K. Rahn",NA,NA,NA,"G. G. Hatschbach","19882","1968","09","27","Brazil","Paraná","Palmeira","Col. Wittmarsum","-50.0064","-25.4294",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423568","NY00423568_01","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1801071","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.",NA,NA,NA,NA,"J. M. A. Braga","3220","1996","01","24","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Planalto, proximidades do cuma da Prateleiras.","-44.65833","-22.35833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801071","NY01801071_01","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","884462","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","2443","1966","09","12","Brazil","Paraná","Curitiba","Partly sodded grassland behind Insitituto de Biologia, bairro Juvévé.","-49.2731","-25.4281",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884462","NY00884462_01","Magnoliophyta","Lamiales","South America","800","800","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","423566","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","E. Asplund",NA,NA,NA,"R. Reitz","5724","1953","09","22","Brazil","Paraná","Sao José dos Pinhais",NA,"-49.152078","-25.590038",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423566",NA,"Magnoliophyta","Lamiales","South America","900","900","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","423569","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","S. F. Smith",NA,NA,NA,"R. C. Molon","8739","1992","10","28","Brazil","São Paulo","Campos do Jordao","Campos do Jordao. Horto Municipal","-45.48067","-22.690526",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423569","NY00423569_01","Magnoliophyta","Lamiales","South America","1650","1650","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","12872","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Souza, J.P.","1995","07","05","Amaral Jr., A.","104","1985","05","18","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.75","45°30'w","22°45's","sub-bosque de Araucaria, herbácea, margem de estrada, barrancos","BOTU012872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:26-03","UNESP-IBB","BOTU","12318","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Souza, J.P.","1995","07","05","Gemtchújnicov, I.D.",NA,"1954","12","08","Brasil","São Paulo","São Paulo",NA,NA,NA,"9999","9999",NA,"BOTU012318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:31:57-03","UFRJ","RFA","42209","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Lucas Giovane","2017","12","15","Lucas Giovane; C. Martins; J. Figueiredo; V. Prazeres","13","2017","12","06","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, parte alta na trilha para as Prateleiras.","-44.5633010864258","-22.4960994720459",NA,NA,"Planta herbácea, 20 centímetros, folhas dispostas em roseta, inflorescência em espiga predominantemente marrom, com pedúnculo longo e flores marrom claro diminutas.","RFA35791",NA,NA,NA,NA,"2449","2449",NA,"19648","auto",NA,NA,NA,NA,NA
"14","2020-11-13 09:20:39-03","UFRJ","RFA","9292","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","K. Rahn","1969",NA,NA,"G.G. Hatschbach","20062","1968","10","13","Brasil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,NA,NA,"RFA47877",NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA
"15","2020-11-13 09:20:39-03","UFRJ","RFA","11856","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","K. Rahn",NA,NA,NA,"G.G. Hatschbach","17124","1967","09","08","Brasil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,NA,NA,"RFA47873",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"16","2020-11-13 09:20:39-03","UFRJ","RFA","42764","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Nina Cláudia Barboza Silva","2012","08","31","Nina C. B. Silva","559",NA,NA,NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, quintal do Sr. Luis.","-43.4185981750488","-22.4286003112793",NA,NA,"Erva acaule, folhas dispostas em roseta com pilosidade na base e ao longo das nervuras.","RFA38397",NA,NA,NA,NA,NA,NA,NA,"18359","auto",NA,NA,NA,NA,NA
"17","2019-12-12 15:31:47-03","UFABC","HUFABC","000648","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Ivanauskas, N",NA,NA,NA,"Amaral, BC; Teixeira-Costa, L","13","2014","08",NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667","-46.717222","-23.566667",NA,"HUFABC000648","HUFABC000648","Angiospermas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:39-03","PUCPR","HUCP","6794","S","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Heffler, SM","2003","04","30","Neto, AAD","004",NA,NA,NA,"Brasil","Paraná","Curitiba","Uberaba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00016834","HUCP00016834","Eudicotiledonea",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"19","2019-12-04 15:25:39-03","PUCPR","HUCP","6918","S","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Heffler, SM","2003","04","30","Ganz, SR","011","1985","09","15","Brasil","Paraná","Curitiba","Parque Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00016886","HUCP00016886","Eudicotiledonea",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"20","2019-12-04 15:25:39-03","PUCPR","HUCP","6920","S","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Jaszczerski, JC",NA,NA,NA,"Ricci, SM","003","1984","10","11","Brasil","Santa Catarina","Itapema","Itapema","-48.611400604248","-27.0902996063232",NA,NA,NA,"HUCP00016835","HUCP00016835","Eudicotiledonea",NA,NA,NA,NA,NA,"9090","auto",NA,NA,NA,NA,NA
"21","2019-12-04 15:25:39-03","PUCPR","HUCP","6795","S","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.","Heffler, SM","2003","04","30","Rodoni, JP","008","1985","09","11","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,"HUCP00016889","HUCP00016889","Eudicotiledonea",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"22","2019-10-09 11:22:48-03","UFBA","ALCB","86970","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne","Ribas, OS","2006",NA,NA,"Ribas, OS; Silva, JM","3475","2001","10","05","Brasil","Paraná","Balsa Nova","Serra São Luís do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,"capítulo creme; borda da cuesta Devoniana",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"23","2021-02-08 21:32:55-03","UFBA","ALCB","12005","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana longispica","J.Caminhoá",NA,NA,NA,NA,"s.col.","PHs/n","1883",NA,NA,"Brasil","Rio de Janeiro",NA,"Rio, Minas",NA,NA,NA,NA,NA,"ALCB015042","ALCB015042","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,"longispica",NA,NA,NA,NA
"24","2020-02-08 09:33:19-03","NBC","NL-BOTANY","L.2850719","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","guilleminiana","Plantago guilleminiana","Decne.",NA,NA,NA,NA,"Klein RM",NA,"1963","10","28","Brazil",NA,NA,"Santa Catarina - Brasil. Curitibanos.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2850719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2850719","NL-L2850719",NA,"Lamiales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
