"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","year","month","day","imagecode","decimalLongitude","decimalLatitude","class","order","identifiedBy","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2020-09-23 10:36:02-03","E","E","2135","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis","unspecified kind of","Spruce, Richard","E. Tropical South America","BR","Amazonas","Silva Amazonica: Rio Negro","herbarium specimen of unspecif","BGBASE:12460","<a href=http://data.rbge.org.uk/herb/E00002135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00002135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1777164","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,NA,"South America","Brazil",NA,"Rio de Janeiro. Ad saxa rivili Maracana prope Caixa de agoa","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2000171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777164","Marchantiophyta","(L.) Dumort.","279","1873","07","17","NY01777164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1777167","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,NA,"South America","Trinidad and Tobago",NA,NA,"packeted",NA,"Collector as Black <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2000181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777167","Marchantiophyta","(L.) Dumort.","s.n.",NA,NA,NA,"NY01777167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1777166","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"M. Guariglia","South America","Venezuela",NA,"Territorio Federal Amazonas. Departamento Atabapo: ALRREDEDOIEES DE LA COMUNIDAD DE CULEBRA. Entre los Cerros Duida y Huachama cari, bosque amazonico interrumpido por peque&#64257;a sahana y conucos, Alt. 200 - 400 metros","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2000175' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777166","Marchantiophyta","(L.) Dumort.","1445","1982","01","28","NY01777166_01","-65.75","3.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1777165","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,NA,"South America","Chile",NA,"Cape Horn","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2000173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777165","Marchantiophyta","(L.) Dumort.","s.n.",NA,NA,NA,"NY01777165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-06-25 06:17:47-03","MICH","MICH","550927","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"F. M. Pagan",NA,"Venezuela",NA,"El Yaque",NA,NA,NA,NA,"Hepatophyta","(L.) Dumort.","190","1937","3","25",NA,NA,NA,"Hepatopsida","Metzgeriales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:26:28-03","UFBA","ALCB","130853","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Vilas Bôas-Bastos, SB","Southern America","Brasil","Bahia","Povoado de Nova Esperança, Estação Ecológica de Wenceslau Guimarães, Trilha Água Vermelha. Epíxila. Floresta ombrófila, Domínio Floresta Atlântica.",NA,NA,"Epíxila",NA,"Marchantiophyta","(L.) Dumortier","3288","2017","12","03",NA,"-39.707778","-13.578333",NA,NA,"Vilas Bôas-Bastos, SB","Wenceslau Guimarães","-39.707778","-13.578333","443","443",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:26:28-03","UFBA","ALCB","130857","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Vilas Bôas-Bastos, SB","Southern America","Brasil","Bahia","Povoado de Nova Esperança, Estação Ecológica de Wenceslau Guimarães, Trilha Água Vermelha. Epíxila. Floresta ombrófila, Domínio Floresta Atlântica.",NA,NA,"Epíxila",NA,"Marchantiophyta","(L.) Dumortier","3263","2017","12","03",NA,"-39.707778","-13.578333",NA,NA,"Vilas Bôas-Bastos, SB","Wenceslau Guimarães","-39.707778","-13.578333","443","443",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 12:06:17-03","IAP","PACA-BRYOPHYTES","117152","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Vital, D.M.",NA,"Brasil","SP","estrada do mar, ca 12km NW de ubatuba atravessando um trecho de amta atlantica",NA,NA,"sp257247 Habitat: sobre barranco rochosos ao longo da rodovia","PACA117152",NA,NA,"15194","1987","08","18",NA,"-45.071111","-23.433889",NA,NA,"sine determiner","Ubatuba","45º04'16.0W","23º26'02.0S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-25 11:37:51-03","IECOS","HBRA","7105","S","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"M. R. Pietrobom","América do Sul","Brasil","Pará","Serra do Acari, ESEC do Grão Pará, Serra do Acari, trilha 2 de 2800m","exsicata",NA,"Epífita na base de tronco vivo na encosta da serra","HBRA0006575",NA,"(L.) Dumort.","7825","2008","08","28","HBRA0006575 HBRA0006575_01","-52","-1.2715",NA,NA,"D. F. Peralta","Oriximiná","-52.00000000","-1.27150000",NA,NA,"2011","10","03",NA,NA,NA,NA,NA
"11","2020-10-14 09:58:08-03","FURB","FURB","28611","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.",NA,"Brasil","Santa Catarina","RPPN Prima Luna / Monte Barão.",NA,NA,"Epífita IFFSC e8007a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Primário; beira de riacho Habito: epífita em tronco caído;","FURB04918",NA,"(L.) Dumort.","2580","2010","06","15","FURB04918","-49.0269445","-27.2636111",NA,NA,"Peralta, DF","Nova Trento","-49.0269445","-27.2636111","1097","1097","2012","05",NA,NA,NA,NA,NA,NA
"12","2021-03-16 17:55:58-03","UCS","HUCS","32830","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Nebel, M.",NA,"Alemanha","Baden-Wurttemberg","Fränkischer Wald",NA,NA,"Staatl. Museum&nf; Für Naturkunde Stuttgart",NA,"Bryophyta","L. Dumort.","s.n.","2005","07","14",NA,NA,NA,NA,"Metzgeriales",NA,"Schwäbisch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:55:58-03","UCS","HUCS","32831","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Nebel, M.",NA,"Alemanha","Baden-Wurttemberg",NA,NA,NA,"Staatl. Museum&nf; Für Naturkunde Stuttgart",NA,"Bryophyta","L. Dumort.","s.n.","2005","09","24",NA,NA,NA,NA,"Metzgeriales",NA,"Mittlerer Schwarzwald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-16 17:55:58-03","UCS","HUCS","33096","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Nebel, M.",NA,"Alemanha","Baden-Wurttemberg","Fränkischer Wald",NA,NA,"Staatl. Museum&nf; Für Naturkunde Stuttgart",NA,"Bryophyta","L. Dumort.","s.n.","2005","10","13",NA,NA,NA,NA,"Metzgeriales",NA,"Schwäbisch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-16 17:55:58-03","UCS","HUCS","33305","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Nebel, M.",NA,"Áustria","Alpenvorland","Gargellen",NA,NA,"Staatl. Museum&nf; Für Naturkunde Stuttgart",NA,"Bryophyta","L. Dumort.","s.n.","2005","08","13",NA,NA,NA,NA,"Metzgeriales",NA,"Montafon",NA,NA,"1460","1460",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:55:58-03","UCS","HUCS","30479","PreservedSpecimen","Plantae","Aneuraceae","Aneura","pinguis","Aneura pinguis",NA,"Tonini, M.",NA,"Brasil","Rio Grande do Sul","Fatima",NA,NA,"no solo",NA,"Bryophyta","L. Dumort.","4","2007","01","09",NA,"-51.2827987670898","-28.8582992553711",NA,"Metzgeriales","Yano, O.","Antônio Prado",NA,NA,"658","658","2007","09","18","18693","auto",NA,NA,NA
