"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02434844","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","amplectens","Piper amplectens","C.DC.","S. A. da M. Souza","520","1986","11","26","South America","Brazil","Pará","Altamira","Rio Xingu (Juruá). Travessão do CNEC, Dique 13.","-52.2064018249512","-3.20333003997803","748499","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2671303' target='other'> <mi>dwc_moreinfo</mi></a>","NY02434844","NY02434844_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957413","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","H. S. Irwin","26479","1970","02","21","South America","Brazil","Distrito Federal","Brasília","Ca. 12 km S. of Planaltina, DF-13","-47.6607","-15.72725",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957413","NY00957413_01",NA,"R. Callejas Posada","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00957412","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","H. S. Irwin","26278","1970","02","07","South America","Brazil","Minas Gerais","Paracatu","Serra da Anta, summit of chapada, ca. 2 km N.W. of Paracatu","-46.8727","-17.22555",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957412","NY00957412_01",NA,"C. L. F. Ichaso; E. F. Guimarães","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01421882","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","E. H. G. Ule","7995","1909","02",NA,"South America","Brazil","Amazonas",NA,"Rio Branco",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01421882","NY01421882_02",NA,"T. G. Yuncker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","957426","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","R. C. de Mendonça","43","1980","02","09","South America","Brazil","Distrito Federal","Brasília","Setor de Indústria","-47.9294","-15.7797",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957426","NY00957426_01",NA,"R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","556332","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","E. M. Zardini","45206","1996","06","14","South America","Paraguay","Amambay",NA,"Arroyo Aceite (buffer zone of Parque Nacional Cerro Corá)","-56.0253","-22.6719",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556332","NY00556332_01",NA,"R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","556344","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","A. F. M. Glaziou","7227","1887","09","13","South America","Brazil","Rio de Janeiro",NA,"Itabira do Campo",NA,NA,NA,"sheet","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556344","NY00556344_01",NA,"T. G. Yuncker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","556335","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","A. G. de Andrade","478","1960","09","13","South America","Brazil",NA,NA,"Proc. I. Banal, proximo a Fazenda do SPI. Santa Isabel",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556335","NY00556335_01",NA,"T. G. Yuncker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957404","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","H. S. Irwin","13816","1966","03","08","South America","Brazil","Goiás","Ipameri","Serra dos Cristais, ca. 25 km S. of Cristalina","-47.6","-16.9759",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957404","NY00957404_01",NA,"C. L. F. Ichaso; E. F. Guimarães","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00957433","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","J. M. Pires","9391","1963","04","25","South America","Brazil","Distrito Federal","Brasília","Saída Sul, Córrego Vicente Pires","-47.9294","-15.7797",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957433","NY00957433_01",NA,"E. F. Guimarães; C. L. F. Ichaso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
