"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","822526","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","A. L. V. Toscano de Brito","W. Ganev","531","1992","06","19","South America","Brazil","Bahia","Radiador, estrada Abaíra - Catolés.","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822526","NY00822526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","822525","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","A. L. V. Toscano de Brito","W. Ganev","688","1992","07","20","South America","Brazil","Bahia","Estrada Piatã - Abaíra, próximo ao radiador.","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822525","NY00822525_01","Abaíra","-41.72","-13.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547343","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","F. C. Hoehne","A. Gehrt","28138","1931","08","15","South America","Brazil","São Paulo","Cidade Jardim",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547343","NY00547343_01","Sao Paulo","-46.698324","-23.591462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:39-03","ESALQ","ESA","104447","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia",NA,"Paula-Souza, J. & Paciencia, M.","Paula-Souza, J.","5705.0","2006","04","10",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"ESA104447","ESA104447","Linhares","-40.0722007751465","-19.3910999298096","2006","04","13","48094","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:14-03","MN","R","41570","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb. f.","Braga, P.I.S.","Velloso, H.P.","484","1943","09","02",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:14-03","MN","R","36505","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb. f.","Braga, P.I.S.","Rosa, M.",NA,"1943","05",NA,NA,"Brasil","Rio de Janeiro","Jacarepaguá",NA,NA,NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","1973","10","04","57442","auto",NA,NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:20-03","FFCLRP","LBMBP","617","S","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:20-03","FFCLRP","LBMBP","616","S","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-27 18:05:48-03","UFES","VIES","38893","S","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","Freitas, J.","Pena, N.T.L.; Alves-Araújo, A.; Luber, J.; Sossai, B.G. & Souza, W.O.","333","2015","06","23",NA,"Brasil","Espírito Santo","APA Pedra do Elefante.",NA,NA,NA,NA,"VIES038893",NA,"Nova Venécia","-40.4006004333496","-18.710599899292","2016","10","10","42400","auto",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 03:25:54-03","MNHN","RECOLNAT_MNHN_P","P00455937","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Glaziou, A.",NA,"1888","3","12",NA,"Brésil",NA,"Quinta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455937' target='other'> <mi>dwc_moreinfo</mi></a>","P00455937","P00455937_01",NA,NA,NA,NA,NA,NA,NA,NA,"17257",NA,NA,NA,NA,NA,NA
"11","2015-09-03 19:29:45-03","MNHN","RECOLNAT_MNHN_P","P00455938","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Glaziou, A.",NA,"1888","3","12",NA,"Brésil",NA,"Quinta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455938' target='other'> <mi>dwc_moreinfo</mi></a>","P00455938","P00455938_01",NA,NA,NA,NA,NA,NA,NA,NA,"17257",NA,NA,NA,NA,NA,NA
"12","2015-09-16 14:42:22-03","MNHN","RECOLNAT_MNHN_P","P00455939","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Glaziou, A.",NA,"1888","3","12",NA,"Brésil",NA,"Quinta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455939' target='other'> <mi>dwc_moreinfo</mi></a>","P00455939","P00455939_01",NA,NA,NA,NA,NA,NA,NA,NA,"17257",NA,NA,NA,NA,NA,NA
"13","2015-09-16 14:42:16-03","MNHN","RECOLNAT_MNHN_P","P00455940","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Guillemin, J.B.A.",NA,"1839","5",NA,NA,"Brésil",NA,"Brésil méridional : marais de Frexal",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455940' target='other'> <mi>dwc_moreinfo</mi></a>","P00455940","P00455940_01",NA,NA,NA,NA,NA,NA,NA,NA,"998",NA,NA,NA,NA,NA,NA
"14","2015-09-04 03:25:54-03","MNHN","RECOLNAT_MNHN_P","P00455941","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Miers, J.",NA,"1838","4",NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455941' target='other'> <mi>dwc_moreinfo</mi></a>","P00455941","P00455941_01",NA,NA,NA,NA,NA,NA,NA,NA,"3544",NA,NA,NA,NA,NA,NA
"15","2020-07-28 18:27:27-03","MBML","MBML-HERBARIO","45517",NA,"Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","A.P. Fontana/11-06-2013","E. Tomazini",NA,"2005","06","18",NA,"Brasil","Espírito Santo","Alto Tabocas",NA,NA,NA,"Epífita","MBML045517",NA,"Santa Teresa","-40.686944","-19.932222",NA,NA,NA,NA,NA,NA,"40W41'13","19S55'56",NA,NA,NA,NA
"16","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","46156",NA,"Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","A. P. Fontana/11-05-2009","A. P. Fontana","6010","2009","05","11",NA,"Brasil","Espírito Santo","Valsugana Velha, propriedade do Sr. Moacir Peroni","650","650",NA,"Epífita sobre cafeeiro. Inflorescência vinácea. Sépalas amareladas; pétalas rosadas; labelo branco com calosidade amarela; coluna amarela com dentes superiores vináceos com tricomas brancos; pedicelo e ovário vináceo. Vide álcool","MBML046156",NA,"Santa Teresa","-40.548681","-19.958528",NA,NA,NA,NA,NA,NA,"40W32'55,25","19S57'30,7",NA,NA,NA,NA
"17","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","51681",NA,"Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"L. Kollmann","13394","2017","05","10",NA,"Brasil","Espírito Santo","Rio Nove, sitio L.Kollmann",NA,NA,NA,"Crescendo em cima de laranjeira, flores rosa","MBML051681",NA,"Santa Maria de Jetibá","-40.649444","-19.981111",NA,NA,NA,NA,NA,NA,"40W38'58","19S58'52",NA,NA,NA,NA
"18","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","48270",NA,"Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.",NA,"Chiron; K. Perim","14027","2013","03","07",NA,"Brasil","Espírito Santo","Burarama",NA,NA,NA,NA,"MBML048270",NA,"Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086",NA,NA,NA,"35694","auto",NA,NA,NA,NA,NA,NA,NA
"19","2014-11-06 16:18:37-02","UFPB","EAN","3807","S","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","( Lindl ) Rchb. f.","L. P. Felix & G. V. Dornelas","L. P. Felix ; G. V. Dornelas","774","1987","09","12",NA,"Brasil","São Paulo",NA,NA,NA,NA,"Herbácea; flores brancas. Cedida por Vitorino..Habitat: Epífita",NA,NA,"Salesópolis","-45.84","-23.53","1987","10","02","18032","auto",NA,NA,NA,NA,NA,NA,NA
"20","2014-11-06 16:18:37-02","UFPB","EAN","6108","S","Plantae",NA,NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","( Lindl ) Rchb. f.","L. P. Felix",NA,"3211","1990","08","25",NA,"Brasil","Bahia","Capão - Morro do Chapéu",NA,NA,NA,"Erva; flores lilás-claro; raízes de rizoma longo. Frequente em vegetação de cerrado..Habitat: Epífita",NA,NA,NA,NA,NA,"1991","04","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-25 10:11:27-03","CVRD","CVRD","11172","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","Geovane S. Siqueira","Siqueira, G.S.","396","2008","03","22","América do Sul","BRASIL","ES","Córrego pau atravessado.","6","6",NA,"<ll>dwc_commonname:</ll> Orquídea de várzea","CVRD011172",NA,"Linhares","-39.929921","-19.152412","2008","03","22",NA,NA,NA,"-39,929921","-19,152412","Liliopsida",NA,NA,NA
"22","2021-02-25 10:11:27-03","CVRD","CVRD","6823","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","Domingos A. Folli","Folli, D.A.","3880","2001","04","17","América do Sul","BRASIL","ES",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea de várzea","CVRD006823",NA,"Linhares","-40.0722007751465","-19.3910999298096","2001","04","17","48094","auto",NA,NA,NA,"Liliopsida",NA,NA,NA
"23","2021-02-25 10:11:27-03","CVRD","CVRD","6558","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","Domingos A. Folli","Folli, D.A.","3646","2000","07","07","América do Sul","BRASIL","ES","Córrego Pau Atravessado",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea de várzea","CVRD006558","CVRD006558","Linhares","-40.0722007751465","-19.3910999298096","2000","07","07","48094","auto",NA,NA,NA,"Liliopsida",NA,NA,NA
"24","2021-02-25 10:11:27-03","CVRD","CVRD","3826","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","J. T. Atwood","Folli, D.A.","1600","1992","03","17","América do Sul","BRASIL","ES","Córrego Rancho Alto.",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea de várzea","CVRD003826",NA,"Linhares","-40.0722007751465","-19.3910999298096","1995","05","10","48094","auto",NA,NA,NA,"Liliopsida",NA,NA,NA
"25","2021-02-25 10:11:27-03","CVRD","CVRD","6815","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","Domingos A. Folli","Folli, D.A.","3873","2000","04","23","América do Sul","BRASIL","ES","Planta localizada no Córrego Pau Atravessado",NA,NA,NA,"Coleta do Sr. Lúcio S. Leoni <ll>dwc_commonname:</ll> Orquídea de várzea","CVRD006815","CVRD006815","Linhares","-40.0722007751465","-19.3910999298096","2001","04","23","48094","auto",NA,NA,NA,"Liliopsida",NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","2678870","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia",NA,NA,"F. C. Hoehne & A. Gehrt","s.n.","1939","7","24","South America - Neotropics","Brazil","São Paulo",NA,NA,NA,NA,NA,"US00008983","US00008983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA
"27","2014-04-04 18:28:05-03","PNFM","IRAI","2340","S","Plantae","Magnoliophyta",NA,"Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","Rchb.f.","Ristow, R.","Ristow, R.","768","2010","07","12",NA,"Brasil","Paraná","Casa do Rony, Jardim Mediterrâneo",NA,NA,NA,"Epífita, flor com labelo albo, interior do tubo amarelo, sépalas pintadas de bordô, cultivada. Área urbana","IRAI00002340",NA,"Colombo","-49.22275","-25.332333","2010","01","01",NA,NA,NA,"-49.22275","-25.332333",NA,NA,NA,NA
"28","2019-10-07 09:20:09-03","UEFS","HUEFS","89924","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","A.T.de Brito","Smidt, E.C.","360","2002","08","20",NA,"Brasil","Bahia","Caminho para Morro da Torre.",NA,NA,NA,"Campo rupestre.","HUEFS0089924","HUEFS0089924","Morro do Chapéu","-41.383333","-12.566667","2008","05",NA,NA,NA,NA,"41W23'","12S34'","Lilianae",NA,NA,NA
"29","2019-10-07 09:20:09-03","UEFS","HUEFS","11131","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","A.T.de Brito","Ganev, W.","688","1992","07","20",NA,"Brasil","Bahia",NA,"1100","1100",NA,NA,"HUEFS0011131","HUEFS0011131","Abaíra","-41.716667","-13.283333","1996","03",NA,NA,NA,NA,"41W43'","13S17'","Lilianae",NA,NA,NA
"30","2019-10-07 09:20:09-03","UEFS","HUEFS","55707","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Rodriguezia","obtusifolia","Rodriguezia obtusifolia","(Lindl.) Rchb.f.","A.T.de Brito","Nonato, F.R.","962","2001","08","04",NA,"Brasil","Bahia","Entrada para Morrão.","1144","1144",NA,"Caatinga.","HUEFS0055707","HUEFS0055707","Morro do Chapéu","-41.191944","-11.584167","2008","01",NA,NA,NA,NA,"41W11'31''","11S35'3''","Lilianae",NA,NA,NA
