"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","634132","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","C. C. Berg","Y. E. J. Mexia","4389","1930","02","23","South America","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Hill northwest of main buildings","-42.8819007873535","-20.7539005279541","13937","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634132","NY00634132_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","634129","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","C. C. Berg","M. Kuhlmann","2567","1950","09","27","South America","Brazil","São Paulo","Santa Isabel","Igaratá. Propriedade do senhos Joao Barbosa Machado","-46.22","-23.31",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634129","NY00634129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634133","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","C. C. Berg","J. N. Rose","20885","1915",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634133","NY00634133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","634127","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.",NA,"A. F. M. Glaziou","18497","1890","10","31","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634127","NY00634127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183872","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.",NA,"S. de V. A. Pessôa","1201","2007","08","01","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas, remanescente próximo à represa.FG 314.","-42.2553","-22.5806",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183872","NY01183872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634126","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","C. C. Berg","C. C. Berg","1142","1980","04","01","South America","Brazil","Bahia","Sao José","Road from Rod. Sao José-Buerarema to Una, km 6",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634126","NY00634126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","634130","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","C. C. Berg","M. Kuhlmann","2567","1950","09","27","South America","Brazil","São Paulo","Santa Isabel","Igaratá. Propriedade do senhos Joao Barbosa Machado","-46.22","-23.31",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634130","NY00634130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","634128","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.",NA,"G. Martinelli","9908","1984","10","02","South America","Brazil","Rio de Janeiro","Magé","III Distrito, Paraiso, Centro de Primatologia do RJ-FEEMA","-43.0406","-22.6531",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634128","NY00634128_01 NY00634128_02",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","634131","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Cecropia","hololeuca","Cecropia hololeuca","Miq.","J. R. Pirani","R. de Mello-Silva","547","1991","09","21","South America","Brazil","São Paulo","Bragança Paulista","Fazenda Santo Antonio, divisa com o sitio Bom Jardim","-46.5417","-23.875",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634131","NY00634131_01",NA,"820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG4587","S","Plantae",NA,NA,"Urticaceae","Cecropia","hololeuca","Cecropia hololeuca",NA,NA,"M.F.Vasconcelos","81",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","Fazenda Bocaina - Distrito de Brumal","-43.4152984619141","-19.959400177002","33136",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
