"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:11-03","UNESC","CRI","8126","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Marcos Sobral","S. Dreveck; F. E, Carneiro","644","2009","01","01","Brasil","Santa Catarina","Itá","-52.421389","-27.222778","52º25'17''W","27º13'22''S","CRI007416","CRI007416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","385","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Marcos Sobral","E. Bortolotto, N. Zim e C. A. Lopes",NA,"1987","10","27","Brasil","Santa Catarina","Içara","-49.308889","-28.713611","49º18'32''W","28º42'49''S","CRI007425","CRI007425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:08-03","UNESC","CRI","8514","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","A. L. de Gasper","M. Verdi; R.P. Hasckel & G. Klemz","1751","2009","03","05","Brasil","Santa Catarina","Mondaí","-53.416111","-27.0475","53º24'58''W","27º2'51''S","CRI007413","CRI007413","Lajeado Cascalho.","380","380","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","8167","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","A.L. Gaspar","A. Stival Santos; S. Silveira","470","2009","03","06","Brasil","Santa Catarina","Romelândia","-53.319167","-26.678333","53º19'9''W","26º40'42''S","CRI007415","CRI007415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","316","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Bruno Irgang","Vanilde Citadini-Zanette; Márcia Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025","-28.618611","49º1'30''W","28º37'7''S","CRI007428","CRI007428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:11-03","UNESC","CRI","8180","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","A.L. Gaspar","M. Verdi; R. P. Hasckel e G. Klemz","1723","2009","01","31","Brasil","Santa Catarina","Mondaí","-53.448889","-27.101667","53º26'56''W","27º6'6''S","CRI007418","CRI007418",NA,NA,NA,NA,"2009","05","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:08-03","UNESC","CRI","13133","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Oliveira, AA de","Oliveira, A.A. de","2616","2015","10","10","Brasil","Santa Catarina","Concórdia","-52.201111","-27.268889","52º12'4''W","27º16'8''S","CRI011643","CRI011643","Poço Rico. Poço Rico.","608","608",NA,"2015","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:11-03","UNESC","CRI","98","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Bruno Irgang","Vanilde Citadini-Zanette; Márcia Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025","-28.618611","49º1'30''W","28º37'7''S","CRI007427","CRI007427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:08-03","UNESC","CRI","14153","PreservedSpecimen","Plantae","Solanaceae","Cestrum","strigilatum","Cestrum strigilatum","Ruiz & Pav.","Amanda Matiola & Caleb Borges","Valdemar Boff & Vanilde Citadini",NA,"1998","02","26","Brasil","Santa Catarina","Laguna","-48.7807998657227","-28.4825000762939",NA,NA,"CRI012804",NA,"Campos Verdes",NA,NA,"Habitat: Terrestre Habito: Arbustivo","2018","11","08","21199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:27-03","E","E","83732","PreservedSpecimen","Plantae","Solanaceae","Cestrum","calycinum","Cestrum calycinum",NA,NA,"Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","10","1996","09","19","BR",NA,NA,NA,NA,NA,NA,"E00083732",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083732 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
