"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","previousCatalogNumber","individualCount","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","3877","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","Marcos Sobral","J. A. Jarenkow","1988","10","10","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.907778","-27.465278","51º54'28''W","27º27'55''S","CRI002962","CRI002962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","604357","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","G. P. Lewis","L. Riedel","1832","07",NA,"Brazil","Paraíba",NA,NA,NA,NA,NA,"NY00604357","NY00604357_01","Magnoliophyta","Fabales","462","South America","Parahyba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320909' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01045128","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","A. L. B. Sartori","E. P. Heringer","1947","06","07","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01045128","NY01045128_01","Magnoliophyta","Fabales","s.n.","South America","Subestação Exp. de Pomba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187441' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","604359","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão",NA,"A. F. M. Glaziou","1880","08","08","Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,"NY00604359","NY00604359_01","Magnoliophyta","Fabales","11908","South America","Nova Friburgo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320932' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604374","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","L. B. Smith; S. F. Smith","G. G. Hatschbach","1967","11","13","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00604374","NY00604374_01","Magnoliophyta","Fabales","17812","South America","Morro Guaricana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320901' target='other'> <mi>dwc_moreinfo</mi></a>","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","604375","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","G. G. Hatschbach","J. M. Silva","1994","09","01","Brazil","Paraná","Bocaiúva do Sul","-49.115","-25.2061",NA,NA,"NY00604375","NY00604375_01","Magnoliophyta","Fabales","1381","South America","Rodovia para o Parque das Lauráceas, Rio Capivari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320915' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","604381","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","A. E. Burkart","R. Reitz","1958","11","24","Brazil","Santa Catarina","Rio do Sul","-49.563988","-27.247405",NA,NA,"NY00604381","NY00604381_01","Magnoliophyta","Fabales","7588","South America","Alto Matador, Rio do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320920' target='other'> <mi>dwc_moreinfo</mi></a>","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","604366","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","R. C. Barneby","J. G. Jardim","1993","09","15","Brazil","Bahia","Una","-39.08","-15.15",NA,NA,"NY00604366","NY00604366_01","Magnoliophyta","Fabales","280","South America","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","sheet","N° 280 = 257 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320908' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","604383","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","R. Reitz","L. B. Smith","1964","10","13","Brazil","Santa Catarina","Xanxerê","-52.4","-26.87",NA,NA,"NY00604383","NY00604383_01","Magnoliophyta","Fabales","12496","South America","Near Xanxeré","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320906' target='other'> <mi>dwc_moreinfo</mi></a>","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","604387","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão",NA,"S. G. Tressens","1988","11","25","Argentina","Corrientes","Ituzaingó","-56.7","-27.48",NA,NA,"NY00604387","NY00604387_01","Magnoliophyta","Fabales","3443","South America","Rincón Santa María","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320925' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","604369","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão",NA,"M. Kuhlmann","1958","05","31","Brazil","São Paulo","Areias","-44.6897","-22.58",NA,NA,"NY00604369","NY00604369_01","Magnoliophyta","Fabales","4422","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320929' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","604371","PreservedSpecimen","Plantae","Fabaceae","Myrocarpus","frondosus","Myrocarpus frondosus","Allemão","F. C. Hoehne","F. C. Hoehne","1933","10","04","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00604371","NY00604371_01","Magnoliophyta","Fabales","s.n.","South America","Cabreúva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320911' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
