"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","phylum","year","month","day","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","fieldNumber","preparationType","imagecode","class","order","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-31 13:40:48-03","MN","R","32206","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Hoehne, F.C.","Sampaio, A.J.","4","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:16-03","FFCLRP","LBMBP","182","S","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","E.R. Pansarin","E.R. Pansarin",NA,"Brasil","São Paulo","Ubatuba","-45.066667","-23.433333",NA,NA,"45°04'W","23°26'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1063","S","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","E.R. Pansarin",NA,NA,"Brasil","São Paulo","Ubatuba","-45.066667","-23.433333",NA,NA,"45°04'W","23°26'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:39-03","UFJF","CESJ","67718","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","fuscolutea","Cirrhaea fuscolutea","Lindl.","E. Caglioni","E. Caglioni; A.R. Junckes","522","Brasil","Santa Catarina","Ilhota","-48.9308","-26.799808",NA,NA,"-48.9308","-26.799808","Angiosperma","2014","12","24","América do Sul","Parque Botânico Morro do Baú, Floresta Ombrófila Densa","810","810","Epífito com flores de coloração verde, coletado em subosque de floresta.","CESJ067718",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 12:48:36-03","MNHN","RECOLNAT_MNHN_P","P00436792","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Gabst","Lourteig, A.",NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1967","12","20",NA,"Estado de Santa Catarina : Isla Santa Catarina, Saco Grande, selva humeda","200","400","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436792' target='other'> <mi>dwc_moreinfo</mi></a>","P00436792","2348","hb","P00436792_01",NA,NA,NA,NA,NA
"6","2015-09-04 12:34:50-03","MNHN","RECOLNAT_MNHN_P","P00436793","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.",NA,"Mercier, M.",NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1924",NA,NA,NA,"Santa Catarina",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436793' target='other'> <mi>dwc_moreinfo</mi></a>","P00436793",NA,"hb","P00436793_01",NA,NA,NA,NA,NA
"7","2019-07-09 12:46:46-03","F","FMNH-SEEDPLANTS","V0435947F","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","fuscolutea","Cirrhaea fuscolutea",NA,NA,"F. C. Hoehne","9473","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Spermatophyta","1924","1","1","South America",NA,NA,NA,NA,"V0435947F","9473",NA,"V0435947F_01 V0435947F_02","Monocotyledoneae",NA,NA,NA,NA
"8","2020-08-20 14:54:43-03","UFSC","FLOR","8259","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","fuscolutea","Cirrhaea fuscolutea","Lindl.","Pessoa, E.","Reis, A.","120","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,NA,"1976","11","28",NA,"Rio Tavares, Ilha de Santa Catarina.","50","50","flor amarelo-esverdeado","FLOR0008259",NA,NA,NA,NA,"Asparagales","2013","10","02"
"9","2020-08-20 20:37:52-03","UFSC","FLOR","2556","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Pabst, G.","Bresolin, A.","74","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,NA,"1970","12","18",NA,"Tapera, Caieira, Ilha de Santa Catarina.","300","300","epífito, flor verde-clara, botão roxo-vermelho. Floresceu no Horto Botânico.","FLOR0002556",NA,NA,NA,NA,"Asparagales","1971",NA,NA
"10","2014-10-09 13:58:27-03","UHH","HBG","500701","S","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Kränzlin",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Umgegend von Soinville",NA,NA,NA,"HBG500701",NA,NA,NA,NA,NA,NA,NA,NA
