"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1281180","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","J. Külkamp","R. P. Belém","1767","1965","09","13","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau, CEPEC","-39.2281","-14.7536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679034' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281180","NY01281180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02498996","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.",NA,"A. Peixoto","3034","1985","01","31","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Estrada 243.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2718070' target='other'> <mi>dwc_moreinfo</mi></a>","NY02498996","NY02498996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02499000","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.",NA,"R. de Lemos Fróes","19965","1942","11","29","South America","Brazil","Bahia",NA,"Estrada de São José dos Macucos a Itabuna.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2718010' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499000","NY02499000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033342","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","J. A. Kallunki","J. N. Rose","20736","1915","08","07","South America","Brazil","Rio de Janeiro",NA,"Maricá",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033342","NY01033342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1028211","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","B. A. S. Pereira","E. P. Heringer","5255","1980","07","17","South America","Brazil","Distrito Federal","Brasília","Planto Piloto - SQS 115.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028211","NY01028211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02498997","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.",NA,"R. de Lemos Fróes","1083","1942","12","05","South America","Brazil","Bahia",NA,"Itabuna, Sao José dos Macucos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2718068' target='other'> <mi>dwc_moreinfo</mi></a>","NY02498997","NY02498997_01 NY02498997_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02498999","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2718012' target='other'> <mi>dwc_moreinfo</mi></a>","NY02498999","NY02498999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03188775","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.",NA,"Carlos D. M. Ferreira","71","2015","07","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Saquarema - Jaconé. Borda leste do fragmento. Área de Relevante Interesse Ecológico - Formigueiro do Litoral","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3437911' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188775","NY03188775_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1281181","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","J. Külkamp","A. Gehrt","7927","1922","08","21","South America","Brazil","São Paulo",NA,"Butantan. Ar. cult. no Horto Osw. Cruz.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281181","NY01281181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1183947","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","A. Quinet","A. Quinet","663","2002","08","24","South America","Brazil","Rio de Janeiro","Cabo Frio","Praia do Peró, área de dunas próximo a Serra da Piaçava.","-42.0186","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183947","NY01183947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
