"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","stateProvince","decimalLongitude","decimalLatitude","imagecode","day","county","coordinatePrecision","geoFlag","identifiedBy","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","sex","dayIdentified"
"1","2020-09-23 10:44:29-03","E","E","285644","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora","isotype","Spruce, Richard","1974","E. Tropical South America","BR","Secus Rio Negro, inter Barcellos et San Isabel.","herbarium specimen of unspecif","BGBASE:296304","<a href=http://data.rbge.org.uk/herb/E00285644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1086","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora","isolectotype","R. Spruce","1974","South America","Brazil","Secus Rio Negro, inter Barcellos et San Isabel","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001086","Magnoliophyta","Myrtales","Spruce ex Warm.","1851","12","Amazonas","-63.9364815","-0.3661512","NY00001086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:49:03-03","UFJF","CESJ","28885","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora",NA,"F.R.G. Salimena; P.H. Nobre","s.n.","América do Sul","Brasil","Rod. João Pinheiro, Km 16",NA,NA,"Arvoreta 1,20m, flores lilases, frutos maduros, com muitas abelhas. Cerrado.","CESJ028885","Angiosperma",NA,"Mart.","1995","10","Minas Gerais","-46.0093994140625","-17.0097007751465",NA,"12","Brasilândia de Minas","51681","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-10-03 18:23:42-03","MNHN","RECOLNAT_MNHN_P","P00733938","PreservedSpecimen",NA,"Vochysiaceae","Vochysia","parviflora","Vochysia parviflora","isotype","Spruce, R.",NA,NA,"brésil","Secus Rio Negro, inter Barcellos et San Isabel","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733938' target='other'> <mi>dwc_moreinfo</mi></a>","P00733938",NA,NA,"Spruce ex Warm.","1851","12",NA,NA,NA,"P00733938_01",NA,NA,NA,NA,"Stafleu","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-10-03 18:23:55-03","MNHN","RECOLNAT_MNHN_P","P00733940","PreservedSpecimen",NA,"Vochysiaceae","Vochysia","parviflora","Vochysia parviflora","isotype","Spruce, R.",NA,NA,"brésil","Secus Rio Negro, inter Barcellos et San Isabel","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733940' target='other'> <mi>dwc_moreinfo</mi></a>","P00733940",NA,NA,"Spruce ex Warm.","1851","12",NA,NA,NA,"P00733940_01",NA,NA,NA,NA,"Stafleu","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-26 13:59:12-03","IMA","MAC","31576","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora",NA,"M.A.Batista; -","s.n.",NA,"Brasil","Santo Inácio, Gentil do Ouro.",NA,NA,"Árvore ca. de 5m de altura. Flores lilás.; Caatinga.","MAC0031576",NA,NA,"Spruce ex Warm.","2000","10","Bahia","-42.721389","-11.111111",NA,"26","Irecê",NA,NA,"M.l. Guedes",NA,"2003","-42.721389","-11.111111",NA,NA,NA,NA,NA,NA
"7","2019-10-07 09:36:09-03","UEFS","HUEFS","32459","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora",NA,"Spruce, R.","1974",NA,NA,NA,NA,NA,NA,"HUEFS0032459","Angiospermae","Myrtales","Spruce ex Warm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA
"8","2019-10-07 09:36:09-03","UEFS","HUEFS","31340","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora",NA,"Coradin, L.","3536",NA,"Brasil","Entroncamento Br-153, Formoso do Araguaia, km 15-Go.",NA,NA,NA,"HUEFS0031340","Angiospermae","Myrtales","Spruce ex Warm.","1980","10","Goiás","-49.316667","-11.95","HUEFS0031340 HUEFS0031340_01","05","Formoso do Araguaia",NA,NA,"F.França",NA,"1997","49W19'","11S57'","Rosanae","11","260","260",NA,NA
"9","2019-10-07 09:36:09-03","UEFS","HUEFS","32460","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora",NA,"Spruce, R.","1974",NA,"Brasil",NA,NA,NA,NA,"HUEFS0032460","Angiospermae","Myrtales","Spruce ex Warm.","1851","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA
"10","2019-01-23 11:09:59-02","F","FMNH-SEEDPLANTS","V0074875F","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","parviflora","Vochysia parviflora","Isotype","R. Spruce","1974","South America","Brazil",NA,NA,NA,NA,"V0074875F","Spermatophyta",NA,NA,NA,NA,NA,"-52.8731","-10.8339","V0074875F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
