"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:47-03","UNESC","CRI","7661","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2008","03","26","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI005257","CRI005257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:32-03","UNESC","CRI","14544","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Marcos Sobral","2007","06","02","Aline Costa Brum Figueiró Leandro; Rosimar Tretuliano da Silva","2007","06","02","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","46","46","CRI013821",NA,"Parque Ecológico Municipal José Milanese","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","15172","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Aline Votri Guislon","2019","03","26","Aline V. Guislon; Iara Z. Zanoni; Suelane C. Fenali; Bruna B. Ghislandi & Amanda Matiola","2019","03","26","Brasil","Santa Catarina","Criciúma","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","CRI014587","CRI014587","APA Morro Albino e Esteves. (L13) Bairro Capão Bonito","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","197","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Vanilde Citadini- Zanette","1989","07","01","Vanilde Citadini Zanette; Márcia Butuhy","1989","07","01","Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S",NA,NA,"CRI005259","CRI005259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","183","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Bruno Irgang",NA,NA,NA,"Vanilde Citadini Zanette; Márcia Butuhy","1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S",NA,NA,"CRI005136","CRI005136","Jaboticabeira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","8430","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Vanilde Citadini- Zanette","2008","01","08","Mainara F. Cascaes","2008","01","08","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI005258","CRI005258","Parque Ecológico Municipal de Maracajá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:39-03","UNESC","CRI","15117","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Aline Votri Guislon","2019","03","08","Aline V. Guislon; Iara Z. Zanoni; Felipe Seron & Suelane C. Fenali","2019","03","08","Brasil","Santa Catarina","Criciúma","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","CRI014530","CRI014530","APA Morro Albino e Esteves. (Área L13)","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:39-03","UNESC","CRI","15190","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Aline Votri Guislon","2019","03","26","Aline V. Guislon; Iara Z. Zanoni; Suelane C. Fenali; Bruna B. Ghislandi & Amanda Matiola","2019","03","26","Brasil","Santa Catarina","Criciúma","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","CRI014605","CRI014605","APA Morro Albino e Esteves. L13 Capão Bonito.","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","8028","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugeniopsoides","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","Rafal Martins","2008","06","26","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI005007","CRI005007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561595","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","eugeniopsoides","Calyptranthes eugeniopsoides","D.Legrand & Kausel","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","1968","02","14","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,"20","50","NY00561595","NY00561595_01","Picadao Cambara-Col. Limeira","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694106' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","18599","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
