"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:25:53-03","UNESC","CRI","2507","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Reitz; Klein","1971","04","08","Brasil","Santa Catarina","Navegantes","Escalvado.","-48.655","-26.894722","48º39'18''W","26º53'41''S","CRI007203","CRI007203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","6924","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","R. Reitz; R. M. Klein","1971","06","08","Brasil","Santa Catarina","Navegantes",NA,"-48.654444","-26.899444","48º39'16''W","26º53'58''S","CRI007201","CRI007201","L. B. Smith","1977","01","01","18164","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:53-03","UNESC","CRI","6658","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Reitz; Klein","1971","04","08","Brasil","Santa Catarina","Navegantes","Escavaldo.","-48.655","-26.894722","48º39'18''W","26º53'41''S","CRI007202","CRI007202",NA,NA,NA,NA,NA,"20","20","Habitat: cultivada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:53-03","UNESC","CRI","2374","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","R. M. Klein; M. M. Klein","1975","10","18","Brasil","Santa Catarina","Ilhota","Fazenda da Cia, Hering.","-48.828333","-26.901111","48º49'42''W","26º54'4''S","CRI007199","CRI007199",NA,NA,NA,NA,NA,"15","15","Habitat: Pastagem e plantações",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:53-03","UNESC","CRI","2511","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Reitz; Klein","1971","04","08","Brasil","Santa Catarina","Navegantes","Escalvado.","-48.655","-26.894722","48º39'18''W","26º53'41''S","CRI007200","CRI007200",NA,NA,NA,NA,NA,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1174434","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) Stapf & C.E.Hubb. ex M.B.Moss","L. Coradin",NA,NA,NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,"NY01174434","NY01174434_01",NA,NA,NA,NA,"639",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400981' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","9955","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Gemtchújnicov, I.D.","1971","01","21","Brasil","São Paulo","Botucatu","Distrito de Rubião Jr.",NA,NA,"9999","9999","BOTU009955",NA,"Boldrini, I.","1997","04","01","194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","2947","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Chiarelli, A.","1971","01","19","Brasil","São Paulo","Botucatu","Horto da FCMBB. UNESP.",NA,NA,"9999","9999","BOTU002947",NA,"Chiarelli, A.",NA,NA,NA,"35",NA,NA,"<ll>dwc_commonname:</ll> Capim rabo de gato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","2877","PreservedSpecimen","Plantae","Poaceae","Setaria","sphacelata","Setaria sphacelata","(Schumach.) M.B.Moss ex Stapf & C.E.Hubb.","Tajiri, N.S.","1971","10","02","Brasil","São Paulo","Botucatu","Horto Experimental do Depto. Botânica da FCMBB.",NA,NA,"9999","9999","BOTU002877",NA,"Boldrini, I.","1998","03","18","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:54:19-03","EAO","IAN","114821","PreservedSpecimen","Plantae","Poaceae","Setaria","anceps","Setaria anceps","Stapf ex Massey","Innes, RR","1956","12","19","Ghana",NA,NA,"University College of Ghana. Department of Agriculture Herbariun no. 518. About 3 m inland from Esiama on road to Half Assini.",NA,NA,NA,NA,"IAN114821",NA,NA,NA,NA,NA,"30329",NA,NA,"Marshy meadown. With grasses and sedges. Occ. to freq. Water-logged sandy soil. Coarse bunchgrass about 5'high.","Monocotiledônea",NA,"Africa",NA,NA,NA,NA,NA,NA,NA
