"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","886189","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","W. R. Anderson","G. G. Hatschbach","65262","1996","07","07","South America","Brazil","Espírito Santo","Castelo","Limoeiro.","-41.1844","-20.6036","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886189","NY00886189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.",NA,"G. G. Hatschbach","61600","1995","01","17","South America","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul.","-40.879922","-20.414572",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886188","NY00886188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886191","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","J. G. Kuhlmann","Antenor","s.n.","1927","12","06","South America","Brazil","Rio de Janeiro",NA,"Perto do Horto Florestal.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886191","NY00886191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886190","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.",NA,"F. Sellow","245","1814",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886190","NY00886190_01 NY00886190_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:11-03","UFRJ","RFA","16087","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","William R. Anderson","P. Occhioni","7077","1975","03","15",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para o Planalto, km 8 - 10","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Árvore de 12 m de altura; flor róseo intenso; fruto jovem branco","RFA13811",NA,"1975","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:55:04-03","NBC","NL-BOTANY","L 0099649","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","Anderson WR","Sello F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200099649 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0099649",NA,NA,NA,NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:55:04-03","NBC","NL-BOTANY","U.1372405","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.",NA,"Hatschbach GG; Hatschbach M; Silva JM",NA,"1995","01","17","Southern America","Brazil",NA,NA,"Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul (Mun. Domingos Martins) Espírito Santo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1372405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1372405","NL-U1372405",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:35-03","ESALQ","ESA","60499","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia",NA,NA,"Hatschbach, G. et al.","61600.0","1995","01","17",NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"ESA060499",NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:35-03","ESALQ","ESA","88647","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","Amorim, A.M.","Pirani, J.R.","4211.0","1998","03","05",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA088647",NA,"1999","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:44:52-02","IPA","IPA","20479","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Griseb.","Francener, A.","Kuhlmann, J.G.","6554","1943","11","30","Southern America","Brasil","Espirito Santo","Pancas","Colatino, Rio Doce.","-40.8513984680176","-19.2250003814697",NA,NA,NA,NA,"IPA0020479",NA,"2015","32475","auto",NA,NA,"08","11",NA,NA,NA,NA
