"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","locality","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-12-17 09:17:18-03","IAP","PACA-AGP","34469","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Solanales","Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R. E. Fr.) Stehmann & Semir","Stehmann, J.R.","2019","12","13","Irm. Augusto","1946","12","06","Brasil","RS","Cerro Largo","-54.7380981445312","-28.1485996246338","13082","Habitat: In campestribus dumetosis Fenofase: flor","PACA034469","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:41:25-03","UNICAMP","UEC","70062","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir","Stehmann, JR","1996","12",NA,"Stehmann, JR; Dutilh, JHA; Sobral, M; Haussen, M; Nilson, AD","1994","12","03","Brazil","Rio Grande do Sul","Uruguaiana","-57.0882987976074","-29.7546997070312","93142","Erva muito ramosa; corola branca, com venação marcada escura, fauce com anel magenta, centro amarelo.; Beira de estrada.","UEC058954","auto","1584","BR 285, antes da ponte no rio Ibicuí.","UEC058954",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:41:42-03","UFMG","BHCB","143936","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Greppi, JA","2006","12",NA,"Argentina","Corrientes","San Martin","-56.107833","-29.107833",NA,NA,NA,NA,"1032","Três Cerros, a 25 km de RN 14",NA,"Southern America","-56.107833","-29.107833",NA,NA,NA,NA
"4","2020-12-11 11:41:42-03","UFMG","BHCB","143092","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Mader, G; Turchetto, C; Fagundes, NJR","2009","10","05","Uruguay","Paysandú","Chapicuy","-57.883333","-31.683333",NA,"amostra número 10. População muito densa, com grande variabilidade morfológica. Venação desde muito marcada e rosada a quase imperceptível. Interior do tubo amarelo a purpura. Grande variação na morfologia da corola (lobos bem marcados ou não) e tama",NA,NA,"s.n.","Ruta 03, barrancos na margem da estrada, cerca de 3km ao sul da cidade de Chapicuy",NA,"Southern America","-57.883333","-31.683333",NA,NA,NA,NA
"5","2020-12-11 11:41:42-03","UFMG","BHCB","143094","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Mader, G; Turchetto, C; Fagundes, NJR","2009","10","07","Uruguay","Tacuarembó","Paso de Los Toros","-56.483333","-32.666667",NA,"amostra número 12","BHCB001988",NA,"s.n.","Ruta 05, entre Paso de Los Toros e Tacuarembó, cerca de 18km ao norte de Paso de Los Toros","BHCB001988","Southern America","-56.483333","-32.666667",NA,NA,NA,NA
"6","2020-12-11 11:41:42-03","UFMG","BHCB","143935","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Greppi, JA","2006","12",NA,"Argentina","Corrientes","San Martin","-56.917","-29.111833",NA,NA,NA,NA,"1031","Três Cerros, a 25 km de RN 14",NA,"Southern America","-56.917","-29.111833",NA,NA,NA,NA
"7","2020-12-11 11:41:42-03","UFMG","BHCB","143937","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Greppi, JA","2006","09",NA,"Argentina","Corrientes","San Martin","-56.896","-29.124333",NA,NA,NA,NA,"1034","Três Cerros, a 23 km de RN 14",NA,"Southern America","-56.896","-29.124333",NA,NA,NA,NA
"8","2020-12-11 11:41:42-03","UFMG","BHCB","36531","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:41:42-03","UFMG","BHCB","117015","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E.Fr.) Stehmann & Semir",NA,NA,NA,NA,"Fregonezi, J; Kriedt, R","2007","12","04","Brasil","Rio Grande do Sul","Uruguaiana","-57.0882987976074","-29.7546997070312","93142","Árvore, DAP= 8,59cm; h=5m. Inflorescência de cor creme.",NA,"auto","6","margem do Rio Ibicuí ao lado da estrada sentido Ur",NA,"Southern America",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:41:53-03","UFMG","BHCB","56366","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Petunia","humilis","Petunia humilis","R.E.Fr.",NA,"1911",NA,NA,"Osten, C","1894","11","26","Uruguay",NA,NA,NA,NA,NA,"Photo Negative Number: 3039","BHCB035243",NA,"3105",NA,NA,"Southern America",NA,NA,"Typus",NA,NA,NA
