"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01873654","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","L. Y. S. Aona-Pinheiro","A. M. V. de Carvalho","4505","1994","04","06","South America","Brazil","Bahia","Porto Seguro","Reserva da Brasil Holanda de Ind. S/A.Entrada no Km 22 da Rod. Eunapólis/ P.Seguro.Ca. 9.5 Km na entrada.","-39.52","-16.4625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873654","NY01873654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01873641","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","P. Fiaschi","J. G. Jardim","2087","1999","04","22","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca. 7,5 km da sede do municipio. Faz. Teimoso, 1,5 km E da entrada. RPPN","-39.5289","-15.1586","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2945607' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873641","NY01873641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01131540","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","R. B. Faden","W. W. Thomas","9005","1992","02","01","South America","Brazil","Bahia","Ilhéus","Road from Olivença to Serra das Trempes, 6km from Olivença","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276197' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131540","NY01131540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885231","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","L. Y. S. Aona-Pinheiro","J. G. Jardim","2155","1999","06","06","South America","Brazil","Bahia","Itacaré","Entrada a ca. 1 km ada BR-101 na Rod. par. Itacaré. Faz. Monte Alegre a ca. 8 km da entrada, margeando o Rio de Contas.","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885231","NY00885231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02206157","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","R. B. Faden","P. Fiaschi","2736","2005","03","12","South America","Brazil","Bahia","Almadina","Rodovia de Almadina para Ibutupa, ca. 20 km. Fazenda Sao Roque, ca. 10 km da entrada do ramal","-39.7130556","-14.6408333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207037' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206157","NY02206157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03754496","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","R. B. Faden","R. Callejas Posada","1977","1983","12","30","South America","Brazil","Bahia","Ilhéus","Area do CEPEC, km 22 da rodovia Ilhéus/Itabuna (BR 415). Regiao de Mata Higrófila Sul Bainana. Quadra D","-39.22095","-14.7739696","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4082025' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754496","NY03754496_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01873662","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","L. Y. S. Aona-Pinheiro","A. M. Amorim","2337",NA,NA,NA,"South America","Brazil","Bahia","Jussari","Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.","-39.5286","-15.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873662","NY01873662_01","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01873507","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.",NA,"W. W. Thomas","13398","2003","03","16","South America","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Lower forest, Northern portion of reserve","-39.5306","-15.1533","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873507","NY01873507_01","275","350",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01131539","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","R. B. Faden","W. W. Thomas","6006","1988","02","18","South America","Brazil","Bahia","Itabuna","CEPLAC, Reserva CEPEC, quadra D","-39.22","-14.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131539","NY01131539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01131538","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","leucophthalmos","Dichorisandra leucophthalmos","Hook.","R. B. Faden","A. M. V. de Carvalho","613","1981","04","19","South America","Brazil","Bahia","Ilhéus","Rodovia Ilhéus/Canavieiras, km 33.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131538","NY01131538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
