"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","886124","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","guilleminiana","Inga guilleminiana","Benth.","W. Hoehne","s.n.","1944","08","08","South America","Brazil","São Paulo","São Paulo","Parque do Estado de São Paulo.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886124","NY00886124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886123","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","guilleminiana","Inga guilleminiana","Benth.","L. Riedel","29",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886123","NY00886123_01","P. H. W. Taubert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886122","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","guilleminiana","Inga guilleminiana","Benth.","R. M. Harley","17864","1977","01","12","South America","Brazil","Bahia",NA,"Parque Nacional de Monte pascoal. On NW slopes of Monte Pascoal.","-39.42","-16.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886122","NY00886122_01","G. P. Lewis","200","586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886121","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","guilleminiana","Inga guilleminiana","Benth.","A. Gehrt","18937","1931","09","10","South America","Brazil","São Paulo",NA,"Butantan","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886121","NY00886121_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00919364","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","A. Macedo","3797","1952","09","07","South America","Brazil","Minas Gerais","Ouro Preto","Saramenha","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919364","NY00919364_01","A. E. Burkart; L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","418836","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","O. Handro",NA,"1934","08","25","South America","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418836","NY00418836_01","O. Handro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1365019","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","P. Clausen","815",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637711' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365019","NY01365019_01",NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","418837","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","E. Tonetti","12","1995","03","15","South America","Brazil","Paraná","Curitiba","Capao da Imbuia","-49.22","-25.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418837","NY00418837_01","D. B. Juck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00919366","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","L. Emygdio de Mello Filho","3498","1972","07","20","South America","Brazil","Minas Gerais",NA,"Caraca. Capela abandonada",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919366","NY00919366_01","J. W. Grimes","1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00919388","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","C. Farney","1020","1986","01","22","South America","Brazil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.487827","-20.360845","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919388","NY00919388_01","T. D. Pennington","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
