"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","previousCatalogNumber"
"1","2016-09-27 14:50:00-03","NY","NYBG","484020","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","L. K. Escobar","A. H. Gentry","44228","1984","01","15","South America","Bolivia","La Paz","Nor Yungas","Below San Pedro, Yolosa-Caranavi road, valley of Rio Coroico.","760","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484017","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","J. C. Lindeman","G. G. Hatschbach","15773","1967","01","20","South America","Brazil","Paraná",NA,"By road from Icaraima to Pôrto Camargo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484017","Mast.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1127784","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","S. S. Tillett","G. Eiten","9457","1969","11","19","South America","Brazil","Mato Grosso","Barra do Garças","87 km north of city of Barra do Garças along road to Xavantina.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127784","Mast.","-52.3","-15.17","NY01127784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00955185","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis",NA,"S. L. M. Moore","579","1891",NA,NA,"South America","Brazil","Mato Grosso",NA,"Iter Matogrossense",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955185","Mast.",NA,NA,"NY00955185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484019","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","A. C. Cervi","G. G. Hatschbach","22883","1969","11","16","South America","Brazil","Paraná","Faxinal","Faxinalzinho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484019","Mast.","-51.3192","-24.0006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00955183","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","J. da Costa Sacco","H. S. Irwin","11030","1965","12","03","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 12 km S. of Corumbá de Goiás.","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955183","Mast.","-48.8086","-16.03204","NY00955183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484024","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","A. C. Cervi","D. C. Daly","6811","1991","06","01","South America","Brazil","Acre","Brasiléia","Seringal Porongaba, Colocaçào Sào José",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484024","Mast.","-68.8","-10.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00484022","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","J. da Costa Sacco","H. S. Irwin","11863","1966","01","20","South America","Brazil","Goiás","Itaberaí","Lower slopes of Serra Dourada, ca. 30 km E of Goiás Velho.","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484022","Mast.","-50","-14","NY00484022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00955184","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","J. da Costa Sacco","H. S. Irwin","17374","1966","06","18","South America","Brazil","Mato Grosso",NA,"Ca. 96 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955184","Mast.","-52.18","-15.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00484023","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","tricuspis","Passiflora tricuspis","J. da Costa Sacco","H. S. Irwin","6899","1964","10","15","South America","Brazil","Mato Grosso",NA,"Ca. 50 km N of Barra do Garças on road to Xavantina.","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484023","Mast.","-52.25","-15.88","NY00484023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
