"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","560","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","binotii","Neoregelia binotii","(Antoine) L.B.Sm.","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Bruno Rezende Silva; Angelo S. Garcia","2000","11","15","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca; Morro Queimado, Reserva da FEEMA","-43.2075004577637","-22.9027996063232","57442","254","auto",NA,NA,NA,NA
"2","2017-09-11 16:27:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Nidularium","binotii","Nidularium binotii","E.Morren",NA,NA,NA,"?",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro, unde in caldarium Morrenianum introduxit Binot","-43.21","-22.9",NA,"(V. s. in herb. Leod.",NA,"s.n.","Southern America","-43.21","-22.9"
"3","2017-09-11 16:27:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Nidularium","binotii","Nidularium binotii","E.Morren",NA,NA,NA,"?",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro, unde in caldarium Morrenianum introduxit Binot","-43.21","-22.9",NA,"(V. s. in herb. Leod.",NA,"s.n.","Southern America","-43.21","-22.9"
