"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","class","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1747417","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","A. C. V. Schott","4301","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1992642' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747417","NY01747417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","603099","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","L. Riedel","463","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603099","NY00603099_01","1832","08","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:50-03","UFRJ","RFA","15713","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"P. Occhioni","6512",NA,"Brasil",NA,"Arbusto escandente, flores alvas aromáticas.","RFA13592",NA,"1974","12","Rio de Janeiro","00","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:32:17-03","UFBA","ALCB","11518","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo",NA,"s.col.","PHs/n","Southern America","Brasil",NA,NA,"ALCB015918","ALCB015918","1880",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Mendanha (Campo Grande)&nf;Do Rio, S. Paulo, Paraná, Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:13:18-03","NBC","NL-BOTANY","U.1249956","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"Ducke A",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249956","NL-U1249956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Procedencia Petropolis (civ. Rio de Janeiro). Loco Meio da Serra.","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:13:18-03","NBC","NL-BOTANY","U.1249957","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"Kuhlmann JG",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249957","NL-U1249957","1921","08",NA,"13",NA,NA,NA,NA,NA,"Procedencia Rio de Janeiro prope urbem loco Reservatore do Macaco in silvis.","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:09:44-03","ESALQ","ESA","106581","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes",NA,NA,"Lima, M.P.M. de","220.0",NA,"Brasil",NA,NA,"ESA106581","ESA106581","1992","03","Rio de Janeiro","17","Guapimirim","-42.9818992614746","-22.5372009277344","21463","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:29:40-03","MN","R","69681","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"s.col.",NA,NA,"Brasil",NA,"Herb. J. de Saldanha 71.",NA,NA,NA,NA,"Rio de Janeiro",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:31:03-03","UNICAMP","UEC","146791","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","Lima, HC; et al.","5952",NA,"Brazil",NA,"Ocasional no sub-bosque. Árvore com 5 m altura, tronco com casca lisa e pardacenta, DAP + ou - 8 cm; flores com cálice verde e corola alva, frutos jovens esverdeados.","UEC161892","UEC161892","2001","11","Rio de Janeiro","16","Nova Iguaçu","-43.451099395752","-22.7591991424561","25743","auto","REBIO, Tinguá, Estrada do Ouro, boa Esperança. Estrada para a represa. Mata do Sopé da encosta. Elev.: 130 m",NA,"2010","07","19",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:31:03-03","UNICAMP","UEC","206060","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","Araújo, DSD","217",NA,"Brazil",NA,"Arvoreta de mais ou menos 4m de altura; Umbrófila, Fruto maduro.","UEC161984","UEC161984","1973","06","Rio de Janeiro","15","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Caminho para Paineiras; Vila da floresta - Pedra do Beijo.",NA,"2010","09","16",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-11 16:42:18-03","UNICAMP","UEC","146446","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ",NA,"1008",NA,"Brazil",NA,"Arvore,flor branca.","UEC161893","UEC161893","1986","11","Rio de Janeiro","10","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Cultivada no JBRJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-11 16:42:18-03","UNICAMP","UEC","29934","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","?","s.n.",NA,"Brazil",NA,"flor, Árvore de 2-4m de altura, flor alva, inflorescência, pêndula.","UEC161894","UEC161894","1927","03","Rio de Janeiro","04","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Matas das Obras Públicas, perto da sede",NA,"2010","07","19",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:31:03-03","UNICAMP","UEC","143542","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","Bertoni, JEA; Geremias, A","796",NA,"Brazil",NA,"arvoreta 6 m de alt; com flores brancas.","UEC161895","UEC161895","2002","10","São Paulo","10","Campinas","-47.060001373291","-22.8999996185303","23900","auto","Fazenda Santa Elisa, IAC; Quadra do Café, L 10-P4; Procedência: Jardim Botânico- Rio de Janeiro.",NA,"2010","07","19",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:31:03-03","UNICAMP","UEC","143541","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","Bertoni, JEA; Geremias, A","365",NA,"Brazil",NA,"arbusto com + ou - 3 m; com frutos verdes","UEC161897","UEC161897","2000","10","São Paulo","27","Campinas","-47.060001373291","-22.8999996185303","23900","auto","Fazenda Santa Elisa, Quadra do café L 10-P4",NA,"2010","07","19",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:31:03-03","UNICAMP","UEC","143565","S","Plantae","Magnoliopsida",NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & Tozzi","Silva, MJ","Bertoni, JEA; Geremias, A","348",NA,"Brazil",NA,"Arvoreta, ca. 4-5 m alt. Flores brancas. frutos em formação.&nf;&nf;Observações: Horto Florestal- SP","UEC161896","UEC161896","2000","10","São Paulo","23","Campinas","-47.060001373291","-22.8999996185303","23900","auto","Fazenda Santa Elisa, Quadra do Café, L2-P31",NA,"2010","07","19",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:30:26-03","UFRRJ","RBR","8120","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"L.F.T. Menezes","1092",NA,"Brasil",NA,NA,"RBR00008120",NA,"2003","03","Rio de Janeiro","16","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","Ilha da Marambaia, Caminho da Gruta da floresta de encosta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
