"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","fieldNumber","typeStatus","verbatimLongitude","verbatimLatitude","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01048010","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","attenuatus","Lupinus attenuatus","Gardner","A. M. Planchuelo","R. de Mello-Silva","360","1990","08","20","South America","Brazil","Minas Gerais","Diamantina","Antigo leito da estrada de ferro, 400 á direita da estrada para Gouveia (BR 259)","-43.6003","-18.2494","1370","1370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193744' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048010","NY01048010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01055012","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","attenuatus","Lupinus attenuatus","Gardner","D. B. Dunn","G. G. Hatschbach","30114","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe",NA,NA,"1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055012","NY01055012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01055034","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","coriaceus","Lupinus coriaceus","Benth.","R. C. Barneby","G. G. Hatschbach","30072","1972","08","08","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fda. Palacio","-43.7447","-19.5136",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055034","NY01055034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01055010","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","coriaceus","Lupinus coriaceus","Benth.",NA,"A. P. Duarte","2059","1949","12","04","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, km 132",NA,NA,"1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055010","NY01055010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01055011","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","coriaceus","Lupinus coriaceus","Benth.","H. S. Irwin","B. Maguire","49058","1960","08","07","South America","Brazil","Minas Gerais",NA,"Summit of Serra do Cipó, km 112-128 on road from Hotel Chapeu do Sol.",NA,NA,"1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055011","NY01055011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01054965","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","coriaceus","Lupinus coriaceus","Benth.","V. E. Rudd","Restinga I","Serra-II1069","1953","10",NA,"South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, 6km north of Palacio","-43.7447","-19.5136",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178480' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054965","NY01054965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:48-03","EAO","IAN","93117","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Lupinus","attenuatus","Lupinus attenuatus","Gardner",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:48-03","EAO","IAN","14935","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Lupinus","attenuatus","Lupinus attenuatus","Gardner","Barreto, M","Oliveira, JE de","s.n.","1940","07","13","Southern America","Brasil","Minas Gerais","Jaboticatubas","Campo; serra do Cipó.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"IAN014935","IAN014935 IAN014935_e","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:09:44-03","ESALQ","ESA","35345","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Lupinus","coriaceus","Lupinus coriaceus",NA,"Lewis, G.P.","Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","12035.0","1996","07","06",NA,"Brasil","Minas Gerais","Diamantina","19 Km de Diamantina em direção a Datas. Campo rupestre.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto; flores violeta.","ESA035345","ESA035345","101169","auto","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:29:40-03","MN","R","33192","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lupinus","attenuatus","Lupinus attenuatus","Gardner",NA,"Mello Barreto, H.L.","5443","1933","08","24",NA,"Brasil","Minas Gerais","Santa Luzia",NA,"-43.8513984680176","-19.7696990966797",NA,NA,NA,"Jardim Botânico dde Bello Horizonte 7211.",NA,NA,"19939","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
