"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1183984","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R. A. X. Borges","R. C. Forzza","3266","2004","03","30","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, entre a Mata Grande e a Ponte de Pedra.","-43.7931","-21.8425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459504' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183984","NY01183984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1183975","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R. A. X. Borges","M. M. Saavedra","257","2006","05","16","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Trilha Prainha - Lago dos Espelhos.","-43.8833","-21.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183975","NY01183975_01","1380","1380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","871985","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"E. Pereira","7456","1963","03","29","South America","Brazil","Goiás",NA,"Cemiterio Sul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871985","NY00871985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1183995","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R. A. X. Borges","R. A. X. Borges","156","2006","07","01","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca.","-43.8958","-21.7258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183995","NY01183995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","871986","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"E. Pereira","1391","1955","05","20","South America","Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871986","NY00871986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","871988","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"E. Pereira","1453","1955","05","22","South America","Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871988","NY00871988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","871987","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Y. E. J. Mexia","5723","1931","04","30","South America","Brazil","Minas Gerais","Diamantina","Chácara das Bícas","-43.571739","-17.888053","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871987","NY00871987_01","1270","1270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG3991","S","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis",NA,"E.Hattori","M.Valentina W.","147",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Flor lilás. Altura 1,3 m. UTM: 7754840 x; 594112 y.",NA,NA,"1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:14-03","UFRJ","RFA","35143","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","C.M. Vieira","Cláudia M. Vieira; W.H. Nunes, M.A. Rocha","1580","2003","06","11",NA,"Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,"Subarbusto. Capítulos arroxeados","RFA22594",NA,"990","990",NA,NA,"20620","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:43-03","EAO","IAN","69755","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","barbacense","Eupatorium barbacense","Hieron.","Barroso, GM","Black, GA; Magalhães, MG","11931","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó, perto do Hotel Palácio.",NA,NA,NA,NA,"IAN069755",NA,NA,NA,NA,NA,NA,NA,"1958",NA,NA,NA,NA,NA,NA
