"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942389","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","A. Krapovickas","G. G. Hatschbach","41298","1978","04","21","South America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu.","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942389","NY00942389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00942388","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","P. A. Fryxell","A. M. V. de Carvalho","6522","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Campo rupestre, atrás da cidade. Trilha do Barão.","-42.8897018432617","-16.5594005584717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942388","NY00942388_01","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843047","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"G. M. Barroso","s.n.","1975","07","08","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogol.","-42.8897018432617","-16.5594005584717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2092263' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843047","NY01843047_01","67219","auto","isotype","1300",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942387","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","P. A. Fryxell","R. M. Harley","25062","1988","10","15","South America","Brazil","Minas Gerais","Grão Mogol","Ca. 7 km ao direçao sul da cidade, na estrada para Francisco Sá","-42.93","-16.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942387","NY00942387_01",NA,NA,NA,"700","850",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:12-03","UFRJ","RFA","19925","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","A. Krapovickas","G.G. Hatschbach","41298","1978","04","21",NA,"Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,"Arbusto 2 m de altura; flor amarela, nervuras vermelhas","RFA44998",NA,"67219","auto",NA,NA,NA,"1978",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:19:43-03","UFBA","ALCB","129587","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap.","Esteves, GL","Cordeiro, I; Mello-Silva, R de","CFCR10023","1986","09","02","Southern America","Brasil","Minas Gerais","Grão Mogol","Rib. dos bois.","-42.8897018432617","-16.5594005584717",NA,"ca 2,5m de altura, entre rochas. Frutos.","ALCB047184","ALCB047184","67219","auto",NA,"950","950","1991",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:59:38-03","NBC","NL-BOTANY","WAG.1079385","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Hatschbach GG; Hatschbach M; Zelma FJ",NA,"1988","05","15","Southern America","Brazil",NA,NA,"Rio das Mortes (mun. Groa Mogol) Minas Gerais.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1079385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1079385","NL-WAG1079385",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"8","2020-11-04 11:12:57-03","ESALQ","ESA","69686","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap.","Krapovickas, A.","Hatschbach, G. et al.","67987.0","1998","07","18",NA,"Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445",NA,NA,"ESA069686","ESA069686","30029","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:10:24-03","MN","R","234589","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krop.",NA,"Prado, J.",NA,"1988","05","28",NA,"Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,"R010037501",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:45:13-02","IPA","IPA","52622","S","Plantae","Plantae",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Hatschbach, G.; Nicolak, V.; Nicolak, V.","54237","1990","06","13","Southern America","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, margens rochosas do rio.","-42.8897018432617","-16.5594005584717",NA,"Arbusto pouco ramoso, 2m. Flores amarelas, nervuras vermelhas.; Campo rupestre.","IPA0052622",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:30:55-03","IAP","PACA-AGP","69662","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","G. Hatschbach","Hatschbach, G.","52015","1988","05","15",NA,"Brasil","MG","Grão Mogol","Rio das Mortes","-42.8897018432617","-16.5594005584717",NA,"flor creme - nervuras vermelhas&nf;corpo rupestre","PACA069662",NA,"67219","auto",NA,NA,NA,"1988","Magnoliatae",NA,NA,NA,NA,NA
"12","2019-11-21 14:38:55-03","UFJF","CESJ","31899","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapovickas","A. Krapovickas","G. Hatschbach; M. Hatschbach; E. Barbosa","67987","1998","07","18","América do Sul","Brasil","Minas Gerais","Cristália","Estr. Grão Mongol-Cristália pte Rio Itacambiruçu","-42.8622016906738","-16.8003005981445",NA,"Arbusto, 1m, untuoso ao tacto, flor creme co nervuras vermelhas. Campo rupestre, solo arenoso.","CESJ031899",NA,"30029","auto",NA,NA,NA,"1999",NA,NA,NA,NA,NA,NA
"13","2019-08-20 10:17:51-03","UNICAMP","UEC","10161","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Hatschbach, G","41298","1978","04","21",NA,"Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-43.3","-16.6",NA,"Arbusto 2 m, flor amarela, nervuras vermelhas. Afloramento rochosos",NA,NA,NA,NA,NA,NA,NA,"1996",NA,"11","-43.3","-16.6",NA,NA
"14","2019-08-20 10:17:51-03","UNICAMP","UEC","63528","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Hatschbach, G; Nicolack, V; Hatschbach, M","54237","1990","06","13",NA,"Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-43.3","-16.6",NA,"Arbusto pouco ramoso, 2 m. Flores amarelas, nervuras vermelhas. Campo rupestre, margens rochosas do rio",NA,NA,NA,NA,NA,NA,NA,"1994",NA,"04","-43.3","-16.6",NA,NA
"15","2021-03-16 17:53:33-03","UCS","HUCS","16554","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapovickas","Krapovickas, A.","Hatschbach, G.","67987","1998","07","18",NA,"Brasil","Minas Gerais","Cristália","estrada Grão-Mogol a Cristália, ponte do Rio Itacambiruçu","-42.8622016906738","-16.8003005981445",NA,"arbusto 1m, untuoso ao tacto, flor creme com nervursa vermelhas; campo rupestre , solo arenoso",NA,NA,"30029","auto",NA,NA,NA,"1999",NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:53:33-03","UCS","HUCS","23626","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapovickas","Krapovickas, A.","Hatschbach, G.","74490","2003","03","10",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Ladeia Indígena São João","-57.8824996948242","-21.6989002227783",NA,"flor amarela , nervuras vermelhas; afloramento de calcário",NA,NA,"185577","auto",NA,NA,NA,"2003",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:33:26-03","MBM","MBM","65825","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Hatschbach, G.","Hatschbach, G.","42918",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol, arredores","-42.8897018432617","-16.5594005584717",NA,NA,"MBM065825","MBM065825","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:33:26-03","MBM","MBM","67113","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A.","Barroso, G.M.","s.n.","1975","07","08","Southern America","Brazil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,"Arbusto 1-2 m alt., com folhas viscosas-glanduliferas; flores com corola esverdeada com veios purpúreos; Arbusto 1-2m alt., com folhas viscoso-glandulíferas; flores com corola esverdeada com vios purpúreos.","MBM067113","MBM067113","67219","auto","ISOTYPE","1300","1300",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:33:26-03","MBM","MBM","60591","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A.","Hatschbach, G.","41523",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol, arredores","-42.8897018432617","-16.5594005584717",NA,NA,"MBM060591","MBM060591","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:33:26-03","MBM","MBM","123145","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Hatschbach, G.","Hatschbach, G.; Hatschbach, M.; Zelma, F.J.; Hatschbach, M.; Zelma, F.J.","52015",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Rio das Mortes","-42.8897018432617","-16.5594005584717",NA,NA,"MBM123145","MBM123145","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:33:26-03","MBM","MBM","57681","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A.","Hatschbach, G.","41298",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,"MBM057681","MBM057681","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:33:26-03","MBM","MBM","137991","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54237",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,"MBM137991","MBM137991","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 19:34:00-03","MNHN","RECOLNAT_MNHN_P","P06607902","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Barroso, G.M.",NA,"1975","7","8",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06607902' target='other'> <mi>dwc_moreinfo</mi></a>","P06607902","P06607902_01","67219","auto",NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:37:51-03","UFMG","BHCB","183481","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Mello-Silva, R de; Salatino, MLF; Salatino, A; Affonso, P","445","1991","06","12","Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.816667","-16.533333",NA,"Arvoreta entre rochas ca 4m, folhas glandulosas com odor de laranja passada, as velhas vermelhas, cálice verde, corola amarelo-palido com estrias cor-de-vinho na face adaxial das petalas, tubo estaminal amarelo palido e estimgmas verm","BHCB039507",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-42.816667","-16.533333",NA,NA
"25","2020-12-11 11:37:51-03","UFMG","BHCB","59537","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Hatschbach, G; et al.","67987",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:37:51-03","UFMG","BHCB","76685","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"Souza, VC de","25668-A","2001","07","11","Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-11 17:19:30-03","UFPR","UPCB","11360","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A.","Hatschbach, G.","41523","1978","07","24",NA,"Brasil","Minas Gerais","Grão Mogol","Arredores","-42.8897018432617","-16.5594005584717",NA,"Arbusto, 2m, flor amarela, androginoforo vermelho. Encosta rochosa morro..",NA,NA,"67219","auto",NA,NA,NA,"1979",NA,"01",NA,NA,"01",NA
"28","2021-02-11 17:19:30-03","UFPR","UPCB","19271","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Hatschbach, G.","Hatschbach, G.","52015","1988","05","15",NA,"Brasil","Minas Gerais","Grão Mogol","Rio das Mortes","-42.8897018432617","-16.5594005584717",NA,"Arbusto, 2,5m, untuoso ao tato, flor creme, nervuras vermelhas. Campo rupestre, encosta de morro..",NA,NA,"67219","auto",NA,NA,NA,"1988",NA,"01",NA,NA,"01",NA
"29","2017-04-07 11:27:00-03","MO","MOBOT","100963952","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","G. L. Esteves","G.L. Esteves|et al.","Esteves 13315","1990","9","5","South America","Brazil","Minas Gerais",NA,"Grao-Mogol; Fazenda. Jambeiro a margem da Rodovia Grao-Mogol-Francisco Sá, Córrego da Bonita. Campo e cerrado de solo arenoso-fino.","-42.9333333","-16.5833333",NA,NA,NA,NA,NA,NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,"1"
"30","2020-06-22 14:18:45-03","UNESP-IBILCE","SJRP","27443","PreservedSpecimen","Plantae","Tracheophyta","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","A. Krapovickas","G. Hatschbach",NA,NA,NA,NA,"América do Sul","Brasil","Minas Gerais","Cristália","rio itacambiruçu","-42.8622016906738","-16.8003005981445",NA,"Arbusto 1m, untuoso ao tacto;",NA,NA,"30029","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"31","2020-08-31 09:05:39-03","INPA","INPA","281993","S","Plantae","Dicotyledon Com-Clade","Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A","Mello-Silva, R de","CFCR9810","1986","07","23","Southern America","Brasil","Minas Gerais","Grão Mogol","Córrego Escurinha","-42.8897018432617","-16.5594005584717",NA,NA,"INPA0281993",NA,"67219","auto",NA,"740","740","1987",NA,NA,NA,NA,NA,NA
"32","2021-03-09 10:46:57-03","ICAUFMG","MCCA","1619","S","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","IGLESIAS, D.T.",NA,NA,"2017","08","19",NA,"Brasil","Minas Gerais","Grão Mogol","Trilha do Barão","-42.8897018432617","-16.5594005584717",NA,NA,"MCCA01676","MCCA01676","67219","auto",NA,NA,NA,"2017",NA,"09",NA,NA,"05",NA
"33","2021-01-26 13:56:02-03","IMA","MAC","7875","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap","A.Krapovickas","R.M.Silva; et al.","s.n.","1986","07","23",NA,"Brasil","Minas Gerais","Grão Mogol","Córrego Escurinha, 740m de altitude.","-43.5","-16.951944",NA,"Arbusto ca. de 2m de alt., em solo arenoso entre rochas, folhas jovens viscosas, as velhas avermelhadas. Flores amarelas, extremidade das pétalas alaranjadas com estrias vermelhas, estigma vermelho e estames alaranjados. Flores amarel","MAC0007875","MAC0007875",NA,NA,NA,NA,NA,"1987",NA,"01","-43.5","-16.951944",NA,NA
"34","2021-01-26 13:56:02-03","IMA","MAC","7874","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap","A.Krapovickas","N.Hensold; et al.","s.n.","1982","05","23",NA,"Brasil","Minas Gerais","Grão Mogol","próximo da ponte sobre o rio das Mortes, beira do rio.","-43.5","-16.951944",NA,"Arbusto ca. de 1,5m de alt., entre pedras. Pétalas alvas com listras vermelhas, anteras e filetes vermelhas.; Cerrado","MAC0007874","MAC0007874",NA,NA,NA,NA,NA,"1987",NA,"01","-43.5","-16.951944",NA,NA
"35","2021-01-26 13:56:02-03","IMA","MAC","7873","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap","G.L.Esteves","I.Cordeiro; R.Mello Silva","s.n.","1986","09","02",NA,"Brasil","Minas Gerais","Grão Mogol","Ribeirão dos Bois.","-43.5","-16.951944",NA,"Arbusto ca. de 2,5m de alt., entre rochas.; Campo rupestre","MAC0007873","MAC0007873",NA,NA,NA,NA,NA,"1991",NA,"02","-43.5","-16.951944",NA,NA
"36","2021-01-26 13:56:02-03","IMA","MAC","7872","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap","G.L.Esteves","N.Hensold; M.C.H.Mamede; et al.","s.n.","1982","05","22",NA,"Brasil","Minas Gerais","Grão Mogol","em direção nordeste da cidade, 3.500 metros de altitude.","-43.5","-16.951944",NA,"Arbusto ca. de 1m de alt. Flores creme-amareladas, anteras vermelhas.; Campo rupestre","MAC0007872","MAC0007872",NA,NA,NA,NA,NA,"1991",NA,"02","-43.5","-16.951944",NA,NA
"37","2021-01-26 13:56:02-03","IMA","MAC","7877","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krap","A.Krapovickas","R.M.Harley; et al.","s.n.","1984","11","27",NA,"Brasil","Minas Gerais","Grão Mogol","ao norte da cidade, pedras quartizíticas, entre 900 a 1000 metros de altitude.","-43.5","-16.951944",NA,"Arbusto ereto ca. de 3m de alt., entre pedras. Pétalas amarelas, nervuras internas e base das pétalas roxo-escuro.; Cerrado","MAC0007877","MAC0007877",NA,NA,NA,NA,NA,"1987",NA,"01","-43.5","-16.951944",NA,NA
"38","2020-09-12 05:00:02-03","US","US","2931556","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"G. Hatschbach","41523","1978","7","24","South America - Neotropics","Brazil","Minas Gerais",NA,"Grao Mogol, arredores.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"39","2020-09-12 05:00:02-03","US","US","3708870","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, G. L.","R. Mello-Silva, M. L. Kawasaki & A. Rapini","1441","1997","9","27","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol","contrafortes a leste da trilha da tropa, que vai da cidade ate Periperi passando pelo alto da serra, nas encostas a esquerda do Ribeirao do Inferno","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,"1160","1160",NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"40","2020-09-12 05:00:02-03","US","US","3172605","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.",NA,"G. Hatschbach, M. M. Hatschbach & F. J. Zelma","52015","1988","5","15","South America - Neotropics","Brazil","Minas Gerais",NA,"Rio das Mortes (mun. Grao Mogol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"41","2019-11-13 11:24:56-03","USP","SPF","154774","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Souza, VC","Souza, VC","25668A","2001","07","11",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada Grão Mogol-Cristália, ca. 6 km de Grão Mogol.","-42.901389","-16.596389",NA,NA,"SPF00154774",NA,NA,NA,NA,NA,NA,"2002",NA,"01","-42.901389","-16.596389",NA,NA
