"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2016-09-30 05:29:00-03","NY","NYBG","01408382","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides","niopoides","Albizia niopoides niopoides","(Spruce ex Benth.) Burkart","R. C. Barneby; J. W. Grimes","Lescure","2057","1983","09","09","South America","Ecuador","Coca, concession Palm Oriente.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645405' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408382","NY01408382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01408357","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides","colombiana","Albizia niopoides colombiana","(Britton & Killip) Barneby & J.W.Grimes","R. C. Barneby","A. Dugand","1143","1937","10","23","South America","Colombia","Entre Usiacurí y Baranoa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644410' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408357","NY01408357_01","Atlántico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01408362","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides","colombiana","Albizia niopoides colombiana","(Britton & Killip) Barneby & J.W.Grimes","R. C. Barneby","E. M. Zardini","5716","1988","07","14","South America","Paraguay","Macizo Acahay. On eastern peak.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408362","NY01408362_01 NY01408362_02","Paraguarí","-57.15","-26.9","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01066587","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides","(Spruce ex Benth.) Burkart","M. de L. Rico-Arce","H. Lorenzi","779","1996","12","20","South America","Brazil","On road to aeroporto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066587","NY01066587_01","São Paulo","-48.5697","-22.73","800","800","Sao Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:48:00-03","NY","NYBG","00917440","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides",NA,NA,"G. M. Araújo","1129","1994","10","22","South America","Brazil","Fazenda Buriti. Uberlândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917440","NY00917440_01","Minas Gerais","-48.2769","-18.9186",NA,NA,"Uberlândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-26 23:49:00-03","NY","NYBG","00917437","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides",NA,NA,"G. M. Araújo","569","1989","10","31","South America","Brazil","Estaçao Ecológica do Panga, Uberlândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917437","NY00917437_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02474169","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides","(Spruce ex Benth.) Burkart",NA,"M. F. Simon","2066","2013","11","24","South America","Brazil","Margem direita do rio Madeira, 200 m a Oeste do porto da balsa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685597' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474169","NY02474169_01","Rondônia","-65.0136","-9.5725","90",NA,"Porto Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01408351","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides","(Spruce ex Benth.) Burkart","A. Fuentes C.","A. F. Fuentes","9640","2005","07","09","South America","Bolivia","Parque Nacional Madidi, Mojos, Muspay, al lado del Río Mojos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644394' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408351","NY01408351_01","La Paz","-68.7569","-14.5739","1000",NA,"Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00309846","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides","(Spruce ex Benth.) Burkart","M. H. Nee","M. H. Nee","50108","1998","07","15","South America","Bolivia","Barrio MacDonald.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309846","NY00309846_01","Santa Cruz","-63.18","-17.77","420","420","Andrés Ibáñez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01300375","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","niopoides",NA,"Albizia niopoides","(Spruce ex Benth.) Burkart","M. de L. Rico-Arce","T. Morong","756","1888",NA,NA,"South America","Paraguay","Central Paraguay.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300375","NY01300375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
