"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordedBy","year","month","day","locality","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","sex"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","467","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Elton. C. M. Leme","2009","05","Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","475","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Elton. C. M. Leme","2009","05","Brasil","Bahia","Jaguaripe","-38.8955993652344","-13.1133003234863","41836",NA,"254","auto","Elton M. C. Leme; Sandra Linhares; Rogério Alves","1998","07","24","Estrada Aratupé-Camassandi. Mata transicional atlântica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","381","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Elton. C. M. Leme","2011","08","Brasil","São Paulo",NA,NA,NA,NA,"1","254",NA,"Roberto Menescal;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376870","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez",NA,NA,NA,"Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74684' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"M. Kuhlmann","1931","07","02","Ipiranga","28153","South America","sheet","NY00376870","NY00376870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376871","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez",NA,NA,NA,"Brazil","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"F. C. Hoehne","1936","10","06","Alto da Serra","12338","South America","sheet","NY00376871","NY00376871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:44:51-03","EAO","IAN","36758","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Glaziou, AFM",NA,NA,NA,NA,"16434","Southern America",NA,"IAN036758","IAN036758_f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:56-03","ESALQ","ESA","16663","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Wanderley, M.G.L.",NA,NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto","Sakuragui, C.M. et al.","1993","10","02",NA,"397.0",NA,NA,"ESA016663","ESA016663",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:56-03","ESALQ","ESA","11475","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Quesnelia","humilis","Quesnelia humilis",NA,"Proença, S.L.",NA,NA,"Brasil","São Paulo","Peruíbe","-46.9900016784668","-24.3199996948242","21922",NA,NA,"auto","Souza, V.C. et al.","1988","10","10",NA,"207.0",NA,NA,"ESA011475","ESA011475",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:56-03","ESALQ","ESA","75899","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Martins, S.E.",NA,NA,"Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,NA,"auto","Souza, F.M.","2001","04","14",NA,"151.0",NA,NA,"ESA075899","ESA075899",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:56-03","ESALQ","ESA","75741","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Quesnelia","humilis","Quesnelia humilis","Mez","Martins, S.E.",NA,NA,"Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"Epífita, frutos esverdeados a castanhos. Interior de mata.","auto","Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","2001","04","11","BLOQUEADO","598.0",NA,NA,"ESA075741","ESA075741","800","800",NA,NA,NA,NA,NA,NA,NA
