"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","monthIdentified","typeStatus","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1065291","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","G. L. Webster","W. R. Anderson","7373","1973","03","18","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 4 km by road S of Terezina.","-47.2647","-13.81255","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065291","NY01065291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","818136","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","19200","1968","01","25","South America","Brazil","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818136","NY00818136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1028385","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","14004","1966","03","16","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028385","NY01028385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1028384","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","14004","1966","03","16","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028384","NY01028384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550688","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","10344","1965","11","16","South America","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 14 km E. of Cabeceiras","-46.85263","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550688","NY01550688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01451167","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","J. M. Pires","6159","1956","12","12","South America","Brazil","Pará",NA,"Serra do Cachimbo",NA,NA,"425","425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1690112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451167","NY01451167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1028381","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","19430","1968","02","02","South America","Brazil","Distrito Federal","Brasília","Near Córrego Landím, ca. 25 km N.E. of Brasília. Chapada da Contagem. Limestone outcrop (Companhia Fercal).","-47.87","-15.7","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028381","NY01028381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1028383","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","11316","1965","12","15","South America","Brazil","Distrito Federal","Brasília","Córrego Landím, ca. 20 km N. of Brasília","-47.9167","-15.60256","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028383","NY01028383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1028382","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","H. S. Irwin","11316","1965","12","15","South America","Brazil","Distrito Federal","Brasília","Córrego Landím, ca. 20 km N. of Brasília","-47.9167","-15.60256","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180991' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028382","NY01028382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1028380","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","anomala","pubescens","Manihot anomala pubescens","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","E. P. Heringer","9710","1960","10","05","South America","Brazil","Minas Gerais","Paraopeba",NA,"-44.4042","-19.2744",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180979' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028380","NY01028380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
