"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","eventTime","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","13286","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Korte, A","2010","04","07","Korte, A.; Kniess, A.","2553","2010","04","07","Brasil","Santa Catarina","José Boiteux","Caminho Moema. Caminho Moema.","-49.589444","-26.998056","49º35'22''W","26º59'53''S","503","503","Florística IFFSC 631 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: arbustiva;","CRI011766","CRI011766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","9308","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Ribeiro, C.L.","2019","08","05","Mainara F. Cascaes; Birgit Harter Marques",NA,"2008","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecologico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30",NA,"CRI001074","CRI001074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","8918","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","A. A. de Oliveira","2010","04","20","M. Verdi; N. L. de Souza e G. Klemz","4162","2010","03","30","Brasil","Santa Catarina","Orleans","Barracão.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: interior do fragmento Habito: arvoreta","CRI005186","CRI005186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 15:16:32-03","UNESC","CRI","8360","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Marcos Sobral","2007","06","15","Rosimar Tertuliano da Silva",NA,"2006","06","15","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese","-49.370278","-28.678333","49º22'13''W","28º40'42''S","46","46",NA,"CRI005185","CRI005185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:37-03","UNESC","CRI","9303","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Ribeiro, C.L.","2019","08","05","Mainara F. Cascaes",NA,"2008","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30",NA,"CRI005162","CRI005162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:37-03","UNESC","CRI","12573","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Aline Votri Guislon & Peterson T. Padilha","2017","08","18","Alexandre Medeiros",NA,"2017","05","09","Brasil","Santa Catarina","Balneário Camboriú","Morro do boi. (Quilombola) BR 101","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Flor branca. Coleta 277. Habito: Arbóreo","CRI010780",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:37-03","UNESC","CRI","12594","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Aline Votri Guislon & Renato colares","2017","08","23","Alexandre Medeiros",NA,"2017","05","17","Brasil","Santa Catarina","Balneário Camboriú","Morro do Boi. BR 101","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 277. Flor branca. Habito: Arbóreo","CRI010801",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:37-03","UNESC","CRI","12378","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","hiemalis","Eugenia hiemalis","Cambess.","Aline Votri Guislon & Peterson T. Padilha","2017","06","08","Alexandre Medeiros",NA,"2017","04","30","Brasil","Santa Catarina","Balneário Camboriú","Pinho (antena).","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 247.","CRI010585",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:40-03","UNESC","CRI","3529","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Marcos Sobral",NA,NA,NA,"Robson dos Santos","173","1994","11","09","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","147","147",NA,"CRI005339","CRI005339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","1310","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Marcos Sobral",NA,NA,NA,"Vanilde Citadini Zanette","1507","1992","10","19","Brasil","Santa Catarina","Criciúma","Campus Universitário. FUCRI/UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI005334","CRI005334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
