"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","year","month","identifiedBy","day","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:37:43-03","E","E","322888","PreservedSpecimen","Plantae","Compositae","Holocheilus","hieracioides","Holocheilus hieracioides","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:338657","<a href=http://data.rbge.org.uk/herb/E00322888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:43-03","E","E","322887","PreservedSpecimen","Plantae","Compositae","Holocheilus","hieracioides","Holocheilus hieracioides","Gillies, John","Temperate South America","AR",NA,"Andes of chili - Buenos Ayres - San Luis","herbarium specimen of unspecif","BGBASE:338656","<a href=http://data.rbge.org.uk/herb/E00322887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322887","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 10:07:00-03","NY","NYBG","797801","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","E. Hassler","South America","Paraguay",NA,"In regione fluminis Yhú","sheet",NA,"Dr. E. Hassler, Plantae Paraguarienses-1905 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797801","9672","Magnoliophyta","Asterales","1905","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 10:07:00-03","NY","NYBG","797793","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","C. Kozera","South America","Brazil","Paraná","Parque Barigui","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797793","328","Magnoliophyta","Asterales","1996","11","C. Kozera","06","Curitiba","-49.22","-25.37","NY00797793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","797795","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","P. K. H. Dusén","South America","Brazil","Paraná","Jaguariahyva","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797795","16588","Magnoliophyta","Asterales","1915","02",NA,"01","Jaguariaíva","-49.713647","-24.340602","NY00797795_01","(L.) Cabrera","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797796","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","E. Henz","South America","Brazil","Rio Grande do Sul","S. Leopoldo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797796","35542","Magnoliophyta","Asterales","1946","10",NA,"30",NA,"-51.143791","-29.75136","NY00797796_01","(L.) Cabrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 20:22:00-03","NY","NYBG","685346","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","R. A. Wasum","South America","Brazil","Rio Grande do Sul","Morro da Policia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=891750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685346","6321","Magnoliophyta","Asterales","1989","11",NA,"11","Porto Alegre","-51.23","-30.0331","NY00685346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:07:00-03","NY","NYBG","797794","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","L. Scur","South America","Brazil","Rio Grande do Sul","Vila Seca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797794","908","Magnoliophyta","Asterales","2001","10",NA,"13","Caxias do Sul","-50.973769","-29.068136","NY00797794_01",NA,"780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 10:07:00-03","NY","NYBG","797800","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","A. M. R. Huidobro","South America","Argentina","Buenos Aires","Sierra de la Ventana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797800",NA,"Magnoliophyta","Asterales","1944","03",NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","797799","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","O. dos S. Ribas","South America","Brazil","Paraná","Recanto dos Papagaios","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797799","1561","Magnoliophyta","Asterales","1996","10","G. G. Hatschbach","28","Palmeira","-50.0064","-25.4294","NY00797799_01","(L.) Cabrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
