"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","locality","decimalLongitude","decimalLatitude","recordedBy","year","month","day","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","688006","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","corcovadensis","Habenaria corcovadensis","Kraenzl.","photo of type","s.n.","South America","Brazil","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688006","NY00688006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","688007","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","corcovadensis","Habenaria corcovadensis","Kraenzl.","photo of type","s.n.","South America","Brazil","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688007","NY00688007_01","Rio de Janeiro","In Monte Corcovado.","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4094615","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"40661","South America","Guyana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413654' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094615",NA,NA,"Mt. Ayanganna, Pakaraima Mountains, between Chinowieng and Chi-Chi landing",NA,NA,"B. Maguire","1955","02","10","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","04094612","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"2913","South America","Venezuela","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413649' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094612",NA,"Federal","Cima del cerro Marabuaca sur, sector sur-oeste. Campamento Yekuana. Dpto. Atabapo",NA,NA,"H. J. Rodriguez R.","1988","10","20","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032015","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"928","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032015","NY01032015_01","Rio de Janeiro","Tijuca, nos barrancos das estradas de A Floresta e Barracão",NA,NA,"G. F. J. Pabst","1951","02","04","600","G. F. J. Pabst","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1032018","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"937","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032018","NY01032018_01","Rio de Janeiro","em barrancos da estrada da Gávea pequena.",NA,NA,"G. F. J. Pabst","1951","02","11",NA,"G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4094617","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"18390","South America","French Guiana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413656' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094617","NY04094617_01","Cayenne","Vicinity of the village.","-53.2","3.62","S. A. Mori","1986","06","07","200",NA,"300","Saül",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1032017","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032017","NY01032017_01","Rio de Janeiro","Rodeio, nos barrancos da subida da serra, estrada principal",NA,NA,"G. F. J. Pabst","1951","02","18","300","G. F. J. Pabst","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1032016","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"2292","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032016","NY01032016_01","Rio de Janeiro","Alto da Boa Vista, propriedade do Sr. Frons Ikem","-43.251886","-22.960856","B. D. Sucre","1968","02","04","400","P. I. S. Braga","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1031903","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","rodeiensis","Habenaria rodeiensis","Barb.Rodr.",NA,"11193","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188111' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031903","NY01031903_01","Distrito Federal","Campo slope immediately E of Lagoa Paranoá","-47.9296989440918","-15.7797002792358","H. S. Irwin","1965","12","11","975","J. A. N. Batista","975","Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
