"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:36:29-03","E","E","207017","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","2010","1998","09","09","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:217694","<a href=http://data.rbge.org.uk/herb/E00207017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:29-03","E","E","206991","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","2010","1998","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217695","<a href=http://data.rbge.org.uk/herb/E00206991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 21:55:00-03","NY","NYBG","931279","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","E. P. Heringer","17652","1979","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931279","Magnoliophyta","Lamiales","I. de Vattimo","Goiás","Caldas Novas","-48.6247","-17.7419","NY00931279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","931285","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","M. Macedo","1443","1979","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931285","Magnoliophyta","Lamiales","I. de Vattimo","Mato Grosso","Nossa Senhora do Livramento","-56.3456","-15.775","NY00931285_01","Mart.","Fazenda Moqueiu, N. Sra. do Livramento, Cuiabá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","931283","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","B. Maguire","56871","1963","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931283","Magnoliophyta","Lamiales","I. de Vattimo","Mato Grosso",NA,NA,NA,"NY00931283_01","Mart.","Near Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","931293","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","H. S. Irwin","6710","1964","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931293","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso",NA,"-52.3657","-13.585","NY00931293_01","Mart.","Ca. 75 km. N. of Xavantina.","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","931289","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","W. W. Thomas","4644","1985","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931289","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso","Poconé","-56.83","-16.72","NY00931289_01","Mart.","Pantanal. 50 km S of Poconé on Transpantaneira (MT060) to Porto Jofre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","931282","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","R. Goodland","930","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931282","Magnoliophyta","Lamiales","A. H. Gentry","Minas Gerais",NA,NA,NA,"NY00931282_01","Mart.","Triángulo region.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","931295","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","B. Maguire","56388","1963","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931295","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso",NA,"-56.515631","-15.011036","NY00931295_01","Mart.","100 km north of Cuiaba, en route to Diamantino, 200-400 m alt. Brasilia-Acre Highway.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","931281","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","G. G. Hatschbach","63400","1995","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931281","Magnoliophyta","Lamiales","G. G. Hatschbach","Mato Grosso do Sul","Nioaque","-55.83","-21.1356","NY00931281_01","Mart.","Rod. BR-060, 10-15 km ao sul do trevo para Nioaque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 22:08:00-03","NY","NYBG","948835","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","R. R. de Santos","R.1649","1968","06","05","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948835","Magnoliophyta","Lamiales","I. de Vattimo","Mato Grosso",NA,"-51.87","-12.9","NY00948835_01 NY00948835_02",NA,"10 km. S. of the Base Camp of the Expedition (close to the Xavantina-São Felix road).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","948841","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","H. S. Irwin","6527","1964","10","01","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948841","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso",NA,"-52.57","-13.18","NY00948841_01 NY00948841_02","Mart.","Ca. 1 km. N.E. of Garapú.","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","948837","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","G. T. Prance","19167","1973","10","18","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948837","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso",NA,"-55.832445","-15.40761","NY00948837_01","Mart.","Road behind Veu de Noiva. Chapada dos Guimarães.","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","931296","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","G. G. Hatschbach","30413","1972","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931296","Magnoliophyta","Lamiales","G. G. Hatschbach","Mato Grosso do Sul","Miranda","-56.3781","-20.2408","NY00931296_01","Mart.","Miranda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","931288","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","H. S. Irwin","6527","1964","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931288","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso",NA,"-52.57","-13.18","NY00931288_01","Mart.","Ca. 1 km. N.E. of Garapú.","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","931287","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","R. Goodland","279","1966","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931287","Magnoliophyta","Lamiales","A. H. Gentry","Mato Grosso do Sul",NA,NA,NA,"NY00931287_01 NY00931287_02","Mart.","South of Gaucho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","931294","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","S. L. M. Moore","337","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931294","Magnoliophyta","Lamiales",NA,"Mato Grosso",NA,NA,NA,"NY00931294_01 NY00931294_02","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","949990","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","cuspidifolia","Jacaranda cuspidifolia","B. Maguire","56075","1963","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949990","Magnoliophyta","Lamiales","A. H. Gentry","Maranhão","Imperatriz","-47.4917","-5.5267","NY00949990_01","Mart.","Belem-Brasilia Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
