"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","maximumElevationInMeters","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01167383","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","salicifoliola","Inga salicifoliola","T.D.Penn.","B. Maguire","60546","1965","12","05","South America","Brazil","Camp 5 (Palmito Camp), Rio Negro, Rio Cauaburí","-66.1","0.7","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390507' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167383","NY01167383_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280343","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","salicifoliola","Inga salicifoliola","T.D.Penn.","B. Maguire","60417","1965","11","25","South America","Brazil","Rio Negro, Rio Cauaburí. Camp 5 - Palmito Camp.","-66.1","0.7","750.00","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280343","NY01280343_01","F. Bonadeu da Silva","Amazonas","750.00",NA,NA,NA
"3","2020-06-01 11:09:00-03","MO","MOBOT","101195972","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","salicifoliola","Inga salicifoliola","T.D. Penn.","Bassett Maguire|João Murça Pires|Celia K. Maguire","Maguire 60546","1965","12","5","South America","Brazil",NA,NA,NA,"750.00000000",NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA
"4","2020-09-12 05:00:02-03","US","US","2819700","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","salicifoliola","Inga salicifoliola","T.D. Penn.","B. Maguire","60546","1965","12","5","South America - Neotropics","Brazil","Serra da Neblina, Rio Negro, Rio Cauaburi, forest above Palmito Camp, camp 5.",NA,NA,"750",NA,NA,"US00479180","US00479180_01",NA,"Amazonas","750","Isotype","1","Dicotyledonae"
