"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1731866","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","gomesii","Henriettea gomesii","Brade","isotype","A. P. Duarte","3614","1953","11","28","South America","Brazil","Espírito Santo","Guarapari","Entre Guarapari e Iconha","-40.648885","-20.72725","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1961751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01731866","NY01731866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015545","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"P. Farág","105","1995","10","27","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Trilha p/ Fazenda Portuense, prox. entrada do cajueiro.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015545","NY01015545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478092","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"E. Pereira","4192","1958","08","15","South America","Brazil","Rio de Janeiro",NA,"Baixada Fluminense - Capinaré (Próximo de Caixas)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478092","NY00478092_01","E. Pereira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478091","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"Z. A. Trinta","1088","1964","12","10","South America","Brazil","Espírito Santo",NA,"Entre Guaraparí e Anchieta","-40.569687","-20.73072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478091","NY00478091_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03257248","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"P. Rosa","1085","2016","08","29","South America","Brazil","Rio de Janeiro","Campos dos Goytacazes","Area de amortecimento do Parque Estadual do Desengano. Mocoto, fazenda da Cica. Mata de baixada a beira da estrada, a esquerda, mata do Urutau Gigante.","-41.72","-21.8839","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578890' target='other'> <mi>dwc_moreinfo</mi></a>","NY03257248",NA,NA,"22","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:13-03","UFRJ","RFA","25814","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"F.B. Pereira","17/29","2000","08","21",NA,"Brasil","Rio de Janeiro","Guapimirim","1º distrito. Fazendas Consorciadas","-42.910833","-22.590833",NA,"Arbusto 3 m de altura; 6 cm de DAP; frutos verdes, comum no local","RFA39759",NA,"C.Y G. Manão","11","11","2018","07","18","42º54'39''W","22º35'27''S",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:21-03","EAO","IAN","119506","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"Belém, RP; Magalhães, MG","1063","1965","05","19","Southern America","Brasil","Bahia",NA,"Mata litorânea, UNE.",NA,NA,NA,NA,"IAN119506",NA,"Brito, ES",NA,NA,"2019","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:21-03","EAO","IAN","137157","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"Belém, RP; Pinheiro, RS","3148","1967","01","17","Southern America","Brasil","Bahia","Maraú","Mata costeira.","-39.0147018432617","-14.103099822998",NA,NA,"IAN137157",NA,"Brito, ES",NA,NA,"2019","04",NA,NA,NA,"47076","auto",NA,NA,NA,NA,NA
"9","2020-11-04 10:56:04-03","ESALQ","ESA","136093","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"D. A. Bello","69.0","2014","08","31",NA,"Brasil","Rio de Janeiro","Carapebus",NA,"-41.6610984802246","-22.1872005462646",NA,NA,"ESA136093",NA,"L.A. Pereira",NA,NA,"2014","12","02",NA,NA,"13257","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:13:21-03","ESALQ","ESA","21467","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Henriettea","saldanhaei","Henriettea saldanhaei","Cogn.",NA,"Barreto, K.D. et al.","1637.0","1993","11","25",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,"ESA021467",NA,"Goldenberg, R.",NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
