"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","typeStatus","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1856877","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","J. Almeida","2487","1974","06","17","South America","Brazil","Rio de Janeiro","Cultivada no Jardim Botanico do Rio de Janeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076557' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856877","NY01856877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","710454","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","D. C. Daly","11592","2003","05","07","South America","Brazil","Acre","Fazenda 3 de Novembro: km 22 of BR-364, then 8 km on road to Mâncio Lima and left on Ramal Tiririca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00710454","NY00710454_01","W. R. Anderson","Mâncio Lima","-72.8922","-7.6686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1856880","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","J. H. Kirkbride Jr.","3132","1980","04","27","South America","Brazil","Distrito Federal","No estacionamento de Agua Mineral, Parque Nacional","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856880","NY01856880_01",NA,"Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1856878","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","M. Kuhlmann","3669","1955","04","28","South America","Brazil","São Paulo","Nova Europa. Cultivado no Parque da Fazenda Itaquere","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076558' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856878","NY01856878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1856938","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","P. J. M. Maas","6731","1987","10","12","South America","Brazil","Amazonas","Rio Negro, near mouth of Rio Marié","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856938","NY01856938_01",NA,NA,"-66.416667","-0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1856876","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","I. L. do Amaral","1412","1983","05","22","South America","Brazil","Pará","Estrada Santarém-Cuiabá, BR-163, km 1222 a 1227.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856876","NY01856876_01",NA,"Itaituba","-55.67","-5.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1856940","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","K. Kubitzki","79-144","1979","09","05","South America","Brazil","Amazonas","Rio Negro, mouth of Rio Cauaburi, above Tapuruquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077459' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856940","NY01856940_01",NA,NA,"-65.889298","-0.259339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1856944","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","O. C. Nascimento","669","1978","10","17","South America","Brazil","Amazonas","Tapuruquara-Mirim, margem esquerda do Rio Marié. Mata da caatinga, solo de areia branca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856944","NY01856944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1856943","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","C. A. Cid Ferreira","9373","1987","10","12","South America","Brazil","Amazonas","Margem direita do rio Negro, proximo a boca do rio Marie","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856943","NY01856943_01",NA,"São Gabriel da Cachoeira","-66.38","-0.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","71334","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","W. A. Ducke","17698",NA,NA,NA,"South America","Brazil","Pará",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071334","NY00071334_01",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1856879","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","B. V. Rabelo","2474","1983","10","17","South America","Brazil","Amapá","Cultivated in the yard of the mayor of Macapá city.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856879","NY01856879_01",NA,"Macapá","-51.0663986206055","-0.366667002439499",NA,"225229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1856945","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","J. M. Pires","250","1947","04","08","South America","Brazil","Amazonas","Rio Negro: Tapuruquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077464' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856945","NY01856945_01",NA,NA,"-65.0172","-0.4189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","886168","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","W. R. Anderson","11665","1976","02","19","South America","Brazil","Rio de Janeiro","Ilha do Dunão, campus of the Universidade Federal do Rio de Janeiro, near hospital.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886168","NY00886168_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1856939","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","H. C. de Lima","3185","1987","11","13","South America","Brazil","Amazonas","Alto Rio Negro, Rio Tuarí, afluente do Rio Negro, Piraiauara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856939","NY01856939_01",NA,"São Gabriel da Cachoeira","-67.0892","-0.1306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1856942","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","P. Acevedo-Rodríguez","8329","1996","08","15","South America","Brazil","Amazonas","Alto Rio Negro. Boat stationed at first set of coodinates","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077461' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856942","NY01856942_01",NA,NA,"-63.5542","-0.4794",NA,NA,NA,"100.00","100.00",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01856937","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","C. Farney","1733","1987","10","16","South America","Brazil","Amazonas","Carapanã, margem do Rio Negro acima de São Gabriel","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856937","NY01856937_01",NA,"São Gabriel da Cachoeira","-67.25","0.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01856875","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","B. V. Rabelo","2474","1983","10","17","South America","Brazil","Amapá","Cultivated in the yard of the mayor of Macapá city.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076555' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856875","NY01856875_01",NA,"Macapá","-51.0663986206055","-0.366667002439499",NA,"225229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1856881","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","J. M. de Albuquerque","s.n.","1987","07","24","South America","Brazil","Amazonas","Distrito Industrial da SUFRAMA, Rodovia BR-319, no. 10, em frente ao Hospital Adventista.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856881","NY01856881_01",NA,"Manaus","-60.0250015258789","-3.10193991661072",NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1856941","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","J. M. Poole","2123","1979","07","22","South America","Brazil","Amazonas","Along the Rio Negro between Manaus and Sao Gabriel, Igarapé Foibará at first cachoeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856941","NY01856941_01",NA,NA,"-66.58","-0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:30:04-03","UNESP-IBB","BOTU","12226","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","Mello Oliveira, A.P.",NA,"1968","10","17",NA,"Brasil","São Paulo",NA,NA,NA,"BOTU012226",NA,NA,"Piracicaba",NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:31:11-03","UFRJ","RFA","13692","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","Idalina",NA,"1973","05","14",NA,"Brasil","Rio de Janeiro","Cultivada na Cidade Universitária",NA,"Pequena árvore; flor amarelo ouro","RFA44811",NA,"W.R. Anderson","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"57442","auto",NA,NA,NA,NA,"1976",NA,NA,NA,NA,NA
"22","2020-06-29 11:31:11-03","UFRJ","RFA","8209","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","P. Occhioni","3563","1967","06","03",NA,"Brasil","Rio de Janeiro","Fazenda Três Pinheiros",NA,"Árvore pequena, cultivada, flor amarela","RFA44805",NA,"W.R. Anderson","Engenheiro Passos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1976",NA,NA,NA,NA,NA
"23","2020-06-29 11:31:11-03","UFRJ","RFA","5242","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Lophanthera","lactescens","Lophanthera lactescens","Ducke","P. Occhioni",NA,"1944","12","06",NA,"Brasil","Rio de Janeiro","Cultivada no Jardim Botânico do Rio de Janeiro",NA,"Árvore grande da amazonia; flor amarela","RFA44810",NA,"W.R. Anderson","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"57442","auto",NA,NA,NA,NA,"1976",NA,NA,NA,NA,NA
