"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","eventTime"
"1","2021-04-05 14:25:39-03","UNESC","CRI","1082","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata","(Hook. & Arn.) O.Berg","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1360","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005369","CRI005369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","3961","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata","(Hook. & Arn.) O.Berg","M. Sobral","M. Sobral; J. R. Stehmann","2675","1983","12",NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.145","-29.048333","50º8'42''W","29º2'54''S","1019","1019","CRI005367","CRI005367","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","9642","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata","(Hook. & Arn.) O.Berg","M. Sobral","S. Dreveck; F. E. Carneiro","1449","2009","11","26","Brasil","Santa Catarina","Joinville","Comfloresta.","-49.140833","-26.187222","49º8'27''W","26º11'14''S","822","822","CRI005370","CRI005370","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","2010","01","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","670","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata","(Hook. & Arn.) O.Berg","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1020","1991","04","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005368","CRI005368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:39-03","UNESC","CRI","629","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata","(Hook. & Arn.) O.Berg","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","979","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005366","CRI005366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:48-03","E","E","5893","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata",NA,NA,"Cuming, Hugh","31",NA,NA,NA,"CL","Región X [Los Lagos]","Prov. de Chiloé","Chiloe.",NA,NA,NA,NA,NA,NA,"E00005893",NA,"<a href=http://data.rbge.org.uk/herb/E00005893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"isotype","Temperate South America","herbarium specimen of unspecif","BGBASE:77024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:48-03","E","E","166143","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata",NA,NA,"Gardner, Martin F.","6415","2002","09","15","CL","Región IX [Araucania]","Prov. de Cautín","'Carburgua property' at Trafampulli - 10km upstream of the Río Trafampulli","-71.700278","-39.0125","-71.700278","-39.012500","1062","1062","E00166143",NA,"<a href=http://data.rbge.org.uk/herb/E00166143 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:170582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:48-03","E","E","96207","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata",NA,NA,"Universidad de Chile, RBG Edinburgh Expedition to Southern Chile (UCEXC)","482","1998","03","10","CL","Región IX [Araucania]","Prov. de Malleco","Approach from Angol to Parque Nacional Nahuelbuta, El Manzana on the Río Picoiquen.","-72.860278","-37.801944","-72.860278","-37.801944","490","490","E00096207",NA,"<a href=http://data.rbge.org.uk/herb/E00096207 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:77570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:48-03","E","E","5897","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata",NA,NA,"Gardner, Martin F. & Page, Christopher N.","5021","1992","02","15","CL","Región IX [Araucania]","Prov. de Malleco","Parque Nacional Tolhuaca, Laguna Verde.","-71.833333","-38.333333","-71.833333","-38.333333","1150","1150","E00005897",NA,"<a href=http://data.rbge.org.uk/herb/E00005897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:77028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:48-03","E","E","96460","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","ovata","Myrceugenia ovata",NA,NA,"Gardner, Martin F. & Page, Christopher N.","5021","1992","02","15","CL","Región IX [Araucania]","Prov. de Malleco","Parque Nacional Tolhuaca, Laguna Verde.","-71.833333","-38.333333","-71.833333","-38.333333","1150","1150","E00096460",NA,"<a href=http://data.rbge.org.uk/herb/E00096460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:114824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
