"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","recordNumber","month","day","county","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","continentOcean","phylum","coordinatePrecision","geoFlag"
"1","2015-09-04 04:17:39-03","MNHN","RECOLNAT_MNHN_P","P03324328","PreservedSpecimen","Rosaceae","Agrimonia","parviflora","Agrimonia parviflora","Aiton","Saint-Hilaire, A. de","C2 2768","1816","Brésil","Rio Grande do Sul","Province. Rio Grande do Sul, Sul, Brasil, América do Sul","hb",". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03324328' target='other'> <mi>dwc_moreinfo</mi></a>","P03324328","P03324328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:29:43-03","USP","SPF","14869","PreservedSpecimen","Rosaceae","Agrimonia","parviflora","Agrimonia parviflora","Aiton","Moldenke, HN",NA,"1949","Estados Unidos","New Jersey","Watchung",NA,NA,"SPF00014869",NA,"Plantae","Anônimo","20352","07","29","Somerset County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-25 15:45:35-02","IAC","IAC","1725","S","Rosaceae-2.Rosoideae","Agrimonia","parviflora","Agrimonia parviflora","Aiton","A.P. Viégas",NA,"1937","Estados Unidos","New York","Ithaca",NA,"Material dos EUA entregue à Seção de Botânica pelo sr. A.P.Viegas em Agosto de 1938",NA,NA,"Plantae","A.P. Viégas","s/nº","07","12","Tompkins county","1937","07","12","-76.4833","42.4333","-76.4833","42.4333",NA,NA,NA,NA
"4","2019-01-25 15:45:35-02","IAC","IAC","5488","S","Rosaceae-2.Rosoideae","Agrimonia","parviflora","Agrimonia parviflora","Aiton","A.S. Lima et al.",NA,"1940","Brasil","São Paulo","Serra",NA,NA,NA,NA,"Plantae","C.Y. Xiyama","s/nº","03","12","Ubatuba","1998","07","12","-45.0711","-23.4339","-45.0711","-23.4339",NA,NA,NA,NA
"5","2017-09-11 17:13:14-03","UnB","HBVIRTFLBRAS",NA,"O","Rosaceae","Agrimonia","parviflora","Agrimonia parviflora","Sol.","Lindberg, GA",NA,NA,"Brazil",NA,"In prov. S. Pauli",NA,NA,NA,NA,"Plantae",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"6","2020-08-26 10:50:41-03","MCN-FZBRS","HAS","96659","PreservedSpecimen","Rosaceae","Agrimonia","cf. parviflora","Agrimonia cf. parviflora","Aiton","Mattos, J.",NA,NA,"Brasil","Santa Catarina",NA,NA,NA,"HAS0096659",NA,"Plantae","Bonotto, A. L.","s.n.",NA,NA,"São Joaquim","1990","06",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,"Magnoliophyta","48290","auto"
"7","2020-08-26 10:50:41-03","MCN-FZBRS","HAS","96652","PreservedSpecimen","Rosaceae","Agrimonia","cf. parviflora","Agrimonia cf. parviflora","Aiton","Mattos, J.",NA,"1958","Brasil","Santa Catarina",NA,NA,"No potreiro. Vassoural","HAS0096652",NA,"Plantae","Bonotto, A. L.","5382","02",NA,"São Joaquim","1990","06",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,"Magnoliophyta","48290","auto"
"8","2019-11-21 10:17:24-03","IBt","SP","11975","S","Rosaceae","Agrimonia","parviflora","Agrimonia parviflora","Sol.","Loefgren, A",NA,"1897","Brasil","São Paulo","Itajubá Velho, capoeira.",NA,"Herbacea até 80cm, molle, hispida, fl. amarelas.","SP007767","SP007767","Plantae",NA,"CGG3566","01","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
