"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","individualCount"
"1","2016-09-29 21:25:00-03","NY","NYBG","00906291","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Poidium","brasiliense","Poidium brasiliense","O. R. Matthei","M. A. Chase","9704","1925","04","30","South America","Brazil","Minas Gerais","Slope of Pontao Crystal, Serra do Caparao","2600","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906291","NY00906291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:09-03","EAO","IAN","65352","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Brade, AK","6162","1912","10","06","Southern America","Brasil","São Paulo","Mooca.",NA,NA,NA,NA,"IAN065352",NA,"(Nees) Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:09-03","EAO","IAN","66323","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Brade, AK","6161","1912","10","06","Southern America","Brasil","São Paulo","Mooca.",NA,NA,NA,NA,"IAN066323",NA,"(Nees) Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:09-03","EAO","IAN","66615","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Brade, AK","12980","1933","12",NA,"Southern America","Brasil","São Paulo","Vila Emma.",NA,NA,NA,NA,"IAN066615",NA,"(Nees) Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:09-03","EAO","IAN","66617","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Chase","9713","1925","04","30","Southern America","Brasil","Minas Gerais","Serra do Caparaó.","2798","2798",NA,NA,"IAN066617",NA,"(Nees) Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:09-03","EAO","IAN","67210","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Góes, OC","471","1943","08","19","Southern America","Brasil","Rio de Janeiro","Cascatinha, estrada Rio-Petrópolis.",NA,NA,NA,NA,"IAN067210",NA,"(Nees) Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:53:09-03","EAO","IAN","66669","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis","Pilger, R","Pilger, R","119","1934","12","28","Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN066669",NA,"(Nees) Ekman","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:09-03","EAO","IAN","66770","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis",NA,"Pilger, R; Brade","118","1934","12","28","Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN066770",NA,"(Nees) Ekman","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:09-03","EAO","IAN","66620","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Briza","brasiliensis","Briza brasiliensis","Pilger, R","Markgraf, F; Brade, AK","3686","1938","11","22","Southern America","Brasil","Rio de Janeiro","Planalto 2i00.",NA,NA,NA,NA,"IAN066620",NA,"(Nees) Ekman","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:17-02","BGBM","B","B 10 0176917","S","Plantae",NA,NA,"Gramineae","Poidium","brasiliense","Poidium brasiliense",NA,"C. Brade","15622",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100176917 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100176917","B100176917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
