"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:41:17-03","E","E","82204","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","Silva, J.M., Cordeiro, J. & Poliquesi, C.B.","1877","1996","12","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:90994","<a href=http://data.rbge.org.uk/herb/E00082204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","472481","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","G. G. Hatschbach","27714","1971","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472481","Magnoliophyta","Malpighiales","Nied.","W. R. Anderson","Paraná","Colombo","Capivari","-49.156082","-25.257884","NY00472481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","472483","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","P. K. H. Dusén","7271","1908","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472483","Magnoliophyta","Malpighiales","Nied.","F. J. Niedenzu","Paraná","Ponta Grossa","Vila Velha","-50.012929","-25.234872","NY00472483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","472486","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","F. Sellow","4893",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472486","Magnoliophyta","Malpighiales","Nied.","F. J. Niedenzu","Paraná",NA,NA,NA,NA,"NY00472486_01 NY00472486_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","472478","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","L. B. Smith","14464","1965","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472478","Magnoliophyta","Malpighiales","Nied.","W. R. Anderson","Paraná","Ponta Grossa","Vila Velha","-50.03","-25.22","NY00472478_01","890","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","472488","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","R. Reitz","17444","1965","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472488","Magnoliophyta","Malpighiales","Nied.","W. R. Anderson","Paraná","Balsa Nova","Serra de Sao Luiz, Balsa Nova","-49.6356","-25.5842","NY00472488_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","472484","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","F. C. Hoehne","23436","1928","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472484","Magnoliophyta","Malpighiales","Nied.","F. J. Niedenzu","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","NY00472484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886179","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","G. G. Hatschbach","68798","1998","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886179","Magnoliophyta","Malpighiales","Nied.","G. G. Hatschbach","Paraná","Palmeira","Rod. BR-277, Rop dos Papagaios.","-50.0064","-25.4294","NY00886179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","472479","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","G. G. Hatschbach","13049","1965","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472479","Magnoliophyta","Malpighiales","Nied.","L. B. Smith; S. F. Smith","Paraná","Palmeira","Rod. do Cafe, Rio Tibagi","-49.891776","-25.299294","NY00472479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","472487","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","brachybotrya","Byrsonima brachybotrya","J. C. Lindeman","3971","1967","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472487","Magnoliophyta","Malpighiales","Nied.","W. R. Anderson","Paraná","Almirante Tamandaré","Parque Santa Maria near Tamandaré, 15 km N of Curitiba","-49.31","-25.3247","NY00472487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
