"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","dayIdentified"
"1","2021-03-01 16:35:05-03","UNICAMP","UEC","188078","S","Plantae","Magnoliopsida","Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R.Romero & A.B.Martins","Meyer, FS","2014","04","Meyer, FS","2030","2014","07","11","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra. Parque Nacional da Serra da Canastra","-46.751417","-20.412372","-46.751417","-20.412372","Arbusto pêndulo, escandente, frequente no campo-cerrado e campo rupestre. Pétalas brancas, estames brancos.","UEC114274","UEC114274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:35:05-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida","Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R.Romero & A.B.Martins","Meyer, FS","2014","04","Meyer, FS","2038","2014","07","11","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra. Parque Nacional da Serra da Canastra","-46.751417","-20.412372","-46.751417","-20.412372","Arbusto pêndulo, escandente, frequente no campo-cerrado e campo rupestre. Pétalas brancas, estames brancos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:35:05-03","UNICAMP","UEC","133679","S","Plantae","Magnoliopsida","Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R.Romero & A.B.Martins","Martins, AB; Romero, R","2003","01","Nakajima, JN; Romero, R","1742","1996","05","23","Brazil","Minas Gerais","Delfinópolis","Serra Preta, Estrada para a fazenda Antonio Lopes.","-46.8539009094238","-20.343900680542",NA,NA,"Subarbusto, ca 1,5m. Cálice esverdeado. Corola branca. Estames e estilete creme; Campo rupestre",NA,NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-29 16:15:20-03","JBB","HEPH","37374","S","Plantae","Dicotyledon","Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B.Martins) P.J.F.Guim. & Michelang.","Flora do Brasil","2020",NA,"Volpi, RL; Romero, R; Pacheco, A; Mendonça, I; Cruz, MP; Alves, AS; Carvalho, SM","706","2003","05","17","Brasil","Minas Gerais","Delfinópolis","Condomínio de Pedra","-46.756389","-20.367778","-46.756389","-20.367778",NA,NA,NA,NA,NA,"Myrtales","Southern America","1178","1178",NA,NA,NA,NA
"5","2021-01-29 16:15:20-03","JBB","HEPH","37426","S","Plantae","Dicotyledon","Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B.Martins) P.J.F.Guim. & Michelang.","Flora do Brasil","2020",NA,"Romero, R; Volpi, RL; Pacheco, RA; Carvalho, SM; Alves, ASS; Cruz, MP; Mendonça, I","6853","2003","05","15","Brasil","Minas Gerais","Delfinópolis","Trilha Escada de Pedra","-46.653333","-20.434444","-46.653333","-20.434444",NA,NA,NA,NA,NA,"Myrtales","Southern America","841","841",NA,NA,NA,NA
"6","2021-01-29 16:15:20-03","JBB","HEPH","37434","S","Plantae","Dicotyledon","Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B.Martins) P.J.F.Guim. & Michelang.","Flora do Brasil","2020",NA,"Romero, R; Volpi, RL; Pacheco, RA; Carvalho, SM; Alves, ASS; Cruz, MP; Mendonça, I","6918","2003","05","16","Brasil","Minas Gerais","Delfinópolis","Trilha do S. Cannyon","-46.653611","-20.434444","-46.653611","-20.434444",NA,NA,NA,NA,NA,"Myrtales","Southern America","845","845",NA,NA,NA,NA
"7","2020-12-11 11:38:38-03","UFMG","BHCB","83391","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R.Romero & A.B.Martins",NA,"2003","01","Nakajima, JN; Romero, R","1742","1996","05","23","Brasil","Minas Gerais","Delfinópolis","Serra Preta, Estrada para a fazenda do Antonio Lopes","-46.8539009094238","-20.343900680542",NA,NA,"Campo rupestre. Subarbusto ca. 1,5 m. Cálice esverdeado, corola branca, estames e estilete crème.","BHCB000312","BHCB000312","41380","auto",NA,"Southern America",NA,NA,"Isotypus",NA,NA,NA
"8","2021-02-11 17:20:17-03","UFPR","UPCB","88400","PreservedSpecimen","Plantae",NA,"Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R. Romero & A.B. Martins","Meyer, F.S.","2014","04","Meyer, F.S.","2030","2014","07","11","Brasil","Minas Gerais","São Roque de Minas","Serra da Canastra. Parque Nacional da Serra Canastra","-46.44651","-20.244454","-46.446510","-20.244454","Arbusto pêndulo, escandente, frequente no campo-cerrado e campo-rupestre. Pétalas brancas, estames brancos..","UPCB0032084","UPCB0032084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-20 12:33:00-03","MO","MOBOT","101208183","PreservedSpecimen","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R. Romero & A.B. Martins) P.J.F. Guim. & Michelang.","fide Guimarães et al.",NA,NA,"J.N. Nakajima|R. Romero","Nakajima 1742","1996","5","23","Brazil","Minas Gerais","Delfinópolis","Estrada para a fazenda do Antonio Lopes, Serra Preta","-46.8539009094238","-20.343900680542",NA,NA,NA,NA,NA,"41380","auto",NA,"South America",NA,NA,"Holotype","1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3466841","PreservedSpecimen","Plantae",NA,"Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R. Romero & A.B. Martins","Romero, R.; Martins, A. B.",NA,NA,"J. N. Nakajima & R. Romero","1742","1996","5","23","Brazil","Minas Gerais",NA,"Estrada para a fazenda do Antonio Lopes, Serra Preta, Delfinópolis, Minas Gerais, Brasil.",NA,NA,NA,NA,"Holotype at HUFU.","US00810591","US00810591_01",NA,NA,"Myrtales","South America - Neotropics",NA,NA,"Isotype","1","Dicotyledonae",NA
