"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","class","order","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","barcode","imagecode","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4310","S","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Carlos Alberto Ferreira Júnior","2018","01","16","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1895","S","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Rubens Custódio Mota",NA,NA,NA,"2","254","Magnoliophyta","Equisetopsida","Asparagales","Lindl.","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","03","27","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949","28215","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547580","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","P. K. H. Dusén",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397726' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","P. K. H. Dusén","1915","02","08","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"South America","sheet","NY00547580","NY00547580_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547581","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","R. L. Dressler",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397727' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","P. K. H. Dusén","1911","12","26","Brazil","Paraná",NA,"Cubatao",NA,NA,NA,NA,"South America","sheet","NY00547581","NY00547581_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547582","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","R. L. Dressler",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397728' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","P. K. H. Dusén","1909","12","06","Brazil","Paraná",NA,"Alexandra","-48.631716","-25.548936",NA,NA,"South America","sheet","NY00547582","NY00547582_01","9050",NA,NA,NA,NA
"6","2019-09-10 21:43:52-03","UNEMAT","TANG","6192","S","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Engels, ME","2016","01","01",NA,NA,NA,NA,NA,"Lindl.","Engels, ME; Mazziero, FFF","2016","01","01","Brasil","São Paulo","Apiaí.","Parque estadual turístico do Alto Ribeira ( PETAR).","-48.8400001525879","-24.5","37738","auto",NA,NA,"TANG000006192",NA,"4372",NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","21001","S","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Lemos, JV",NA,NA,NA,NA,NA,"Monocotiledonea",NA,NA,"Lindl.","Lemos, JV","2007","12","09","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508","auto",NA,NA,"HUCP00002981","HUCP00002981","032",NA,NA,NA,NA
"8","2019-10-09 11:28:41-03","UFBA","ALCB","118089","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia",NA,NA,NA,NA,NA,"epífita, com pseudobulbos. Folhas cartáceas, levemente discolores. Inflorescência com escapo longo. Flores com sépalas pétalas e labelo vináceos.","Monocotyledon",NA,NA,"Lindl.","Guedes, ML; Alves, M; Costa, TF; Alunos de Botânica Econômica","2014","11","28","Brasil","Bahia","Eunápolis","Extremo Sul, Estação Pau Brasil","-39.966667","-16.616667",NA,NA,"Southern America",NA,"ALCB007344","ALCB007344","23149","-39.966667","-16.616667",NA,NA
"9","2021-01-28 09:15:00-03","MN","R","35825","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Rodrigues, J.B.","1881","04",NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará",NA,NA,NA,"Lindl.","Freire Allemão, F.; Cysneiros, M.",NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"R000035825","R000035825_001","1500",NA,NA,NA,NA
"10","2021-03-31 13:40:59-03","MN","R","196973","PreservedSpecimen","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Santana, S.C.","1999","12","13",NA,"Herbarium Bradeanum",NA,NA,NA,"Lindl.","Santana, S.C.","1999","10","31","Brasil","Rio de Janeiro","Duque de Caxias","Taquara","-43.3116989135742","-22.7856006622314","34388","auto",NA,NA,NA,NA,"75",NA,NA,NA,NA
