"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","dayIdentified","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1757","S","Plantae","Magnoliophyta","Equisetopsida","Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","LíviaAndradeEchternacht;LeandroLacerdaGiacomin","2005","08","JulianaOrdonesRego; AlbinaCarvalhodeOliveiraNogueira,MárciaBacelarFonseca,LeandroLacerdaGiacomin,CláudiaMárciaSilvadoCarmo","Ordones938","2005","07","06","Brasil","MinasGerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949","19º45'a19º30'","42º38'a48º28'","28215","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863357","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","S. R. Profíce",NA,NA,"Y. E. J. Mexia","5032","1930","09","11","Brazil","Minas Gerais","Viçosa","Viçosa, Agricultural College lands. Sao Miguel Road, near km. 2","-42.8817","-20.7542",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951268' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","665","665","sheet","NY00863357","NY00863357_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00863381","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","S. R. Profíce",NA,NA,"G. M. Magalhaes","18876","1962","06","11","Brazil","Minas Gerais","Ponte Nova","Campo Cana","-42.9086","-20.4164",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951267' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00863381","NY00863381_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","884460","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","S. R. Profíce",NA,NA,"Grupo Pedra do Cavalo","432","1980","07",NA,"Brazil","Bahia","Cachoeira","Mata a Ne da B. Bananeiras Cachoeira/Bahia - Vale dos Rios, Paraguaçu e Jacuipe.","-39.08","-12.53",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954291' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","40","120","sheet","NY00884460","NY00884460_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","884461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","S. R. Profíce",NA,NA,"A. C. Brade","18163","1946","05","13","Brazil","Espírito Santo","Itaguaçu","Jatiboca","-40.884085","-19.954583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954354' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00884461","NY00884461_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","163202","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Geissomeria","schottiana","Geissomeria schottiana","Nees",NA,NA,NA,"L. Riedel","784","1832","05",NA,"Brazil",NA,NA,"In silvis prope [Maca..é]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532914' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00163202",NA,"syntype",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","163203","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Geissomeria","schottiana","Geissomeria schottiana","Nees",NA,NA,NA,"L. Riedel","784","1831",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"See NY 163202 where Colelction Date is May 1832-Jun 1832. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532915' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00163203",NA,"syntype",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","278298","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Stephanophysum","attenuatum","Stephanophysum attenuatum","Mart.",NA,NA,NA,"C. F. P. von Martius","179",NA,NA,NA,"Brazil",NA,NA,"Prov. Sebastianopolit.",NA,NA,NA,NA,NA,NA,"No Collection Year on this label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286329' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00278298","NY00278298_01","isotype",NA,NA,NA,NA
"9","2020-06-29 11:28:40-03","UFRJ","RFA","4198","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Geissomeria","schottiana","Geissomeria schottiana","Nees.","D. Wasshausen",NA,NA,"P. Occhioni; E. Pereira - 4040; Liene; Sucre; Duarte","1508","1958","07","28","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá, Recreio dos Bandeirantes","-43.2075004577637","-22.9027996063232",NA,NA,"57442",NA,"Subarbusto, flores vermelhas","auto",NA,NA,NA,NA,"RFA24948",NA,NA,NA,NA,NA,NA
"10","2020-12-15 11:14:17-03","FUNED","FUNED-POL","2768","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Geissomeria","schottiana","Geissomeria schottiana",NA,NA,NA,NA,"Sandra Matoso",NA,NA,NA,NA,"Brasil","MG",NA,"Mata do Paraíso/Viçosa","-42.881667","-20.754167","42W 52' 54","20S 45' 15",NA,NA,"Grãos amassados",NA,NA,NA,NA,NA,"POL002768",NA,NA,NA,NA,NA,NA
