"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:40:41-03","E","E","82948","PreservedSpecimen","Plantae","Leguminosae","Inga","virescens","Inga virescens","Silva, J.M. & Cordeiro, J.","1544","1995","09","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91420","<a href=http://data.rbge.org.uk/herb/E00082948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418819","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","L. B. Smith","12428","1964","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418819","Magnoliophyta","Fabales","Benth.","R. S. Cowan","Santa Catarina","Catanduvas","East of Catanduvas","-51.75","-27.05","700","800","NY00418819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886116","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","G. G. Hatschbach","14869","1966","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886116","Magnoliophyta","Fabales","Benth.","F. Bonadeu da Silva","Paraná","Sao Joao do Triunfo","São João do Triunfo","-50.2972","-25.6833",NA,NA,"NY00886116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","754767","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","G. T. Prance","7793","1968","10","03","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754767","Magnoliophyta","Fabales","Benth.","J. W. Grimes","Acre","Sena Madureira","5 km east of Sena Madureira","-68.6125658","-9.0688679",NA,NA,"NY00754767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418828","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","J. Cordeiro","919","1992","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418828","Magnoliophyta","Fabales","Benth.","T. D. Pennington","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2656","-26.1925",NA,NA,"NY00418828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","418826","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","C. Koczicki","322","1993","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418826","Magnoliophyta","Fabales","Benth.","T. D. Pennington","Paraná","Campo do Tenente","BR-277","-49.6828","-25.9783",NA,NA,"NY00418826_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","418818","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","L. B. Smith","12032","1957","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418818","Magnoliophyta","Fabales","Benth.","A. E. Burkart","Santa Catarina","Campo Alegre","6km west of Campo Alegre","-49.2656","-26.1925","800","850","NY00418818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","418824","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","C. Kozera","270","1996","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418824","Magnoliophyta","Fabales","Benth.","C. Kozera","Paraná","Curitiba","Parque Barigui. Próxima ao rio Barigui","-49.22","-25.37",NA,NA,"NY00418824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","418814","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","G. F. J. Pabst","6239","1961","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418814","Magnoliophyta","Fabales","Benth.",NA,"Rio Grande do Sul","Bom Jesus","Passos do Socorro, margem do Rio Pelotas, na estrada S. Joaquim-Bom Jesus","-50.4167","-28.6681",NA,NA,"NY00418814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00754766","PreservedSpecimen","Plantae","Fabaceae","Inga","virescens","Inga virescens","G. T. Prance","7793","1968","10","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754766","Magnoliophyta","Fabales","Benth.","J. W. Grimes","Acre","Sena Madureira","5 km east of Sena Madureira","-68.6125658","-9.0688679",NA,NA,"NY00754766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
