"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:24:48-03","UNESC","CRI","13803","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Anderson Kassner","2018","09","09","Alexandre Medeiros","1034","2018","09","09","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Branca","-48.586111","-26.996389","48º35'10''W","26º59'47''S","Frutos verdes Habitat: Terrestre Habito: Arbóreo","CRI012414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","9490","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","A. Stival-Santos","2010","07","11","A. Stival-Santos; D. Meyer & S. Silveira","3027","2010","07","11","Brasil",NA,"Brasil","Guarda do Cubatão.","-48.69","-27.72","48º41'24''W","27º43'12''S","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arbórea","CRI000289","108","108","CRI000289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","1451","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","R. R. Negrelle","1994","05","12","R. Negrelle",NA,"1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,"CRI000292","7","7","CRI000292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:11-03","E","E","373474","PreservedSpecimen","Plantae","Annonaceae","Xylopia","gracilis","Xylopia gracilis",NA,NA,NA,NA,NA,"[Floresta de Lyrica?]","662",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373474",NA,NA,NA,"unspecified kind of","E. Tropical South America","photograph of unspecified type","BGBASE:431850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","395870","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","W. Hoehne",NA,NA,NA,"W. Hoehne","s.n.","1944","10","19","Brazil","São Paulo","Sao Paulo","Parque do Estado da Sao Paulo","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395870",NA,NA,"NY00395870_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","395869","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","R. E. Spichiger",NA,NA,NA,"G. S. Hartshorn","2472","1980","03","19","Paraguay","Alto Paraguay",NA,"Ybycui National Park. 100 m S of Laguna Seca","-56.83","-26",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395869","300","300",NA,NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","395871","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"R. Negrelle","A681","1993","01","21","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha, Santa Catarina (Estrada do Sambaqui)","-48.6158","-26.1169",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395871",NA,NA,"NY00395871_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02699086","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"L. de S. Leoni","5172","2002","10","25","Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita.","-42.055635","-20.757709",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982934' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699086","600",NA,"NY02699086_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01096187","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","O. Thier",NA,NA,NA,"O. Thier","248","2005","10","18","Brazil","Rio de Janeiro","Teresópolis","Sebastiana, street between Sebastiana and Corrego Sujo, near ice cream factory.","-42.9655990600586","-22.4122009277344",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1234076' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096187","885","885","NY01096187_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales","38539","auto",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1114016","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","R. de Mello-Silva",NA,NA,NA,"J. M. Silva","2925","1999","04","15","Brazil","Paraná","Cruzeiro do Iguaçu","Rio Iguaçu, próximo a barra do Rio Chopim.","-53.1278","-25.6158",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1256949' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114016",NA,NA,"NY01114016_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA
