"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","typeStatus","coordinatePrecision","preparationType","individualCount","imagecode","geoFlag","phylum","class","order"
"1","2021-03-04 11:05:37-03","UFRB","HURB","3302","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","T.B. Cavalcanti","2001","11","Harley, R.M.; Giulietti, A.M.","53995","2000","06","18","Brasil","Bahia","Rio de Contas","Arapiranga, na beira da trilha para Serra do Porco;","-41.756389","-13.461389","41°45'23'' W","13°27'41'' S","1018","1018","já passou a pouco tempo a época de plena floração.","HURB000003302",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 11:48:41-03","UFPE","UFP","45057","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","Cavalc, T.B.","Lucas, E","2006","07","Giuliette A.M.;; Harley, RM; Ramos, F","2247","2003","04","16","Brasil","Bahia","Rio de Contas",NA,"-41.752222","-13.440278","-41.752222","-13.440278","1248","1248","Subarbusto ca 40cm de alt.; folhas discolores, face superior verde glauca e inferior acinzentada devido à pilosidade. Brácteas e hipanto verde acinzentado, pétalas roxo-claro, filetes e estiletes creme, antenas amarelas.; Cerrado de al","UFP045057",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 11:48:41-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","Cavalc, T.B.","Lucas, E","2006","07","Giuliette A.M.;; Harley, RM; Ramos, F","2247","2003","04","16","Brasil","Bahia","Rio de Contas",NA,"-41.752222","-13.440278","-41.752222","-13.440278","1248","1248","Subarbusto ca 40cm de alt.; folhas discolores, face superior verde glauca e inferior acinzentada devido à pilosidade. Brácteas e hipanto verde acinzentado, pétalas roxo-claro, filetes e estiletes creme, antenas amarelas.; Cerrado de altitude e campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-02 16:31:29-03","Cenargen","CEN","18976","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","T. B. Cavalcanti",NA,NA,"Wilson Ganev","11","1992","04","03","Brasil","BA","ABAIRA","Encosta da Serra do Atalho em frente ao Mendonça.","-41.6636009216309","-13.2496995925903","-4181667.0","-1326667.0","1100","1100","ISOTYPUS. Folhas verde-prateadas na face inferior e verdes na superior. Brácteas e cálice verde-claros, pétalas rosa-escuras, estames e anteras amarelos e estigma branco. Doação do Herbário da Universidade Estadual de Feira de Santana - HUEFS (10454). Royal Botanical Gardens - Kew. Universidade de São Paulo. Flora de Catolés.","CEN00018976","ISOTYPUS","26531","Exsicatas","1","CEN00018976","auto",NA,NA,NA
"5","2020-09-02 16:31:29-03","Cenargen","CEN","36124","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","T. B. Cavalcanti","2000",NA,"Ana Maria Giulietti","1528","1999","07","28","Brasil","BA","RIO DE CONTAS","Campo do Zé Maria.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"Folhas verdes com tricomas alvos. Fruto com ápice e face ventral das sépalas vináceo. Doação do Herbário da Universidade Estadual de Feira de Santana - HUEFS (39635). Feira de Santana - Bahia.","CEN00036124",NA,"49773","Exsicatas","1","CEN00036124","auto",NA,NA,NA
"6","2019-11-13 11:24:01-03","USP","SPF","62193","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","Cavalcanti, TB","2004","07","Harley, RM","27056","1988","12","01","Brasil","Bahia","Água Quente","Pico das Almas","-42","-13.516667","-42","-13.516667","1100","1300",NA,"SPF00062193",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 18:32:00-03","USP","SPF","88768","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","Cavalcanti, TB",NA,NA,"Ganev, W","11","1992","04","03","Brasil","Bahia","Abaíra","Distrito de Catolés, Encosta da Serra do Atalho em frente ao Mendonça. Campo rupestre com solo argiloso.","-41.816667","-13.266667","-41.816667","-13.266667","1100","1100","Arbusto de até 1,2m. Folhas verde-prateadas na face inferior e verdes na face superior. Brácteas e cálice verde-claros, pétalas rosa-escuras, estames e anteras amarelados e estigma branco.","SPF00088768","holotype",NA,NA,NA,"SPF00088768",NA,NA,NA,NA
"8","2019-10-07 09:34:03-03","UEFS","HUEFS","10454","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.",NA,NA,NA,"Ganev, W.","11","1992","04","03","Brasil","Bahia","Abaíra",NA,"-41.816667","-13.266667","41W49'","13S16'","1100","1100",NA,"HUEFS0010454","Isótipo",NA,NA,NA,"HUEFS0010454",NA,"Angiospermae","Rosanae","Myrtales"
"9","2019-10-07 09:34:03-03","UEFS","HUEFS","106735","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","T.B.Cavalcanti","2013","07","Santos, A.K.A.","774","2006","02","08","Brasil","Bahia","Abaíra","Catolés/Abaíra, trilha para o Guarda-Mor. Subida para o campo do Bicota, ca. 30 m após o muro de pedra.","-41.850833","-13.326389","41W51'3''","13S19'35''","1463","1463",NA,"HUEFS0106735",NA,NA,NA,NA,"HUEFS0106735",NA,"Angiospermae","Rosanae","Myrtales"
"10","2019-10-07 09:34:03-03","UEFS","HUEFS","179554","PreservedSpecimen","Plantae","Lythraceae","Diplusodon","argyrophyllus","Diplusodon argyrophyllus","T.B.Cavalc.","T.B.Cavalcanti","2013","07","Harley, R.M.","56775","2012","02","19","Brasil","Bahia","Rio de Contas","Arapiranga, caminho para Serra do Porco Gordo.","-41.753333","-13.442778","41W45'12''","13S26'34''","1219","1219","Campo arenoso, com muito cascalho de quartzo, solo úmido. Muitas gramíneas, cyperáceas e eriocauláceas.","HUEFS0179554",NA,NA,NA,NA,"HUEFS0179554",NA,"Angiospermae","Rosanae","Myrtales"
