"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"796","2019-10-07 09:36:54-03","UEFS","HUEFS","132840","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Guedes, M.L.S.","14094","2007","12","28",NA,"Brasil","Bahia","Carinhanha","Médio do São Francisco, a 1Km do Rio Carinhanha.","-43.809167","-14.310833",NA,"caatinga/cerrado.","HUEFS0132840","HUEFS0132840",NA,NA,"43W48'33''","14S18'39''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"797","2019-10-07 09:36:54-03","UEFS","HUEFS","132850","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Guedes, M.L.S.","13959","2007","11","24",NA,"Brasil","Bahia","Carinhanha","Médio do São Francisco.","-43.777778","-14.3275",NA,"Caatinga.","HUEFS0132850","HUEFS0132850","445","445","43W46'40''","14S19'39''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"798","2019-10-07 09:36:54-03","UEFS","HUEFS","1247","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","J.R.Pirani","Grupo Pedra do Cavalo","520","1980","08",NA,NA,"Brasil","Bahia","Cachoeira",NA,"-39.083333","-12.533333",NA,NA,"HUEFS0001247","HUEFS0001247","40","120","39W5'","12S32'",NA,NA,"2002","04",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"799","2019-10-07 09:36:54-03","UEFS","HUEFS","137295","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","F.França","Melo, E.","5559","2008","04","18",NA,"Brasil","Bahia","Morro do Chapéu","Buraco do Posidônio.","-41.270556","-11.645833",NA,"Caatinga. Afloramento de calcário. Depressão em forma de dolina.","HUEFS0137295","HUEFS0137295 HUEFS0137295_e1","970","970","41W16'14''","11S38'45''",NA,NA,"2018","11",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"800","2019-10-07 09:36:54-03","UEFS","HUEFS","137725","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Cano, O.","827","2007","07",NA,NA,"Brasil","Pernambuco","Buíque","Vale do Catimbau, Alcobaça; na trilha, próximo á Barra do Pico, início da mata próximo ao riacho.","-37.190556","-8.553611",NA,NA,"HUEFS0137725","HUEFS0137725",NA,NA,"37W11'26''","8S33'13''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"801","2019-10-07 09:36:54-03","UEFS","HUEFS","140137","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Oliveira, R.P.","1436","2008","01","16",NA,"Brasil","Bahia","Tucano","Ca. de 5 Km do povoado Quixaba do Mandacaru, Fazenda Urubu.","-38.85","-11.15",NA,"Mata ciliar degradada.","HUEFS0140137","HUEFS0140137",NA,NA,"38W51'","11S9'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"802","2019-10-07 09:36:54-03","UEFS","HUEFS","140242","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Oliveira, R.P.","1541","2008","05","02",NA,"Brasil","Bahia","Feira de Santana","Distrito de Bonfim de Feira, ca. 30 km da cidade, na BA 052 ( estrada do feijão). Fazenda Retiro, km 20.","-39.186667","-12.163611",NA,"Mata seca.","HUEFS0140242","HUEFS0140242","240","240","39W11'12''","12S9'49''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"803","2019-10-07 09:36:54-03","UEFS","HUEFS","141511","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Rezende, S.G.","2262","2007","10","09",NA,"Brasil","Minas Gerais","Santa Bárbara","Região Sumidouro.","-43.501667","-20.023056",NA,NA,"HUEFS0141511","HUEFS0141511","777","777","43W30'6''","20S1'23''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"804","2019-10-07 09:36:54-03","UEFS","HUEFS","148227","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Moraes, P.L.R.de","2599","2009","03","16",NA,"Brasil","Bahia","Rio de Contas","Trilha para o Pico do Itoibira","-41.786667","-13.608333",NA,NA,"HUEFS0148227","HUEFS0148227",NA,NA,"41W47'12''","13S36'30''",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"805","2019-10-07 09:36:54-03","UEFS","HUEFS","15174","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Salgado, O.A.","231","1981","11","12",NA,"Brasil","Minas Gerais","Coronel Murta",NA,"-42.15","-16.516667",NA,NA,"HUEFS0015174","HUEFS0015174",NA,NA,"42W9'","16S31'",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
