"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","typeStatus","imagecode","class","order","continentOcean"
"1","2021-03-24 17:09:13-03","UFES","SAMES","8949","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Menezes,L.F.T.; Pereira.O.J.;M.S.Souza.","2548","2018","05","24","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","-398622222.0","-187875000.0","56510","Com flores creme. Habito: Árvore","SAMES08949","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:09:13-03","UFES","SAMES","9150","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Ribeiro, M.; Rozario, E.M.","1492","2019","07","26","Brasil","Bahia","Mucuri","-39.5508003234863","-18.0863990783691","-398200000.0","-182372222.0","78440","13 m alt. Folhas verdes; com indumento ferrugíneo-escuro da raque ao fruto. Frutos (ramifloria) verdes na carpoteca (SAMEScarpo 90064). Habito: Árvore","SAMES09150","auto","Ribeiro, M.","2019","11","11","Coletas próximo a sede da reserva. Reserva Biológica de Córrego Grande","65","65",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:31:25-03","UNICAMP","UEC","113290","S","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Mansano, VF; Folli, DA; Rio, MC; Freitas, MF","89","1999","11","05","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"Árvore 12m. frutos castanhos.",NA,NA,"Mansano, VF","2010","04","08","Rodovia Rio Bahia, Km 49, próximo a entrada para Conceição da Barra.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"4","2021-03-01 16:31:25-03","UNICAMP","UEC","92754","S","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Folli, DA","500","1984","05","08","Brazil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Árvore 26 m. Diámetro copa 12 m. Fuste cilíndrico, 15 m altura, cap 125,664, casca escamosa. Botão marrom. Flor branca. Exsudato vermelho.","UEC055527","auto","Mansano, VF","1997","05","11","Reserva Florestal de Linhares, Estrada Jueirana Vermelha, Km. 0,04",NA,NA,"Magnoliopsida","isotypus","UEC055527",NA,NA,NA
"5","2020-07-10 09:46:56-03","MBML","MBML-HERBARIO","26556",NA,"Plantae","Leguminosae Faboideae","Swartzia","linharensis","Swartzia linharensis","Mansano","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2299","2006","05","23","Brasil","Espírito Santo","Linhares","-40.488889","-19.325556","40W29'20","19S19'32",NA,"Árvore 16m, fuste 8m, DAP 40cm, botões florais, flores brancas. Interior de mata alterada.","MBML026556",NA,"N. F. Mansano/11-XII-2007",NA,NA,NA,"São Sebastião, Prop.: Duílio Petri","400","400",NA,NA,"MBML026556",NA,NA,NA
"6","2020-07-10 09:46:56-03","MBML","MBML-HERBARIO","33473",NA,"Plantae","Leguminosae Faboideae","Swartzia","linharensis","Swartzia linharensis","Mansano","M. Simonelli; F. A. R. Matos, L. F. Magnago","1153","2007","04","21","Brasil","Espírito Santo","Atílio Vivácqua","-41.209722","-21.340278","41W12'35","21S20'25",NA,"Árvore 10 m de alt., Pap. 60cm, Fust. 4m de alt., Sépalas verde com pêlos","MBML033473",NA,"V.F. Mansano/14-X-2014",NA,NA,NA,"Serra das Torres","567","567",NA,NA,"MBML033473",NA,NA,NA
"7","2020-01-30 12:40:15-03","UFES","SAMES-CARPOTECA","90064","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Ribeiro, M.; Rozario, E.M.","1492","2019","07","26","Brasil","Bahia","Mucuri","-39.82","-18.237222","39º49'12''W","18º14'14''S",NA,"13 m alt. Folhas verdes; com indumento ferrugíneo-escuro da raque ao fruto. Frutos (ramifloria) verdes na carpoteca. Habito: Árvore","SAMEScarpo90064",NA,"Ribeiro, M.","2019","11","11","Coletas próximo a sede da reserva. Reserva Biológica de Córrego Grande","65","65",NA,NA,NA,NA,NA,NA
"8","2021-02-09 10:13:21-03","UENF","HUENF","1776","PreservedSpecimen","Plantae","Leguminosae","Swartzia","linharensis","Swartzia linharensis","Mansano","Moreno, M.R.; Nascimento, M.T.","721","1997","07","30","Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.796944","-21.846944","41º47'49''W","21º50'49''S",NA,NA,"HUENF00001778",NA,NA,NA,NA,NA,"Imbé","38","38",NA,NA,NA,NA,NA,NA
"9","2021-04-07 16:08:49-03","UENF","HUENF","11560","PreservedSpecimen","Plantae","Leguminosae","Swartzia","linharensis","Swartzia linharensis","Mansano","Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana & Patrícia M. Santos","8919","2019","07","19","Brasil","Rio de Janeiro","São Francisco de Itabapoana","-41.201111","-21.552222","41º12'4''W","21º33'8''S",NA,"Árvore pequena, rebrotando, com 5 m alt. Tronco com casca lisa a levemente estriada, pardacenta, DAP 10+7 cm. Estéril. Ocasional. Amotra em sílica-gel.","HUENF00012478",NA,"H.C. de Lima",NA,NA,NA,"Fazenda Imburi.","32","32",NA,NA,NA,NA,NA,NA
"10","2021-02-25 10:12:13-03","CVRD","CVRD","11990","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Folli, D.A.","6226","2008","11","13","BRASIL","ES","Linhares","-40.01904","-19.154388","-40,01904","-19,154388",NA,"Próximo ao Parcela de Jequitibá <ll>dwc_commonname:</ll> Laranjinha","CVRD011990",NA,"Domingos A. Folli","2008","11","13",NA,"37","37","Magnoliophyta",NA,NA,"Magnoliopsida","Fabales","América do Sul"
"11","2021-02-25 10:12:13-03","CVRD","CVRD","3339","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Souza, V.D.","138","1991","08","20","BRASIL","ES","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"41644","Projeto coleta de sementes. <ll>dwc_commonname:</ll> Laranjinha","CVRD003339","auto","Vidal Freitas Mansano","2001","08","13","À beira do asfalto, BR.101, próxima da Aracruz Florestal, lado esquerdo - Conceição da Barra - ES",NA,NA,"Magnoliophyta",NA,NA,"Magnoliopsida","Fabales","América do Sul"
"12","2021-02-25 10:12:12-03","CVRD","CVRD","1095","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Folli, D.A.","500","1984","05","08","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","Holotypus CVRD <ll>dwc_commonname:</ll> Laranjinha","CVRD001095","auto","Vidal Freitas Mansano","2001","08","13",NA,NA,NA,"Magnoliophyta","HOLOTYPUS","CVRD001095","Magnoliopsida","Fabales","América do Sul"
"13","2021-02-25 10:12:13-03","CVRD","CVRD","8198","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Mansano, V.F.","226","2003","06","25","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Laranjinha","CVRD008198","auto","Vidal Freitas Mansano","2003","06","25",NA,NA,NA,"Magnoliophyta",NA,NA,"Magnoliopsida","Fabales","América do Sul"
"14","2021-02-25 10:12:13-03","CVRD","CVRD","4624","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Folli, D.A.","2013","1993","09","21","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Laranjinha","CVRD004624","auto","Vidal Freitas Mansano","2001","08","13",NA,NA,NA,"Magnoliophyta",NA,NA,"Magnoliopsida","Fabales","América do Sul"
"15","2021-02-25 10:12:13-03","CVRD","CVRD","177","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Spada, J.","60","1978","03","04","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","<ll>dwc_commonname:</ll> Laranjinha","CVRD000177","auto","Vidal Freitas Mansano","1997","05","11","Talhão 403",NA,NA,"Magnoliophyta",NA,"CVRD000177","Magnoliopsida","Fabales","América do Sul"
"16","2021-02-25 10:12:13-03","CVRD","CVRD","7112","PreservedSpecimen","Plantae","Fabaceae","Swartzia","linharensis","Swartzia linharensis","Mansano","Luz, A.A. da","29","2001","10","17","BRASIL","MG","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676",NA,NA,"22522","<ll>dwc_commonname:</ll> Laranjinha","CVRD007112","auto","Domingos A. Folli","2001","10","17",NA,NA,NA,"Magnoliophyta",NA,NA,"Magnoliopsida","Fabales","América do Sul"
"17","2020-05-08 11:13:13-03","UEFS","HUEFS","209955","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Swartzia","linharensis","Swartzia linharensis","Mansano","Nascimento, F.H.F.","1053","2013","03","15","Brasil","Espírito Santo","Linhares","-40.05","-19.15","40W3'","19S9'",NA,"Floresta Estacional Perenifólia.","HUEFS0209955",NA,NA,NA,NA,NA,"Reserva Natural Vale.","60","70","Angiospermae",NA,NA,"Rosanae","Fabales",NA
"18","2020-05-08 11:13:13-03","UEFS","HUEFS","209956","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Swartzia","linharensis","Swartzia linharensis","Mansano","Nascimento, F.H.F.","1054","2013","03","15","Brasil","Espírito Santo","Linhares","-40.05","-19.15","40W3'","19S9'",NA,"Floresta Estacional Perenifólia.","HUEFS0209956",NA,NA,NA,NA,NA,"Reserva Natural Vale.","60","70","Angiospermae",NA,NA,"Rosanae","Fabales",NA
"19","2020-05-08 11:13:13-03","UEFS","HUEFS","209957","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Swartzia","linharensis","Swartzia linharensis","Mansano","Nascimento, F.H.F.","1055","2013","03","15","Brasil","Espírito Santo","Linhares","-40.05","-19.15","40W3'","19S9'",NA,"Floresta Estacional Perenifólia.","HUEFS0209957",NA,NA,NA,NA,NA,"Reserva Natural Vale.","60","70","Angiospermae",NA,NA,"Rosanae","Fabales",NA
"20","2020-05-08 11:13:13-03","UEFS","HUEFS","209958","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Swartzia","linharensis","Swartzia linharensis","Mansano","Nascimento, F.H.F.","1056","2013","03","15","Brasil","Espírito Santo","Linhares","-40.05","-19.15","40W3'","19S9'",NA,"Floresta Estacional Perenifólia.","HUEFS0209958",NA,NA,NA,NA,NA,"Reserva Natural Vale.","60","70","Angiospermae",NA,NA,"Rosanae","Fabales",NA
"21","2020-05-08 11:13:13-03","UEFS","HUEFS","232740","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Swartzia","linharensis","Swartzia linharensis","Mansano","Neves, D.M.","1739","2014","03","13","Brasil","Bahia","Porto Seguro","-39.181389","-16.386389","39W10'53''","16S23'11''",NA,"Mata ombrofila.","HUEFS0232740",NA,"V.F.Mansano","2019","03",NA,"Estação Pau-Brasil","110","110","Angiospermae",NA,NA,"Rosanae","Fabales",NA
