"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","616054","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","crassifolia","Myrcia crassifolia","(Miq.) Kiaersk.","C. M. D. E. Legrand","E. P. Heringer","9478","1944","06","02","South America","Brazil","Minas Gerais","Paraopeba","Paraopeba","-44.4042","-19.2744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616054","NY00616054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616055","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","crassifolia","Myrcia crassifolia","(Miq.) Kiaersk.","M. L. Kawasaki","J. R. Pirani","2751","1993","02","08","South America","Brazil","Bahia","Porto Seguro","Porto Seguro: estrada Nossa Senhora da Ajuda a Porto Seguro, 1.5 km de N. Sra. da Ajuda","-39","-16.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616055","NY00616055_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00906406","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","P. O. Rosa","H. S. Irwin","23263","1969","02","13","South America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, ca. 50 km N.E. of Francisco Sá, on road to Salinas","-43.11745","-16.32455","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906406","NY00906406_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG4097","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata",NA,"Bunger, M.O.","M.Valentina W.","21",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Flor creme. Fruto vermelho. UTM: 7755023 x; 594316 y.",NA,NA,"1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG4098","S","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata",NA,"Bunger, M.O.","E.T.N.; M.Valentina W.","226",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Botões florais verdes. UTM: 7753879 x; 589814 y.",NA,NA,"1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:40-03","UFRJ","RFA","35321","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","J.E.Q. Faria","Cláudia M. Vieira; O. Samor et R. Darigo","1740","2006","09","22",NA,"Brasil","Minas Gerais","Barbacena",NA,"-43.7736015319824","-21.2257995605469",NA,"Arvoreta. Folhas verdes discolores. Flores verde-alvacentas","RFA22738",NA,"1077","1077",NA,NA,"27982","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:24-03","UFRJ","RFA","25520","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","G. M. Barroso","F. M. de B. Pereira","38/53","2000","11","19",NA,"Brasil","Minas Gerais","Itamonte","1° Distrito Bocaina Funda.","-44.692778","-22.263056",NA,"Arbusto, 5 m de altura, 16 cm de DAP, folha verde, caule cinza, raiz vinho, fruto vermelho, flor branca, comum no local.","RFA42118",NA,"1734","1734","44º41'34''W","22º15'47''S",NA,NA,"2001","01","26",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:24-03","UFRJ","RFA","26034","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","G. M. Barroso","F. M. de B. Pereira","56/51","2000","11","14",NA,"Brasil","Minas Gerais","Itamonte","1º Distrito, Fazenda Bugre.","-44.6875","-22.281389",NA,"Árvore, 8 m de altura, 13 cm de DAP, folha verde, flor branca, comum no local.","RFA42117",NA,"1317","1317","44º41'15''W","22º16'53''S",NA,NA,"2001","01","26",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:24-03","UFRJ","RFA","26026","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","G. M. Barroso","F. de Britto Pereira","48/51","2000","11","14",NA,"Brasil","Minas Gerais","Itamonte","1° Distrito, Fazenda Bugre.","-44.69","-22.277778",NA,"Árvore, 12 m de altura, 41 cm de DAP, folha verde, comum no local.","RFA42116",NA,"1319","1319","44º41'24''W","22º16'40''S",NA,NA,"2001","01","26",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:21:32-03","UFBA","ALCB","036444","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","obovata","Myrcia obovata","(O.Berg) Nied.","Neves, PS","Guedes, ML; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1519","1994","12","30","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.45","-12.433333",NA,"8,00 m.; Mata ciliar com espécies de ca. de 40 m. Areno-argiloso afloramentos rochosos.","ALCB058655",NA,"1040","1040","-41.45","-12.433333",NA,NA,"2019","04","23",NA,NA,NA,NA,NA,NA,NA
