"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag"
"1","2020-12-11 11:33:29-03","UFMG","BHCB","169857","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","caparaoensis","Senecio caparaoensis","Cabrera","Salino, A; Almeida, TE; Assis, FC; Moura, LC","15708","2014","05","10","Southern America","Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Trilha entre a Casa Queimada e o Pico da Bandeira","-41.798889","-20.438056","-41.798889","-20.438056","2810","2810","Folhas coriáceas, flores amareladas, altura 80 cm.; Campo de altitude","BHCB014736",NA,NA
"2","2020-12-11 11:33:29-03","UFMG","BHCB","169858","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","caparaoensis","Senecio caparaoensis","Cabrera","Salino, A; Almeida, TE; Assis, FC; Moura, LC","15709","2014","05","10","Southern America","Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Trilha entre a Casa Queimada e o Pico da Bandeira","-41.798889","-20.438056","-41.798889","-20.438056","2810","2810","Erva com 20-30cm, flores amarelas, folhas coriáceas.; Campo de altitude","BHCB014743",NA,NA
"3","2020-12-11 11:33:29-03","UFMG","BHCB","136068","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","caparaoensis","Senecio caparaoensis","Cabrera","Heringer, G; Machado, TM; Reis, SB","406","2010","03","09","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde., Pico da Bandeira.","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"Terrestre, flores amareas.; Campo de altitude.",NA,"21645","auto"
