"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","985","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","Edna Beninca","Edna Beninca; Vanilde Citadini-Zanette","1992","04","26","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI002982","CRI002982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","7712","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","2004","02","27","Brasil","Santa Catarina","Florianópolis","-48.48","-27.592222","48º28'48''W","27º35'32''S","CRI002980","CRI002980","472","Parque Municipal das Dunas da Lagoa da Conceição, próximo ao estacionamento da Joaquina.","17","17","Habitat: encosta de uma pequena duna interna Habito: subarbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","6975","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","Elisangela de Souza","Elisangela de Souza","1998","10",NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI002977","CRI002977",NA,"Rio Maina.",NA,NA,"Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","13310","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","Renato Colares & Aline Votri Guislon","Alexandre Medeiros","2017","09","20","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011917","CRI011917",NA,"Barra.",NA,NA,"Coleta 661. Habitat: Terrestre Habito: Herbácea","2018","03","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","5234","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","Denise P. Cesconeto","Denise Piacentini Cesconeto","1996","05","27","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI002978","CRI002978",NA,NA,"111","111","Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","13340","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica","L.","Vanilde Citadini Zanette","Maria Eduarda Ferreira","2018","03","14","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI011947","CRI011947",NA,"Horto medicinal- UNESC",NA,NA,"Habitat: Terrestre Habito: Herbácea","2018","03","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:19:00-03","NY","NYBG","2669","PreservedSpecimen","Plantae","Fabaceae","Mimosa","andreana","Mimosa andreana",NA,NA,"É. André",NA,NA,NA,"Ecuador",NA,NA,NA,NA,NA,NA,"NY00002669","NY00002669_01","2921","Mercaderes [Mercuadores] and. merid. nov. Gran.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451810' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales","holotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","443072","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica hispida","Brenan","R. C. Barneby","E. A. Friend","1947","08","13","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY00443072",NA,"216","Trinidad",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667159' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","hispida",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","443064","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica hispida","Brenan","R. C. Barneby","M. A. Pereira","1946","12",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00443064","NY00443064_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667150' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","hispida",NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 17:09:00-03","NY","NYBG","01346674","PreservedSpecimen","Plantae","Fabaceae","Mimosa","pudica","Mimosa pudica",NA,NA,"M. de L. Rico-Arce","2003","02","26","Bolivia","Santa Cruz",NA,"-63.243","-17.77344",NA,NA,"NY01346674","NY01346674_01","1389","SW of Santa Cruz; on road to Porongo","452",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1663591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
