"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00846047","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","bipinnata","Bidens bipinnata","L.","M. G. Silva","L. M. Carreira","694","1983","05","04","South America","Brazil","Mato Grosso","Estrada de Pontes e Lacerda a Vila Bela","-59.6331","-15.1231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846047","NY00846047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00846046","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","bipinnata","Bidens bipinnata","L.","G. M. Barroso","W. R. Anderson",NA,"1973","04","18","South America","Brazil","Minas Gerais","About 1 km E of Rio pandeiros, near road to Januária",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846046","NY00846046_01","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01194779","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","bipinnata","Bidens bipinnata","L.","D. J. N. Hind","W. Milliken","2215","1994","10",NA,"South America","Brazil","Roraima","Vicinity of the Macuxi village of Maturuca in the Região das Serras in the north-east of State, close to the Guyana border","-60.1","-4.466667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1337695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194779","NY01194779_01",NA,NA,"Normândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01194780","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","bipinnata","Bidens bipinnata","L.","D. J. N. Hind","W. Milliken","2290","1994","11",NA,"South America","Brazil","Roraima","Estação Ecológica da Ilha de Maracá","-61.433333","3.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194780","NY01194780_01",NA,NA,"Alto Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01194373","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","J. F. Pruski","J. J. Strudwick","4163","1981","08","05","South America","Brazil","Pará","Sete Varas airstrip on Rio Curua.","-55.1657197","-0.2209974","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194373","NY01194373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1628034","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth",NA,"H. F. A. von Eggers","5499","1889","10",NA,"South America","Trinidad and Tobago",NA,"Tobago: Gomez's Bay.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1908045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01628034","NY01628034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","859477","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","L. B. Smith","F. E. Drouet","2151","1935","07","28","South America","Brazil","Ceará","Weedy margins of Lagoa Mecejana, Mecejana.","-38.5431","-3.7172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859477","NY00859477_01",NA,NA,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540750","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","H. E. Robinson","L. Ferreira","140","1991","11","07","South America","Brazil","Acre","Reserva Extrativista Chico Mendes, Seringal Dois Irmaos, varadouro entre colocaçaos Já-Começa e Uruqueu","-68.25","-10.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540750","NY00540750_01",NA,NA,"Brasiléia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01194790","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","J. F. Pruski","R. de S. Secco","332","1982","05","24","South America","Brazil","Pará","Marabá, coleta no acampamento azul","-50.2980682","-6.1046262","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1428635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194790","NY01194790_01",NA,NA,"Marabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00846036","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","J. F. Pruski","M. J. Balick","1535","1983","09","02","South America","Brazil","Maranhão","Posto Indígina Pindaré (FUANAI POST -- Guajajara Indians)along rio Pindaré ca., 15 km of Santa Inês","-45.5","-3.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846036","NY00846036_01",NA,NA,"Bom Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01194398","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","H. Robinson","M. de N. do C. Bastos","129","1978","12","12","South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194398","NY01194398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01194399","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","G. M. Barroso","G. T. Prance","10862","1971","03","03","South America","Brazil","Roraima","Vicinity of Uaicá airstrip, rio Uraricoera, margin of airstrip.","-63.183333","3.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339498' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194399","NY01194399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00846035","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia","Kunth","H. Robinson","T. C. Plowman","8344","1980","02","03","South America","Brazil","Tocantins","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846035","NY00846035_01",NA,NA,"Presidente Kennedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-01-09 14:58:00-02","NY","NYBG","02482354","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Bidens","cynapiifolia","Bidens cynapiifolia",NA,NA,"H. E. Rombouts","719","1937","07","31","South America",NA,NA,"Expeditio ad Fines Surinamensi-Brasilienses Designados. Litanie",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704217' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482354","NY02482354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
