"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","recordNumber","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","class","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-31 13:40:48-03","MN","R","35642","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","L. Linden & Rchb. f.","Pabst, G.F.J.","1980","01","17","s.col.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:16-03","FFCLRP","LBMBP","118","S","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","L. Linden & Rchb.f.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","39902",NA,"Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","L. Linden & Rchb.f.","A.P. Fontana/2006",NA,NA,NA,"A. P. Fontana; A.V. Assis & S.L.R. da Silva","Brasil","Rio de Janeiro","2395","2006","09","01","Bom Jesus do Itabapoana","Calheiros, Ilhas das Garças. Floresta Estacional Semidecidual, ilhas fluviais no Rio Itabapoana","-41.6796989440918","-21.1338996887207","30210","Epífita. Floresceu em cultivo em 14-12-2006. Flores com sépalas e pétalas marrom. Labelo lilás.","MBML039902","MBML039902","auto",NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:19:53-03","UEFS","HUEFS","161544","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"van den Berg, C.","Brasil","Bahia","1966","2008","03","15",NA,"planta cultivada pelo Sr. Sandro (Cidade Nova), coletada em ponto não revelado da Chapada Diamantina",NA,NA,NA,NA,"HUEFS0161544",NA,NA,"Angiospermae","Lilianae","Asparagales",NA,NA,NA
"5","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Porte, M","Brazil","Santa Catarina","s.n.",NA,NA,NA,NA,"In prov. S. Catharina cum typo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"6","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Porte, M","Brazil","Santa Catarina","s.n.",NA,NA,NA,NA,"In prov. S. Catharina cum typo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"7","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Porte, M","Brazil","Santa Catarina","s.n.",NA,NA,NA,NA,"Habitat in prov. S. Catharina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"8","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Porte, M","Brazil","Santa Catarina","s.n.",NA,NA,NA,NA,"Habitat in prov. S. Catharina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"9","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Bull.","Brazil",NA,"s.n.(Hort.",NA,NA,NA,NA,"in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"10","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","porphyroglossa","Cattleya porphyroglossa","Linden & Rchb.f.",NA,NA,NA,NA,"Bull.","Brazil",NA,"s.n.(Hort.",NA,NA,NA,NA,"in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
