"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2647","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","Carlos A. Ferreira Jr.","2014","01","28","Carlos Alberto F. Jr.; Juliana Ordones","CAF1106","2013","06","19","Brasil","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555","20º 05' 47S","43º 27' 53W","11966","1310","1310","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1430","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende",NA,"2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","43°40.348'","19°48.242'","22051","1521","1521","254","auto","2",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018696","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","J. R. Pirani",NA,NA,NA,"R. de Mello-Silva","2883","2006","04","20","Brazil","Minas Gerais","Catas Altas","Serra do Caraça. Trilha para o Pico do Sol, em mata baixa na segunda subida muito íngreme após a trilha do interior da mata no alto da Cascatinha.","-43.4075","-20.0747",NA,NA,NA,"1800","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262070' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY01018696","NY01018696_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929908","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","H. J. Wiehler",NA,NA,NA,"H. S. Irwin","19847","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23",NA,NA,NA,"1750","1750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999309' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00929908","NY00929908_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929909","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","A. Chautems",NA,NA,NA,"H. S. Irwin","30241","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,NA,"1800","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999310' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00929909","NY00929909_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929907","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","A. Chautems",NA,NA,NA,"A. Chautems","21","1983","03","17","Brazil","Minas Gerais","Ouro Preto","8 km à l'Est de la ville, Camarinhas.","-43.5081","-20.2878",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999305' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00929907","NY00929907_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929910","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","A. Chautems",NA,NA,NA,"H. S. Irwin","29051","1971","01","25","Brazil","Minas Gerais",NA,"Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068",NA,NA,NA,"1750","1950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999313' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00929910","NY00929910_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01132059","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","H. J. Wiehler",NA,NA,NA,"H. J. Wiehler","91134","1991","10","15","Brazil","Espírito Santo",NA,"1 km. east of Hotel dos Pinchos near Pedra Azul.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288245' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY01132059","NY01132059_01",NA,NA,NA,NA
"9","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG1593","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica",NA,NA,NA,NA,NA,"M.F.Vasconcelos","13-118","2013","03","26","Brasil","Minas Gerais","Camanducaia","Pedra Redonda, Monte verde","-46.016667","-22.883333","46°01'W","22°53'S",NA,"1.9","1.9","Corola vermelha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG1578","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica",NA,"M.F.Vasconcelos;L.N.Santos& D.L.H. Oliveira",NA,NA,NA,"M.F.Vasconcelos;L.N.Santos& D.L.H. Oliveira","13-303","2013","04","26","Brasil","Minas Gerais","Caéte","Serra da Piedade, vertente norte","-43.666667","-19.816667","43°40'W","19º49'S",NA,"1.7","1.7","Corola vermelha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-05 14:28:00-03","MCN-PUC-MINAS","HPUC-MG","ANG3390","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica",NA,NA,NA,NA,NA,"M.F.Vasconcelos","15-127","2015","04","19","Brasil","Minas Gerais","Santa Bárbara","Pico da Canjerana, Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,"Corola vermelha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:19:58-03","UFRJ","RFA","22741","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","Thereza Lopes","2004","08","13","F. Segadas-Vianna","813","1945","03",NA,"Brasil","Rio de Janeiro","Itatiaia","Maromba","-44.5633010864258","-22.4960994720459",NA,NA,"19648","1100","1100",NA,"auto",NA,NA,NA,"RFA51695",NA,NA,NA,NA,NA
"13","2020-06-29 11:30:48-03","UFRJ","RFA","16036","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","(Otto & A.Dietr.) Wiehler","L.K.R. Hinoshitz","2016","04","05","P. Occhioni","7091","1975","03","15","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para o Planalto, km 7 - 8","-44.5633010864258","-22.4960994720459",NA,NA,"19648",NA,NA,"1 m de altura; flor escarlate","auto",NA,NA,NA,"RFA40776",NA,NA,NA,NA,NA
