"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:26:09-03","UNESC","CRI","8836","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","Vanilde C. Zanette","1998","12","30","Vanilde C. Zanette; Zenaide P. Topanotti","1998","12","30","Brasil","Santa Catarina","Criciúma","Sítio João Dagostim Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI007660","CRI007660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:09-03","UNESC","CRI","3340","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","L. A. Mentz",NA,NA,NA,"Clair Maria Martinello; Aurélio José de Aguiar & Clair Maria Martinello","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007659","CRI007659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:13-03","UNESC","CRI","11816","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.391944","-28.191111","49º23'31''W","28º11'28''S","470","470","CRI007662","CRI007662","Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:09-03","UNESC","CRI","15225","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","Aline Votri Guislon","2019","11","05","Aline V. Guislon; Iara Z. Zanoni; Felipe Seron & Suelane C. Fenali","2019","03","08","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L13 Bairro Capão Bonito.","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","CRI014640","CRI014640","Fruto verde. Tricomas presentes nos ramos, pecíolo e limbo na face abaxial. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669758","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","S. D. Knapp",NA,NA,NA,"R. Reitz","1965","12","11","Brazil","Santa Catarina","Mafra","Potreiro Grande.","-49.8053","-26.1117",NA,NA,"750","750","NY00669758","NY00669758_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478648' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","17424","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669756","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","M. H. Nee",NA,NA,NA,"R. Kummrow","1982","11","17","Brazil","Paraná","Ponta Grossa","Rio Guabiroba.","-50.1617","-25.095",NA,NA,NA,NA,"NY00669756","NY00669756_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478646' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","2092","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669754","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","S. D. Knapp",NA,NA,NA,"G. G. Hatschbach","1983","12","08","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre.","-49.2608","-24.8236",NA,NA,NA,NA,"NY00669754","NY00669754_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478650' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","47843","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","172152","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs",NA,NA,NA,NA,"R. Reitz","1958","12","30","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","NY00172152","NY00172152_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478652' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","4092","South America","sheet","isotype",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669757","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","S. D. Knapp",NA,NA,NA,"R. Reitz","1965","12","11","Brazil","Santa Catarina","Mafra","Potreiro Grande.","-49.8053","-26.1117",NA,NA,"750","750","NY00669757","NY00669757_01 NY00669757_02","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478651' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","17422","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669755","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","M. H. Nee",NA,NA,NA,"R. Callejas Posada","1983","12","08","Brazil","Paraná","Cerro Azul","Estrada Nova Cerro Azul-Iguaraiba. 10km al N de Cerro Azul.","-49","-24.5",NA,NA,NA,NA,"NY00669755","NY00669755_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478647' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","1886","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","669753","PreservedSpecimen","Plantae","Solanaceae","Solanum","reitzii","Solanum reitzii","L.B.Sm. & Downs","S. D. Knapp",NA,NA,NA,"P. K. H. Dusén","1914","11","14","Brazil","Paraná","Ponta Grossa",NA,"-50.1617","-25.095",NA,NA,"880","880","NY00669753","NY00669753_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478649' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","15986","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
