"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645600","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","H. F. Oliveira","H. F. Oliveira","355","1996","08","29","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual Vila Velha, Lagoa Dourada","-49.97","-25.25","sheet","UPCB-31406 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645600","NY00645600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3890522","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.",NA,"B. A. Krukoff","10508","1939","07","01","South America","Bolivia","La Paz","Sud Yungas","Basin of Rio Bopi, San Bartolome (near Calisaya)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182873' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890522","NY03890522_01","750","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645605","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","N. P. Taylor; D. C. Zappi","F. J. Fernández Casas","5632","1982","05","27","South America","Paraguay","Alto Paraná",NA,"Escuela Técnica Forestal, Puerto Presidente Strossner, km 12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645605","NY00645605_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645603","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.",NA,"A. Löfgren","45401","1917",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645603","NY00645603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3890525","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.",NA,"J. C. Solomon","8806","1982","11","12","South America","Bolivia","La Paz","Nor Yungas","4.6 km below Yolosa, then 19.1 km on road up the Rio Huarinilla","-67.53","-16.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182876' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890525","NY03890525_01","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645602","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","R. Kiesling","G. G. Hatschbach","14648","1966","09","05","South America","Brazil","Paraná","Ponta Grossa","Anfiteatre","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645602","NY00645602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645599","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","61073","1994","09","16","South America","Brazil","Santa Catarina",NA,"Ipira, arredores",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645599","NY00645599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02341977","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.",NA,"Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","Cult. in Jardim da Comissão [Ilegible]. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2526946' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341977","NY02341977_01 NY02341977_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645604","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","N. P. Taylor","J. M. Silva","644","1989","09","01","South America","Brazil","Paraná","Tibagi","Rodovia BR-376, próximo ao trevo para Tibagi","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645604","NY00645604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645606","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","Haw.","R. Kiesling","S. G. Tressens","6348","1999","08","31","South America","Argentina","Misiones","Guaraní","Predio Guaraní","-54.25","-26.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645606","NY00645606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
