"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","class","order","continentOcean","occurrenceRemarks","imagecode","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","preparationType","relatedCatalogItem"
"1","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","17248","PreservedSpecimen","Plantae","Poaceae","Panicum","gouinii","Panicum gouinii","E.Fourn.","Parodi, L.R.","1957","03","Sacco, J.C.","620","1957","03","13","Brasil","Rio Grande do Sul","Pelotas","Granja do Sr. Paulo Simões Lopes. Na maracha.","9999","9999","BOTU017248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:18:47-03","NBC","NL-BOTANY","AMD.120430","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Herter",NA,"1926","04","01","Uruguay",NA,NA,"Dict. Carrasco, Departamento de Montevideo.",NA,NA,"NL-AMD120430","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.120430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD120430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294254","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Herter",NA,"1926","04","01","Uruguay",NA,NA,"Carrasco, Lith. plateux.",NA,NA,"NL-L1294254","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294255","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Parodi LR",NA,"1921","12","01","Argentina",NA,NA,"Platanos La Plata.",NA,NA,"NL-L1294255","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294256","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Parodi LR",NA,"1917","04","01","Argentina",NA,NA,"Mariel (Buenos Aires).",NA,NA,"NL-L1294256","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294257","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Balansa B",NA,"1874","01","25","Uruguay",NA,NA,"Montèvidéo, dans les sables humides. *.",NA,NA,"NL-L1294257","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294257 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294260","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Spegazzini CL",NA,"1884","01","01","Argentina",NA,NA,"Buenos-Aires.",NA,NA,"NL-L1294260","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294260 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1501669","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Petersen TM",NA,"1952","01","01","Argentina",NA,NA,"Estancia 'Santa Teresa', Dep. Mburucuyá, prov. Corrientes.",NA,NA,"NL-U1501669","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501669 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1501670","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Herter WG",NA,"1926","04","01","Uruguay",NA,NA,"Carrasco, Lit. Platens, Departamento de Montevideo, República Oriental del Uruguay.",NA,NA,"NL-U1501670","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1501671","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E.Fourn.",NA,NA,NA,"Gallinal JP; et al.",NA,"1936","01","01","Uruguay",NA,NA,"Dept: Cerro Largo, Río Negro, Palleros.",NA,NA,"NL-U1501671","Magnoliopsidae","Poales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 12:15:56-03","ESALQ","ESA","116121","PreservedSpecimen","Plantae","Poaceae","Panicum","gouinii","Panicum gouinii",NA,"Macedo, C.L.","2010","01","Macedo, C.C.L.","34.0","2009","01","01","Brasil","São Paulo","Mairiporã",NA,NA,NA,"ESA116121",NA,NA,NA,NA,"ESA116121","01","-46.5800018310547","-23.3099994659424","15840","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:26:00-03","IAP","PACA-AGP","842","PreservedSpecimen","Plantae","Gramineae","Panicum","gouinii","Panicum gouinii","E. Fourn.","L. Parodi",NA,NA,"Orth",NA,"1933","10","15","Brasil","RS","Porto Alegre","Vila Manresa",NA,NA,"PACA000842","Liliatae","Cyperales",NA,"conf. A. Guglieri 10.11.1998 Habitat: in campestribus subpaludosis Fenofase: fruto",NA,NA,"-51.2299995422363","-30.0331001281738","29946","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
