"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","401030","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. A. Kallunki","L. R. Landrum","4098","1982","01","06","South America","Brazil","Paraná","Cerro Azul","Road from Cerro Azul to Mato Preto","-49.17","-24.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401030","NY00401030_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","401022","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","S. M. Silva","S. M. Silva","s.n.","1996","01","19","South America","Brazil","Paraná","Paranaguá","Morro da Baleia, Ilha do Mel","-48.35","-25.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401022","NY00401022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","401018","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. A. Kallunki","L. Riedel","1692",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401018","NY00401018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01091877","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","W. Hoehne","W. Hoehne","s.n.","1946","04","15","South America","Brazil","São Paulo","São Paulo","Alto da Lapa.","-46.716643","-23.530419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1265169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091877","NY01091877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","401033","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. S. Miller","A. H. Gentry","49743","1985","01","20","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada do Redentor, Corcovado Mountain, Rio de Janeiro","-43.3","-22.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401033","NY00401033_01","450","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857991","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","P. C. Standley","Y. E. J. Mexia","4780","1930","06","03","South America","Brazil","Minas Gerais","Viçosa","Viçosa, Agricultural College lands. Upper Chacha Valley, near gate.","-42.860644","-20.766686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857991","NY00857991_01 NY00857991_02","680","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","401017","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","J. M. Pires","51879","1961","09",NA,"South America","Brazil","Pará",NA,"Vicinity of Belem","-48.4555221","-1.2849922","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401017","NY00401017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1016336","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"M. N. S. Stapf","329","2004","09","21","South America","Brazil","Bahia","Itacaré","Estrada Ilhéus - Itacaré","-39.0506","-14.4506","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016336","NY01016336_01","107","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","401027","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","R. M. Harley","R. M. Harley","17201","1974","03","19","South America","Brazil","Bahia",NA,"Pau Brasil Biological Reserve, 17 km west from Porto Seguro on road to Eunapolis","-39.2","-16.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401027","NY00401027_01",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","401023","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","G. G. Hatschbach","R. Kummrow","1677","1982","01","19","South America","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401023","NY00401023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
