"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02636647","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","macrophylla","Hiraea macrophylla","(A.Juss.) P.L.R.Moraes & Guglielmone","M. C. H. Mamede","P. Fiaschi","2766","2005","03","12","South America","Brazil","Bahia","Almadina","Rod. Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal.","-39.7131","-14.6408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475354' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636647","NY02636647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476016","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","wiedeana","Hiraea wiedeana","A.Juss.","W. R. Anderson","G. G. Hatschbach","59786","1993","12","16","South America","Brazil","Paraná","Guaraqueçaba","Batuva","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476016",NA,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476017","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","wiedeana","Hiraea wiedeana","A.Juss.","W. R. Anderson","G. G. Hatschbach","39313","1976","12","21","South America","Brazil","Paraná","Antonina","Rio Cotia","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476017",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476068","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Mezia","araujoi","Mezia araujoi","Schwacke ex Nied.","A. M. Amorim","A. M. Amorim","3226","2000","01","06","South America","Brazil","Bahia","Itacaré","Loteamento da Marambaia. Rod. Ilhéus Itacaré, ca. 6 km de Itacaré","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476068","NY00476068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:11-03","UFRJ","RFA","15669","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Mezia","araujoi","Mezia araujoi","Nied.","A.M. Amorim","P. Occhioni","6341","1974","10","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, margem da Rodovia km 55","-43.2075004577637","-22.9027996063232",NA,"Volúvel; flor amarela","RFA44825",NA,NA,NA,"2000","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:12:42-03","ESALQ","ESA","106531","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Mezia","araújoi","Mezia araújoi",NA,"Almeida, R.F.","Lima, H.C.","4283.0","1991","11","19",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344",NA,NA,"ESA106531","ESA106531",NA,NA,"2013","21463","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:31:30-03","MN","R","7832","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Mezia","araujoi","Mezia araujoi","Nied.",NA,"Glaziou, A.F.M.","9367","1878","10","12",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007832","R000007832_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:30-03","MN","R","7283","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Mezia","araujoi","Mezia araujoi","Nied.","Anderson, W.R.","Saldanha da Gama, J.; Glaziou, A.F.M.",NA,"1878","08","13",NA,"Brasil","Rio de Janeiro","Queimados","Rio Douro","-43.5553016662598","-22.716100692749",NA,"Herb. J. De Saldanha 5010","R010052837","R010052837_001",NA,NA,"2008","10683","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:09:21-03","UFES","SAMES","3082","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Mezia","araujoi","Mezia araujoi","Nied.","Amorim,A.M.A.","Ribeiro,M.; Coelho,R.","658","2011","10","15",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 3 a 4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Liana, botões marrons. Flores com pétalas amarelo alaranjado, sendo a menor pétala com tons avermelhados; glândulas amarelas.","SAMES03082",NA,NA,NA,"2012","41644","auto","02","14","-398050000.0","-182625000.0",NA,NA,NA,NA
"10","2021-03-24 17:09:21-03","UFES","SAMES","3081","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Mezia","araujoi","Mezia araujoi","Nied.","Amorim,A.M.A.","Ribeiro,M.; Coelho,R.;Marcarini,L.","574","2011","08","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Liana com raque, raquila e pedicelo de cor caramelo, flores amarelo ouro.","SAMES03081",NA,NA,NA,"2012","41644","auto","02","14","-398050000.0","-182625000.0",NA,NA,NA,NA
