"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","phylum","verbatimLongitude","verbatimLatitude","individualCount","preparationType"
"1","2020-12-20 21:18:52-03","UFV","VIC","017898","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guimarães & M.carvalho-Silva","Da Silva, A.F.; et al.","1935","1997","03","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta de ca de 0.5 m, sobre rocha(solo raso), próximo ao rio.","VIC017898","VIC017898","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:52-03","UFV","VIC","017899","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guimarães & M.carvalho-Silva","Da Silva, A.F.; et al.","1936","1997","03","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta de ca de 0.5 m, sobre rocha(solo raso), próximo ao rio.","VIC017899","VIC017899","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:52-03","UFV","VIC","17898","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guimarães & M.carvalho-Silva","Silva, A.F.; et al.","1935","1997","03","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta com ca 0,5m de altura, sobre rocha próximo ao rio.","VIC017898","VIC017898","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:52-03","UFV","VIC","17899","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guimarães & M.carvalho-Silva","Silva, A.F.; et al.","1936","1997","03","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta com ca 0,5m de altura, sobre rocha próximo ao rio.","VIC017899","VIC017899","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-27 10:26:19-03","UFES","VIES","12566","S","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Martins, G.H.","96","2000","11","14","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas.","-40.4199981689453","-20.2639007568359","18507",NA,"VIES012566","VIES012566","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:11:07-03","UFES","VIES","32840","S","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Martins, G.N.","145","2004","09","07","Brasil","Espírito Santo","Marechal Floriano","Sítio Marechal.","-40.6831016540527","-20.4127998352051","23038",NA,"VIES032840","VIES032840","auto","Martins, G.N.","2004","09","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:11:07-03","UFES","VIES","31835","S","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Couto, D.R.; Lube, S.G.; Vieira, M.D. & Silva, A.E.","1921","2011","04","10","Brasil","Espírito Santo","Mimoso do Sul","Torres.","-41.3664016723633","-21.0641994476318","29430",NA,"VIES031835","VIES031835","auto","A. Melo","2020","01","21","200","200",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-27 10:26:19-03","UFES","VIES","11864","S","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Martins, G.H.","5","2000","04","12","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas.","-40.4199981689453","-20.2639007568359","18507",NA,"VIES011864","VIES011864","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:11:07-03","UFES","VIES","15403","S","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Calatrone, J.W.; et al.","7","2007","11","09","Brasil","Espírito Santo","Marechal Floriano","Rio Fundo.","-40.6831016540527","-20.4127998352051","23038",NA,"VIES015403","VIES015403","auto","A. Melo","2020","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:39:39-03","MBM","MBM","172540","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F. Guim. & M. Carvalho-Silva","Hatschbach, G.; Silva, J.M.; Silva, J.M.","61164","1994","10","08","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447","Erva, 70 cm, espigas alvescentes. Mata pluvial; Erva 70cm, espigas alvacentas.; Mata pluvial.","MBM172540","MBM172540","auto","Macedo-Silva, T.","2016","08","25",NA,NA,"PARATYPE","Southern America",NA,NA,NA,NA,NA
