"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-01 16:43:26-03","UNICAMP","UEC","181289","S","Plantae","Magnoliopsida","Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","Saiter, FZ","182","2005","01","12","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha do sagui.","-41","-20.566111","-41","-20.566111","Árvore com 15m de altura. Flores e botões amarelos.; Mata atlântica.","UEC082982","UEC082982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:11:52-03","UFES","VIES","14427","S","Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","Saiter, F.Z.","182","2005","01","12","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,"VIES014427","VIES014427","Shimizu, G.H.","2014","06","23813","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:43:06-03","UFMG","BHCB","88984","PreservedSpecimen","Plantae","Dicotyledon","Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","Fiaschi, P; Alves, MV; Konno, T; Sousa, G; Unwin, M","666","2001","03","07","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas, Trilha para a torre de transmissão, acesso para o lagedo das bromélias.","-40.5175","-20.289722","-40.5175","-20.289722","Árvore ca 9m alt. junto à torre de Transmissão. PAP 39 cm. Folhas fortemente discolores, frutos imaturos verde claros, pedicelo amarelo.","BHCB009461",NA,NA,"2014","10",NA,NA,"Southern America","700","700",NA,NA,NA,NA
"4","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","10110",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. Kollmann; E. Bausen & W. Pizziolo","2163","1999","03","16","Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222","40W35'21","19S55'20","Chapada. Arvore 14m. Dap 28cm. Fuste 6m. Flores amarelas.","MBML010110",NA,"M.C. Vianna/II-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","10169",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. Kollmann; E. Bausen & W. Pizziolo","2444","1999","04","13","Brasil","Espírito Santo","Santa Maria de Jetibá","Rio Nove","-40.645833","-19.981944","40W38'45","19S58'55","Mata de encosta. Árvore 14m. Dap 40cm. Fuste 8m. Flores amarelas.","MBML010169",NA,"M.C. Vianna/II-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","15542",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. Kollmann; et al","4966","2001","11","07","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Árvore 15m. DAP 24cm. Fuste 7m. Frutos verdes.","MBML015542",NA,"M.C. Vianna/II-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","19982",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","R.R. Vervloet; et al","1945","2003","03","06","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Árvore de 17m, flores e botões amarelos, topo de morro, dossel 18m.","MBML019982",NA,"A. P. Fontana/04-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","20056",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","R.R. Vervloet; et al","2013","2003","03","20","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Árvore de 16m, flores de cor amarela, meia encosta, dossel 14m.","MBML020056",NA,"A. P. Fontana/04-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","20742",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","R.R. Vervloet; et al","2447","2003","05","14","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Árvore de 19m, frutos de cor verde amarelado. Baixada, dossel 16m.","MBML020742",NA,"A. P. Fontana/04-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","21463",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","J. Rossini; et al","551","2003","09","05","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Árvore 13m. Folha discolor. Frutos verde escuros.","MBML021463",NA,"A. P. Fontana/04-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","23802",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. Kollmann; et al","7274","2005","01","22","Brasil","Espírito Santo","Santa Teresa","Penha, Sítio do R. Pizziolo","-40.555833","-19.935","40W33'21","19S56'6","Árvore 8m. DAP 30m, flores amarelas.","MBML023802",NA,"A. P. Fontana/26-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","23811",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. Kollmann; et al","7344","2005","01","26","Brasil","Espírito Santo","Santa Teresa","Santo Henrique","-40.553889","-19.836389","40W33'14","19S50'11","Arvoreto 9m, DAP 16cm. Flores amarelas.","MBML023811",NA,"A. P. Fontana/26-04-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","28543",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1014","2006","05","17","Brasil","Espírito Santo","Santa Leopoldina","Bragança, propr.: Assunta Salvador.","-40.546389","-20.123056","40W32'47","20S7'23","Árvore 20m de alt. DAP 30cm. Fuste 12m. Flores amarelas. Mata.","MBML028543",NA,"G.H. Shimizu/VIII-2011",NA,NA,NA,NA,NA,"400","400",NA,NA,NA,NA
"14","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","29133",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","F. Z. Saiter","182","2005","01","12","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Árvore com 15m alt., flores e botões amarelos, ao lado da trilha do Sagui, após entroncamento com trilha Indaiassú, lado direito.","MBML029133",NA,"F. Z. Saiter/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","34615",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","A. P. Fontana ; C. Esgario","1623","2005","08","02","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, propriedade Dr. Pedro","-40.581667","-19.950278","40W34'54","19S57'1","Árvore 20m, frutos verdes, DAP 1,6m","MBML034615",NA,"A. P. Fontana","2005","09",NA,NA,NA,NA,NA,"21",NA,NA,NA
"16","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","5623",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","H. Q. Boudet Fernandes","2771","1989","05","24","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Árvore 13m, fuste 9m X 25cm, flores amarelas, altitude 775m, mata, alto de encosta, vertente voltada para o vale de santa lúcia. Próximo da divisa da reserva.","MBML005623","MBML005623","M. C. Vianna/VII-2000",NA,NA,NA,NA,NA,NA,NA,NA,"HOLOTIPO","4",NA
"17","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","7538",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. D. Thomaz","1589","1994","05","05","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Não amostrada, na trilha principal quase no fim da área 1, 14m de altura, fruto verde.","MBML007538","MBML007538","M. C. Vianna/IX-2000",NA,NA,NA,NA,NA,NA,NA,NA,"PARATIPO",NA,NA
"18","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","7539",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. D. Thomaz","1590","1994","01","13","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Não amostrada, na trilha do Sagui, 13m de altura, com leve odor. Flores amarelas.","MBML007539","MBML007539","M. C. Vianna/IX-2000",NA,NA,NA,NA,NA,NA,NA,NA,"PARATIPO",NA,NA
"19","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","7540",NA,"Plantae",NA,"Vochysiaceae","Vochysia","santaluciae","Vochysia santaluciae","M.C.Vianna & Fontella","L. D. Thomaz","1588","1993","11","09","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Altura 19m, PAP 185cm, caule interno róseo, flores amarelas.","MBML007540","MBML007540","M. C. Vianna/VII-2000",NA,NA,NA,NA,NA,NA,NA,NA,"PARATIPO",NA,NA
