"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","barcode","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","fieldNumber","preparationType","relatedCatalogItem"
"1","2019-10-09 11:08:06-03","UFBA","ALCB","96190","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Barbosa, E; Cordeiro, J","2010","Temponi, LG; Cordeiro, J; Silva, JM","671","2009","10","12","Southern America","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha das Bananeiras","-54.5881004333496","-25.5478000640869","39570","1,60 m alt. Flores rosadas.; semidecidual.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:08:06-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Hatschbach, G","2006","Ribas, OS; Silva, JM; Andrade, CCA","7412","2006","10","03","Southern America","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, trilha do Poço Preto. Margem do caminho","-54.5881004333496","-25.5478000640869","39570","2,5m. Flor lilás-rosada.; estacional semidecídua.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:08:06-03","UFBA","ALCB","111963","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Hatschbach, G","2006","Ribas, OS; Andrade, CCA","7412","2006","10","03","Southern America","Brasil","Paraná","Foz do Iguaçú","Parque Nacional do Iguaçu, trilha do Poço Preto. W","-54.5881004333496","-25.5478000640869","39570","2,50cm, flor rosada.; Estacional Semidecídua. Magem do caminho.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2841797","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau",NA,NA,"Ule EHG",NA,"1911","09","01","Southern America","Brazil",NA,NA,"Amazonas. Bl.weiss oder rosa, Seringal S. Francisco. Rio Acre.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2841797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Lamiales","NL-L2841797","NL-L2841797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056890","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau",NA,NA,"Solomon JC; Urcullo S",NA,"1985","08","28","Southern America","Bolivia",NA,NA,"Dpto. Santa Cruz; Prov. Ichilo. Parque Nacional Amboró. Ca. 15 km (SE) up the Río Pitasama from the Río Surutú.","-63.666667","-17.733333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Lamiales","NL-U1056890","NL-U1056890","-63.666667","-17.733333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056891","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau",NA,NA,"Solomon JC; Balick MJ; Daly DC",NA,"1982","07","28","Southern America","Bolivia",NA,NA,"Dpto. Beni. Prov. Marban, Estacion Experimental Peroto, 97 km ESE of Trinidad on road to Santa Cruz.","-64.416667","-15.333333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Lamiales","NL-U1056891","NL-U1056891","-64.416667","-15.333333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:58:48-03","ESALQ","ESA","98101","PreservedSpecimen","Plantae","Magnoliophyta","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus",NA,"Hatschbach, G.","2005","Barbosa, E.","965.0","2004","08","05",NA,"Brasil","Paraná","Foz do Iguaçu",NA,"-54.5881004333496","-25.5478000640869","39570",NA,"auto",NA,NA,"ESA098101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-19 10:22:24-03","CPAP","CPAP","11381","PreserverdSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","D. C. Wasshausen","1991","Hatschbach, G.","49561","1985","08","22",NA,"Brasil","PR","Foz do Iguaçu&nf;ag","Parque Nacional do Iguaçu",NA,NA,NA,"Erva 70cm de altura. FLOR: lilás. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Mata pluvial. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0001493","PreservedSpecimen","Plantae","Magnoliophyta","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","D.C. Wasshausen",NA,"G. Hatschbach; A. C. Cervi","49561","1935","8","22",NA,"Brazil","Parana",NA,"Parque Nacional do Iguacu (mun. Foz do Iguacu) Parana","-54.5833","-25.55",NA,"1493; Erva 70 cm, flor lilas. Mata pluvial.",NA,NA,"Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0059166","PreservedSpecimen","Plantae","Magnoliophyta","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","J. Cordeiro & E. Barbosa",NA,"L. G. Temponi; J. Cordeiro, J. M. Silva","671","2009","12","12",NA,"Brazil","Parana",NA,"Parque Nacional do Iguaçu, Trilha das Bananeiras (Mun. Foz do Iguaçu).","-54.5833","-25.55",NA,"Arbusto, 1.60 m, flores rosadas.",NA,NA,"Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
