"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","318363","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","collina","Tabernaemontana collina","Gardner","isotype","G. Gardner","74","1836","08","South America","Brazil","Rio de Janeiro","Moro do Flamingo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318363","NY00318363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","318364","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","collina","Tabernaemontana collina","Gardner","isotype","G. Gardner","74","1836",NA,"South America","Brazil",NA,"See Location Notes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318364","NY00318364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01252334","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","echinata","Tabernaemontana echinata","Aubl.",NA,"G. T. Prance","7555","1968","09","South America","Brazil","Acre","Vicinity of Sena Madureira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252334","NY01252334_01","24","Sena Madureira","-68.67","-9.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01252333","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","echinata","Tabernaemontana echinata","Aubl.",NA,"G. T. Prance","7868","1968","10","South America","Brazil","Acre","Trail from W bank Rio Iaco to Rio Purus; 3km above confluence. Forest on terra firme.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252333","NY01252333_01","05","Sena Madureira","-68.6569","-9.06556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01252332","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","echinata","Tabernaemontana echinata","Aubl.",NA,"B. A. Krukoff","5490",NA,NA,"South America","Brazil","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252332","NY01252332_01 NY01252332_02",NA,NA,"-69","-9.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 06:56:00-03","NY","NYBG","318366","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","gracilis","Tabernaemontana gracilis",NA,"isotype","R. Schomburgk",NA,NA,NA,"South America","Guyana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318366","NY00318366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440724","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,"J. R. Pirani","3469","1994","12","South America","Brazil","Espírito Santo","ES-060, mata de restinga a W da rodovia, ca. 1 km N da Praia da Sereias","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440724","NY00440724_01","08","Vila Velha","-40.286823","-20.328351","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440725","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,"J. R. Pirani","3033","1994","02","South America","Brazil","Espírito Santo","Reserva Biológica do Córrego Grande (IBAMA), a 31 km de Pedro Canário (na Avenida Aracruz) e 6 km da Base do IBAMA","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440725","NY00440725_01","19","Conceiçao da Barra","-39.803704","-18.260749","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440731","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,"L. Riedel",NA,NA,NA,"South America","Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440731","NY00440731_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440733","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,"A. Amaral","99","1998","10","South America","Brazil","Mato Grosso do Sul","Porto de areia independência. Margem do Rio Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440733","NY00440733_01","13","Três Lagoas","-51.6933","-20.9506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
