"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","phylum","yearIdentified","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","barcode","dayIdentified","imagecode"
"1","2020-11-26 18:07:06-03","CPAN-UFMS","COR","5976","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","B. Loeuille","Bortolotto, I.M.; Damasceno, Jr.G.A.","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR-262, 5 km após o Clube do Laço. Mata decídua ; argiloso; Plano.","-57.6016998291016","-19.0046997070312","23141","800","800","Com Flor: com raio amarelo ouro","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-14 14:09:53-03","UFBA","ALCB","138782","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","Malme","Leouille, B","Bortolotto, IM; Damasceno-Junior, GA","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR-262, 5 km após o Clube do Laço.","-57.589722","-19.188333",NA,"800","800","2 m. Flor com raio amarelo ouro.; Solo argiloso, relevo plano.",NA,"Dicotyledon","2014","11","Southern America","-57.589722","-19.188333","ALCB070765",NA,NA
"3","2020-11-19 10:22:47-03","CPAP","CPAP","13401","PreserverdSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","B. Loeuille","Pott, A.","7026","1995","03","17","Brasil","MS","Miranda","Reserva da Tercola, Secção Morada Nova, fazenda Bodoquena S.A., Serra da Bodoquena","-57.016667","-19.933333",NA,"350","350","Erva ereta 1,5-2,0m de altura. FLOR: amarela. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Frequente. AMBIENTE: Mata 5-8m altura, com Rapanea guianensis. SUBSTRATO: solo argiloso raso, encharcado. RELEVO: sopé de morro.",NA,NA,"2014","11",NA,"57°01' W","19°56' S",NA,NA,NA
"4","2021-04-07 11:41:16-03","UFMS","CGMS","44729","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","G.H. Silva","A. Pott; V.J. Pott; S.M. Salis; A. Sanches; O. Branco","7026","1995","03","17","Brasil","Mato Grosso do Sul","Miranda","Reserva da Tercola, secção Morada Nova, Fazenda Bodoquena S.A., Serra da Bodoquena.","-57.0166667","-19.9333333",NA,"350","350","Flor amarela. Ocorre na borda desmatada. Habitat: Mata 5-8m de altura com Rapanea guianensis. Solo argiloso raso, encharcado. Relevo: sopé de morro. Habito: Erva ereta 1,5-2,0m de altura. Frequente.",NA,NA,"2014","09",NA,"-57,0166667","-19,9333333","CGMS1074696","22",NA
"5","2019-11-27 13:46:09-03","UFS","ASE","39441","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","B. Loeville","Bortolotto, IM; Damasceno jr.; G.A.","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR 262, 5 km após o Clube do Laço,","-57.3605","-19.0018",NA,NA,NA,"Subarbusto 2m, flor com raio amarelo ouro, fruto; Mata decídua, solo argiloso, relevo plano",NA,"Magnoliophyta","2014","11","Southern America","-57.3605","-19.0018","ASE0040962",NA,NA
"6","2021-03-01 16:22:57-03","UNICAMP","UEC","116814","S","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","Alves, M","Moraes, MD; Damasceno Junior, GA","558","2000","11","29","Brazil","Mato Grosso do Sul",NA,"Brasil, MTS, estrada para bancada laterícia da Fazenda Toia Caturchi.",NA,NA,NA,NA,NA,"Arbusto ca. 1,2m, margem da estrada, sob árvores, flores e páleas amarelas, estames enegrecidos.; Mata decídua.",NA,"Magnoliopsida","2014","10",NA,NA,NA,"UEC101702",NA,"UEC101702"
"7","2020-10-14 09:58:52-03","FURB","FURB","56055","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","Loeville, B","Bortolotto, I.M.; Damasceno Jr, G.A.","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR 262, 5km após o clube do laço.","-57.5586111","-19.1672223",NA,"800","800","Flor com raio amarelo ouro Habitat: Mata decídua, solo argiloso, relevo plano Habito: subarbusto",NA,NA,"2014","11",NA,"-57.5586111","-19.1672223","FURB56055",NA,"FURB56055"
"8","2020-12-21 16:14:01-03","MBM","MBM","411608","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","Loeville, B.","Bortolotto, I.M.; Damasceno Junior, G.A.; Damasceno Junior, G.A.","712","2001","03","08","Brazil","Mato Grosso do Sul","Ladário","Rodovia BR-262, 5 mk após o Clube do Laço.","-57.589861","-19.188472",NA,"800","800","Subarbusto, 2 m de altura. Flor com raio amarelo ouro.; Mata decídua. Solo argiloso em relevo plano.",NA,NA,"2014","11","Southern America","-57.589861","-19.188472","MBM411608",NA,"MBM411608"
"9","2021-03-04 11:04:26-03","UFRB","HURB","20695","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","B.Loeville","Bortolotto, I.M.; Damasceno Jr., G.A.","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR 262; 5Km após o Clube do Laço","-57.589861","-19.188472",NA,"800","800","COR 5976.",NA,NA,"2014","11",NA,"57º35'23,5W","19º11'18,5S","HURB000020695",NA,NA
"10","2019-11-13 11:15:58-03","USP","SPF","222543","PreservedSpecimen","Plantae","Asteraceae","Aldama","corumbensis","Aldama corumbensis","(Malme) Magenta & Pirani","Loeuille, B","Bortolotto, IM","712","2001","03","08","Brasil","Mato Grosso do Sul","Ladário","BR 262, 6 km após o Clube do Laço.","-57.589736","-19.188347",NA,"800","800",NA,NA,NA,"2014","11",NA,"-57.589736","-19.188347","SPF00222543",NA,NA
