"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","eventTime","sex"
"1","2021-04-05 14:26:07-03","UNESC","CRI","3484","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum","salicifolium","Chrysophyllum marginatum salicifolium","Reitz","Marcos Sobral","Robson dos Santos; Clair Maria Martinello","45","1994","04","10","Brasil","Santa Catarina","Laguna","Estarada de acesso a Praia da Tereza.","-48.766667","-28.466667","48º46'W","28º28'S","CRI007311","CRI007311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","3977","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum","(Hook. & Arn.) Radlk.","J. A. Jarenkow","J. A. Jarenkow","1271","1989","03","17","Brasil","Rio Grande do Sul","Pelotas","Praia do Barro Duro.","-52.342778","-31.7725","52º20'34''W","31º46'21''S","CRI007310","CRI007310","17","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","9291","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum","(Hook. & Arn.) Radlk.","Vanilde C. Zanette","Filipe Michels; Jenifer",NA,"2008","03","10","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI007312","CRI007312","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:07-03","UNESC","CRI","9307","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum","(Hook. & Arn.) Radlk.","Vanilde C. Zanette","Mainara F. Cascaes; Birgit Harter Marques",NA,"2008","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","CRI007309","CRI007309","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:07-03","UNESC","CRI","14082","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum","(Hook. & Arn.) Radlk.","Júlia Guissone","Valdemar Boff & Vanilde Citadini",NA,"1998","02","26","Brasil","Santa Catarina","Laguna","Fazenda João Sargento","-48.7807998657227","-28.4825000762939",NA,NA,"CRI012732",NA,NA,NA,"2018","10","30","21199","Habitat: Terrestre","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:19-03","E","E","46752","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum",NA,NA,"e Silva, F.C.","280","1980","03","22","BR","Distrito Federál",NA,"ONL Taguatinga Norte",NA,NA,NA,NA,"E00046752",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00046752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:54321",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:19-03","E","E","277570","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum",NA,NA,"Glaziou, M.A.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00277570",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326389",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:19-03","E","E","277587","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum",NA,NA,NA,NA,"1991","01","28","BR","Mato Grosso Do Sul",NA,"On the top of the Morro Sao Domingo, c. 35km from Corumbá",NA,NA,NA,NA,"E00277587",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326404",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:19-03","E","E","9293","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum",NA,NA,"Ratter, J.A.; Filho, Fonsêca J.; Gomes, Sueli M. & de Lima Jacques, Elaine",NA,"1996","09","08","BR","Mato Grosso Do Sul",NA,"Mun. Campo Grande, 9km N of Anhanduí on the BR163","-54.483333","-20.816667","-54.483333","-20.816667","E00009293",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00009293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:46942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:19-03","E","E","35993","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum",NA,NA,"Ratter, J.A.; Pott, A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1996","09","24","BR",NA,NA,NA,NA,NA,NA,NA,"E00035993",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00035993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:46553",NA,NA,NA,NA,NA,NA,NA,NA,NA
